#Lambda	Flux(Jy)
8.347	0.00828
8.348	0.00870
8.349	0.00906
8.350	0.00934
8.351	0.00954
8.352	0.00967
8.353	0.00972
8.354	0.00970
8.355	0.00958
8.356	0.00936
8.357	0.00906
8.358	0.00868
8.359	0.00825
8.360	0.00778
8.361	0.00728
8.362	0.00675
8.363	0.00615
8.364	0.00549
8.365	0.00481
8.366	0.00410
8.367	0.00340
8.368	0.00271
8.369	0.00203
8.370	0.00134
8.371	0.00063
8.372	-0.00007
8.373	-0.00076
8.374	-0.00142
8.375	-0.00204
8.376	-0.00263
8.377	-0.00320
8.378	-0.00375
8.379	-0.00427
8.380	-0.00476
8.381	-0.00522
8.382	-0.00563
8.383	-0.00601
8.384	-0.00635
8.385	-0.00666
8.386	-0.00693
8.387	-0.00717
8.388	-0.00737
8.389	-0.00752
8.390	-0.00764
8.391	-0.00773
8.392	-0.00778
8.393	-0.00779
8.394	-0.00775
8.395	-0.00768
8.396	-0.00756
8.397	-0.00739
8.398	-0.00717
8.399	-0.00692
8.400	-0.00662
8.401	-0.00627
8.402	-0.00589
8.403	-0.00546
8.404	-0.00498
8.405	-0.00446
8.406	-0.00388
8.407	-0.00327
8.408	-0.00262
8.409	-0.00195
8.410	-0.00125
8.411	-0.00054
8.412	0.00022
8.413	0.00102
8.414	0.00185
8.415	0.00267
8.416	0.00349
8.417	0.00427
8.418	0.00501
8.419	0.00576
8.420	0.00651
8.421	0.00723
8.422	0.00793
8.423	0.00857
8.424	0.00914
8.425	0.00963
8.426	0.01007
8.427	0.01047
8.428	0.01080
8.429	0.01108
8.430	0.01128
8.431	0.01141
8.432	0.01145
8.433	0.01140
8.434	0.01127
8.435	0.01107
8.436	0.01080
8.437	0.01047
8.438	0.01008
8.439	0.00964
8.440	0.00913
8.441	0.00854
8.442	0.00789
8.443	0.00720
8.444	0.00647
8.445	0.00572
8.446	0.00497
8.447	0.00419
8.448	0.00336
8.449	0.00251
8.450	0.00165
8.451	0.00078
8.452	-0.00007
8.453	-0.00089
8.454	-0.00168
8.455	-0.00247
8.456	-0.00325
8.457	-0.00402
8.458	-0.00476
8.459	-0.00548
8.460	-0.00616
8.461	-0.00681
8.462	-0.00743
8.463	-0.00803
8.464	-0.00860
8.465	-0.00914
8.466	-0.00965
8.467	-0.01014
8.468	-0.01059
8.469	-0.01102
8.470	-0.01142
8.471	-0.01179
8.472	-0.01213
8.473	-0.01245
8.474	-0.01273
8.475	-0.01298
8.476	-0.01320
8.477	-0.01340
8.478	-0.01357
8.479	-0.01370
8.480	-0.01380
8.481	-0.01386
8.482	-0.01388
8.483	-0.01386
8.484	-0.01380
8.485	-0.01371
8.486	-0.01359
8.487	-0.01342
8.488	-0.01321
8.489	-0.01296
8.490	-0.01266
8.491	-0.01232
8.492	-0.01194
8.493	-0.01152
8.494	-0.01107
8.495	-0.01059
8.496	-0.01008
8.497	-0.00955
8.498	-0.00897
8.499	-0.00835
8.500	-0.00771
8.501	-0.00706
8.502	-0.00640
8.503	-0.00574
8.504	-0.00509
8.505	-0.00443
8.506	-0.00375
8.507	-0.00306
8.508	-0.00238
