#Lambda	Flux(Jy)
9.500	0.59788
9.501	0.60421
9.502	0.61061
9.503	0.61705
9.504	0.62356
9.505	0.63012
9.506	0.63673
9.507	0.64341
9.508	0.65014
9.509	0.65694
9.510	0.66379
9.511	0.67069
9.512	0.67764
9.513	0.68464
9.514	0.69169
9.515	0.69878
9.516	0.70590
9.517	0.71305
9.518	0.72024
9.519	0.72748
9.520	0.73478
9.521	0.74216
9.522	0.74962
9.523	0.75717
9.524	0.76484
9.525	0.77258
9.526	0.78039
9.527	0.78828
9.528	0.79625
9.529	0.80431
9.530	0.81246
9.531	0.82072
9.532	0.82910
9.533	0.83759
9.534	0.84617
9.535	0.85485
9.536	0.86361
9.537	0.87248
9.538	0.88146
9.539	0.89057
9.540	0.89980
9.541	0.90918
9.542	0.91870
9.543	0.92837
9.544	0.93816
9.545	0.94809
9.546	0.95815
9.547	0.96833
9.548	0.97865
9.549	0.98910
9.550	0.99967
9.551	1.01038
9.552	1.02122
9.553	1.03217
9.554	1.04325
9.555	1.05446
9.556	1.06580
9.557	1.07728
9.558	1.08890
9.559	1.10067
9.560	1.11259
9.561	1.12466
9.562	1.13685
9.563	1.14919
9.564	1.16167
9.565	1.17429
9.566	1.18706
9.567	1.19999
9.568	1.21308
9.569	1.22633
9.570	1.23974
9.571	1.25330
9.572	1.26699
9.573	1.28084
9.574	1.29484
9.575	1.30902
9.576	1.32338
9.577	1.33792
9.578	1.35267
9.579	1.36761
9.580	1.38272
9.581	1.39799
9.582	1.41345
9.583	1.42908
9.584	1.44492
9.585	1.46096
9.586	1.47722
9.587	1.49371
9.588	1.51043
9.589	1.52736
9.590	1.54449
9.591	1.56182
9.592	1.57938
9.593	1.59715
9.594	1.61514
9.595	1.63337
9.596	1.65184
9.597	1.67055
9.598	1.68949
9.599	1.70864
9.600	1.72801
9.601	1.74761
9.602	1.76746
9.603	1.78754
9.604	1.80789
9.605	1.82850
9.606	1.84938
9.607	1.87052
9.608	1.89193
9.609	1.91358
9.610	1.93549
9.611	1.95765
9.612	1.98008
9.613	2.00276
9.614	2.02570
9.615	2.04891
9.616	2.07238
9.617	2.09608
9.618	2.12003
9.619	2.14423
9.620	2.16869
9.621	2.19343
9.622	2.21846
9.623	2.24379
9.624	2.26943
9.625	2.29539
9.626	2.32164
9.627	2.34819
9.628	2.37503
9.629	2.40216
9.630	2.42959
9.631	2.45730
9.632	2.48531
9.633	2.51361
9.634	2.54220
9.635	2.57105
9.636	2.60015
9.637	2.62951
9.638	2.65916
9.639	2.68913
9.640	2.71943
9.641	2.75008
9.642	2.78112
9.643	2.81256
9.644	2.84439
9.645	2.87656
9.646	2.90909
9.647	2.94197
9.648	2.97521
9.649	3.00882
9.650	3.04280
9.651	3.07716
9.652	3.11191
9.653	3.14703
9.654	3.18245
9.655	3.21818
9.656	3.25426
9.657	3.29073
9.658	3.32762
9.659	3.36498
9.660	3.40283
9.661	3.44122
9.662	3.48017
9.663	3.51964
9.664	3.55959
9.665	3.60003
9.666	3.64094
9.667	3.68235
9.668	3.72426
9.669	3.76666
9.670	3.80956
9.671	3.85297
9.672	3.89684
9.673	3.94112
9.674	3.98583
9.675	4.03103
9.676	4.07675
9.677	4.12305
9.678	4.16996
9.679	4.21752
9.680	4.26578
9.681	4.31477
9.682	4.36441
9.683	4.41469
9.684	4.46560
9.685	4.51713
9.686	4.56929
9.687	4.62206
9.688	4.67546
9.689	4.72946
9.690	4.78407
9.691	4.83921
9.692	4.89487
9.693	4.95109
9.694	5.00793
9.695	5.06542
9.696	5.12362
9.697	5.18257
9.698	5.24234
9.699	5.30295
9.700	5.36443
9.701	5.42670
9.702	5.48974
9.703	5.55355
9.704	5.61811
9.705	5.68343
9.706	5.74949
9.707	5.81629
9.708	5.88382
9.709	5.95208
9.710	6.02096
9.711	6.09047
9.712	6.16067
9.713	6.23162
9.714	6.30337
9.715	6.37597
9.716	6.44949
9.717	6.52398
9.718	6.59949
9.719	6.67601
9.720	6.75346
9.721	6.83183
9.722	6.91110
9.723	6.99128
9.724	7.07237
9.725	7.15435
9.726	7.23724
9.727	7.32102
9.728	7.40567
9.729	7.49108
9.730	7.57727
9.731	7.66430
9.732	7.75224
9.733	7.84116
9.734	7.93111
9.735	8.02218
9.736	8.11441
9.737	8.20788
9.738	8.30256
9.739	8.39832
9.740	8.49518
9.741	8.59314
9.742	8.69219
9.743	8.79235
9.744	8.89362
9.745	8.99599
9.746	9.09948
9.747	9.20407
9.748	9.30962
9.749	9.41618
9.750	9.52378
9.751	9.63251
9.752	9.74242
9.753	9.85357
9.754	9.96602
9.755	10.07984
9.756	10.19509
9.757	10.31174
9.758	10.42969
9.759	10.54893
9.760	10.66947
9.761	10.79131
9.762	10.91443
9.763	11.03885
9.764	11.16456
9.765	11.29156
9.766	11.41984
9.767	11.54930
9.768	11.67996
9.769	11.81188
9.770	11.94508
9.771	12.07963
9.772	12.21557
9.773	12.35295
9.774	12.49181
9.775	12.63221
9.776	12.77412
9.777	12.91747
9.778	13.06225
9.779	13.20847
9.780	13.35611
9.781	13.50519
9.782	13.65569
9.783	13.80761
9.784	13.96096
9.785	14.11573
9.786	14.27184
9.787	14.42929
9.788	14.58812
9.789	14.74837
9.790	14.91009
9.791	15.07332
9.792	15.23809
9.793	15.40444
9.794	15.57242
9.795	15.74203
9.796	15.91318
9.797	16.08586
9.798	16.26008
9.799	16.43584
9.800	16.61317
9.801	16.79205
9.802	16.97249
9.803	17.15452
9.804	17.33812
9.805	17.52324
9.806	17.70987
9.807	17.89802
9.808	18.08772
9.809	18.27901
9.810	18.47191
9.811	18.66645
9.812	18.86266
9.813	19.06057
9.814	19.26019
9.815	19.46148
9.816	19.66442
9.817	19.86902
9.818	20.07525
9.819	20.28312
9.820	20.49261
9.821	20.70373
9.822	20.91645
9.823	21.13078
9.824	21.34672
9.825	21.56429
9.826	21.78348
9.827	22.00429
9.828	22.22670
9.829	22.45072
9.830	22.67633
9.831	22.90353
9.832	23.13232
9.833	23.36269
9.834	23.59468
9.835	23.82833
9.836	24.06359
9.837	24.30043
9.838	24.53884
9.839	24.77878
9.840	25.02022
9.841	25.26313
9.842	25.50750
9.843	25.75330
9.844	26.00064
9.845	26.24951
9.846	26.49988
9.847	26.75175
9.848	27.00507
9.849	27.25982
9.850	27.51598
9.851	27.77353
9.852	28.03244
9.853	28.29274
9.854	28.55452
9.855	28.81776
9.856	29.08241
9.857	29.34845
9.858	29.61584
9.859	29.88456
9.860	30.15456
9.861	30.42582
9.862	30.69830
9.863	30.97210
9.864	31.24729
9.865	31.52382
9.866	31.80165
9.867	32.08074
9.868	32.36104
9.869	32.64252
9.870	32.92514
9.871	33.20886
9.872	33.49364
9.873	33.77968
9.874	34.06698
9.875	34.35549
9.876	34.64515
9.877	34.93590
9.878	35.22769
9.879	35.52046
9.880	35.81414
9.881	36.10870
9.882	36.40413
9.883	36.70069
9.884	36.99833
9.885	37.29699
9.886	37.59659
9.887	37.89706
9.888	38.19833
9.889	38.50032
9.890	38.80296
9.891	39.10618
9.892	39.41007
9.893	39.71488
9.894	40.02055
9.895	40.32697
9.896	40.63408
9.897	40.94178
9.898	41.24999
9.899	41.55864
9.900	41.86763
9.901	42.17688
9.902	42.48659
9.903	42.79695
9.904	43.10788
9.905	43.41928
9.906	43.73106
9.907	44.04314
9.908	44.35542
9.909	44.66783
9.910	44.98027
9.911	45.29267
9.912	45.60533
9.913	45.91834
9.914	46.23162
9.915	46.54506
9.916	46.85858
9.917	47.17208
9.918	47.48547
9.919	47.79865
9.920	48.11152
9.921	48.42404
9.922	48.73654
9.923	49.04906
9.924	49.36151
9.925	49.67381
9.926	49.98587
9.927	50.29759
9.928	50.60891
9.929	50.91973
9.930	51.22996
9.931	51.53960
9.932	51.84900
9.933	52.15813
9.934	52.46691
9.935	52.77523
9.936	53.08302
9.937	53.39017
9.938	53.69659
9.939	54.00220
9.940	54.30690
9.941	54.61071
9.942	54.91395
9.943	55.21658
9.944	55.51852
9.945	55.81971
9.946	56.12007
9.947	56.41954
9.948	56.71805
9.949	57.01553
9.950	57.31190
9.951	57.60724
9.952	57.90181
9.953	58.19555
9.954	58.48838
9.955	58.78022
9.956	59.07099
9.957	59.36060
9.958	59.64897
9.959	59.93603
9.960	60.22170
9.961	60.50604
9.962	60.78926
9.963	61.07132
9.964	61.35218
9.965	61.63180
9.966	61.91014
9.967	62.18716
9.968	62.46281
9.969	62.73706
9.970	63.00987
9.971	63.28132
9.972	63.55155
9.973	63.82051
9.974	64.08814
9.975	64.35440
9.976	64.61921
9.977	64.88254
9.978	65.14432
9.979	65.40450
9.980	65.66302
9.981	65.91993
9.982	66.17534
9.983	66.42922
9.984	66.68159
9.985	66.93242
9.986	67.18173
9.987	67.42949
9.988	67.67570
9.989	67.92037
9.990	68.16348
9.991	68.40509
9.992	68.64525
9.993	68.88391
9.994	69.12106
9.995	69.35664
9.996	69.59062
9.997	69.82297
9.998	70.05365
9.999	70.28263
10.000	70.50986
10.001	70.73538
10.002	70.95921
10.003	71.18139
10.004	71.40191
10.005	71.62078
10.006	71.83803
10.007	72.05365
10.008	72.26766
10.009	72.48007
10.010	72.69089
10.011	72.90015
10.012	73.10786
10.013	73.31399
10.014	73.51852
10.015	73.72143
10.016	73.92269
10.017	74.12227
10.018	74.32016
10.019	74.51633
10.020	74.71074
10.021	74.90340
10.022	75.09431
10.023	75.28351
10.024	75.47101
10.025	75.65684
10.026	75.84103
10.027	76.02360
10.028	76.20457
10.029	76.38398
10.030	76.56185
10.031	76.73817
10.032	76.91292
10.033	77.08608
10.034	77.25765
10.035	77.42762
10.036	77.59599
10.037	77.76275
10.038	77.92789
10.039	78.09140
10.040	78.25329
10.041	78.41350
10.042	78.57203
10.043	78.72889
10.044	78.88412
10.045	79.03776
10.046	79.18984
10.047	79.34039
10.048	79.48945
10.049	79.63705
10.050	79.78322
10.051	79.92796
10.052	80.07121
10.053	80.21296
10.054	80.35321
10.055	80.49197
10.056	80.62925
10.057	80.76505
10.058	80.89937
10.059	81.03222
10.060	81.16361
10.061	81.29350
10.062	81.42181
10.063	81.54858
10.064	81.67385
10.065	81.79766
10.066	81.92006
10.067	82.04108
10.068	82.16076
10.069	82.27916
10.070	82.39630
10.071	82.51220
10.072	82.62673
10.073	82.73988
10.074	82.85168
10.075	82.96216
10.076	83.07135
10.077	83.17927
10.078	83.28597
10.079	83.39146
10.080	83.49578
10.081	83.59893
10.082	83.70076
10.083	83.80126
10.084	83.90049
10.085	83.99850
10.086	84.09533
10.087	84.19105
10.088	84.28571
10.089	84.37936
10.090	84.47205
10.091	84.56383
10.092	84.65456
10.093	84.74418
10.094	84.83272
10.095	84.92022
10.096	85.00670
10.097	85.09222
10.098	85.17679
10.099	85.26047
10.100	85.34327
10.101	85.42524
10.102	85.50631
10.103	85.58637
10.104	85.66548
10.105	85.74365
10.106	85.82094
10.107	85.89736
10.108	85.97297
10.109	86.04777
10.110	86.12183
10.111	86.19515
10.112	86.26773
10.113	86.33947
10.114	86.41038
10.115	86.48048
10.116	86.54979
10.117	86.61834
10.118	86.68614
10.119	86.75322
10.120	86.81959
10.121	86.88528
10.122	86.95029
10.123	87.01454
10.124	87.07804
10.125	87.14080
10.126	87.20284
10.127	87.26418
10.128	87.32484
10.129	87.38482
10.130	87.44416
10.131	87.50286
10.132	87.56094
10.133	87.61834
10.134	87.67502
10.135	87.73103
10.136	87.78637
10.137	87.84108
10.138	87.89515
10.139	87.94863
10.140	88.00151
10.141	88.05384
10.142	88.10561
10.143	88.15681
10.144	88.20739
10.145	88.25736
10.146	88.30674
10.147	88.35553
10.148	88.40375
10.149	88.45141
10.150	88.49852
10.151	88.54509
10.152	88.59112
10.153	88.63662
10.154	88.68152
10.155	88.72583
10.156	88.76958
10.157	88.81278
10.158	88.85546
10.159	88.89763
10.160	88.93931
10.161	88.98053
10.162	89.02130
10.163	89.06163
10.164	89.10149
10.165	89.14086
10.166	89.17974
10.167	89.21815
10.168	89.25607
10.169	89.29352
10.170	89.33050
10.171	89.36701
10.172	89.40305
10.173	89.43863
10.174	89.47371
10.175	89.50829
10.176	89.54237
10.177	89.57598
10.178	89.60912
10.179	89.64183
10.180	89.67412
10.181	89.70600
10.182	89.73750
10.183	89.76862
10.184	89.79939
10.185	89.82974
10.186	89.85969
10.187	89.88924
10.188	89.91838
10.189	89.94712
10.190	89.97545
10.191	90.00338
10.192	90.03090
10.193	90.05802
10.194	90.08474
10.195	90.11101
10.196	90.13684
10.197	90.16224
10.198	90.18724
10.199	90.21185
10.200	90.23610
10.201	90.25999
10.202	90.28356
10.203	90.30681
10.204	90.32976
10.205	90.35242
10.206	90.37473
10.207	90.39672
10.208	90.41836
10.209	90.43967
10.210	90.46064
10.211	90.48127
10.212	90.50156
10.213	90.52150
10.214	90.54111
10.215	90.56037
10.216	90.57924
10.217	90.59773
10.218	90.61586
10.219	90.63365
10.220	90.65113
10.221	90.66830
10.222	90.68520
10.223	90.70184
10.224	90.71824
10.225	90.73442
10.226	90.75036
10.227	90.76602
10.228	90.78140
10.229	90.79652
10.230	90.81137
10.231	90.82596
10.232	90.84028
10.233	90.85436
10.234	90.86818
10.235	90.88175
10.236	90.89507
10.237	90.90807
10.238	90.92079
10.239	90.93322
10.240	90.94541
10.241	90.95736
10.242	90.96910
10.243	90.98066
10.244	90.99205
10.245	91.00329
10.246	91.01440
10.247	91.02536
10.248	91.03614
10.249	91.04673
10.250	91.05715
10.251	91.06738
10.252	91.07744
10.253	91.08733
10.254	91.09703
10.255	91.10657
10.256	91.11593
10.257	91.12511
10.258	91.13408
10.259	91.14286
10.260	91.15145
10.261	91.15986
10.262	91.16812
10.263	91.17622
10.264	91.18420
10.265	91.19205
10.266	91.19979
10.267	91.20743
10.268	91.21497
10.269	91.22238
10.270	91.22967
10.271	91.23683
10.272	91.24387
10.273	91.25076
10.274	91.25753
10.275	91.26415
10.276	91.27064
10.277	91.27698
10.278	91.28318
10.279	91.28920
10.280	91.29505
10.281	91.30075
10.282	91.30631
10.283	91.31176
10.284	91.31709
10.285	91.32233
10.286	91.32750
10.287	91.33260
10.288	91.33766
10.289	91.34265
10.290	91.34754
10.291	91.35234
10.292	91.35705
10.293	91.36168
10.294	91.36624
10.295	91.37072
10.296	91.37515
10.297	91.37951
10.298	91.38383
10.299	91.38809
10.300	91.39226
10.301	91.39633
10.302	91.40032
10.303	91.40424
10.304	91.40812
10.305	91.41196
10.306	91.41578
10.307	91.41960
10.308	91.42343
10.309	91.42729
10.310	91.43119
10.311	91.43508
10.312	91.43897
10.313	91.44286
10.314	91.44674
10.315	91.45061
10.316	91.45446
10.317	91.45831
10.318	91.46214
10.319	91.46595
10.320	91.46974
10.321	91.47353
10.322	91.47731
10.323	91.48108
10.324	91.48485
10.325	91.48859
10.326	91.49232
10.327	91.49601
10.328	91.49968
10.329	91.50331
10.330	91.50690
10.331	91.51046
10.332	91.51403
10.333	91.51760
10.334	91.52117
10.335	91.52472
10.336	91.52821
10.337	91.53164
10.338	91.53498
10.339	91.53821
10.340	91.54132
10.341	91.54428
10.342	91.54712
10.343	91.54987
10.344	91.55255
10.345	91.55514
10.346	91.55763
10.347	91.56001
10.348	91.56226
10.349	91.56438
10.350	91.56635
10.351	91.56816
10.352	91.56981
10.353	91.57131
10.354	91.57269
10.355	91.57394
10.356	91.57505
10.357	91.57603
10.358	91.57685
10.359	91.57753
10.360	91.57804
10.361	91.57839
10.362	91.57856
10.363	91.57856
10.364	91.57838
10.365	91.57802
10.366	91.57749
10.367	91.57680
10.368	91.57596
10.369	91.57497
10.370	91.57383
10.371	91.57257
10.372	91.57117
10.373	91.56966
10.374	91.56802
10.375	91.56622
10.376	91.56427
10.377	91.56217
10.378	91.55994
10.379	91.55758
10.380	91.55511
10.381	91.55253
10.382	91.54985
10.383	91.54709
10.384	91.54425
10.385	91.54133
10.386	91.53830
10.387	91.53516
10.388	91.53193
10.389	91.52859
10.390	91.52516
10.391	91.52163
10.392	91.51802
10.393	91.51432
10.394	91.51055
10.395	91.50669
10.396	91.50275
10.397	91.49873
10.398	91.49461
10.399	91.49042
10.400	91.48613
10.401	91.48176
10.402	91.47730
10.403	91.47276
10.404	91.46813
10.405	91.46341
10.406	91.45861
10.407	91.45375
10.408	91.44883
10.409	91.44386
10.410	91.43880
10.411	91.43365
10.412	91.42839
10.413	91.42301
10.414	91.41749
10.415	91.41181
10.416	91.40597
10.417	91.39996
10.418	91.39382
10.419	91.38755
10.420	91.38116
10.421	91.37464
10.422	91.36797
10.423	91.36115
10.424	91.35417
10.425	91.34702
10.426	91.33970
10.427	91.33219
10.428	91.32451
10.429	91.31673
10.430	91.30886
10.431	91.30086
10.432	91.29269
10.433	91.28434
10.434	91.27576
10.435	91.26693
10.436	91.25781
10.437	91.24838
10.438	91.23862
10.439	91.22850
10.440	91.21813
10.441	91.20750
10.442	91.19661
10.443	91.18545
10.444	91.17400
10.445	91.16225
10.446	91.15021
10.447	91.13784
10.448	91.12515
10.449	91.11212
10.450	91.09879
10.451	91.08527
10.452	91.07153
10.453	91.05751
10.454	91.04319
10.455	91.02850
10.456	91.01342
10.457	90.99789
10.458	90.98187
10.459	90.96532
10.460	90.94819
10.461	90.93049
10.462	90.91235
10.463	90.89375
10.464	90.87469
10.465	90.85516
10.466	90.83515
10.467	90.81465
10.468	90.79366
10.469	90.77215
10.470	90.75013
10.471	90.72759
10.472	90.70459
10.473	90.68128
10.474	90.65759
10.475	90.63345
10.476	90.60880
10.477	90.58358
10.478	90.55772
10.479	90.53115
10.480	90.50380
10.481	90.47562
10.482	90.44653
10.483	90.41658
10.484	90.38596
10.485	90.35465
10.486	90.32262
10.487	90.28985
10.488	90.25630
10.489	90.22197
10.490	90.18682
10.491	90.15083
10.492	90.11398
10.493	90.07623
10.494	90.03772
10.495	89.99867
10.496	89.95897
10.497	89.91853
10.498	89.87726
10.499	89.83504
10.500	89.79178
10.501	89.74738
10.502	89.70174
10.503	89.65476
10.504	89.60634
10.505	89.55655
10.506	89.50570
10.507	89.45373
10.508	89.40062
10.509	89.34631
10.510	89.29077
10.511	89.23394
10.512	89.17579
10.513	89.11628
10.514	89.05535
10.515	88.99296
10.516	88.92924
10.517	88.86450
10.518	88.79864
10.519	88.73154
10.520	88.66310
10.521	88.59319
10.522	88.52169
10.523	88.44849
10.524	88.37347
10.525	88.29652
10.526	88.21752
10.527	88.13650
10.528	88.05383
10.529	87.96948
10.530	87.88341
10.531	87.79558
10.532	87.70594
10.533	87.61443
10.534	87.52102
10.535	87.42566
10.536	87.32830
10.537	87.22890
10.538	87.12751
10.539	87.02450
10.540	86.91979
10.541	86.81329
10.542	86.70486
10.543	86.59441
10.544	86.48181
10.545	86.36694
10.546	86.24971
10.547	86.12998
10.548	86.00766
10.549	85.88269
10.550	85.75547
10.551	85.62603
10.552	85.49431
10.553	85.36027
10.554	85.22383
10.555	85.08496
10.556	84.94359
10.557	84.79968
10.558	84.65315
10.559	84.50397
10.560	84.35211
10.561	84.19796
10.562	84.04156
10.563	83.88278
10.564	83.72151
10.565	83.55764
10.566	83.39103
10.567	83.22158
10.568	83.04917
10.569	82.87367
10.570	82.69498
10.571	82.51299
10.572	82.32803
10.573	82.14027
10.574	81.94965
10.575	81.75611
10.576	81.55957
10.577	81.35998
10.578	81.15727
10.579	80.95138
10.580	80.74225
10.581	80.52981
10.582	80.31401
10.583	80.09504
10.584	79.87311
10.585	79.64814
10.586	79.42005
10.587	79.18875
10.588	78.95416
10.589	78.71621
10.590	78.47481
10.591	78.22988
10.592	77.98133
10.593	77.72909
10.594	77.47318
10.595	77.21379
10.596	76.95093
10.597	76.68460
10.598	76.41480
10.599	76.14152
10.600	75.86476
10.601	75.58452
10.602	75.30080
10.603	75.01360
10.604	74.72291
10.605	74.42872
10.606	74.13098
10.607	73.82969
10.608	73.52490
10.609	73.21664
10.610	72.90494
10.611	72.58984
10.612	72.27135
10.613	71.94952
10.614	71.62438
10.615	71.29596
10.616	70.96427
10.617	70.62898
10.618	70.29007
10.619	69.94765
10.620	69.60184
10.621	69.25277
10.622	68.90054
10.623	68.54529
10.624	68.18712
10.625	67.82616
10.626	67.46253
10.627	67.09634
10.628	66.72719
10.629	66.35472
10.630	65.97910
10.631	65.60049
10.632	65.21904
10.633	64.83492
10.634	64.44829
10.635	64.05931
10.636	63.66813
10.637	63.27492
10.638	62.87983
10.639	62.48269
10.640	62.08269
10.641	61.67998
10.642	61.27478
10.643	60.86731
10.644	60.45778
10.645	60.04641
10.646	59.63341
10.647	59.21899
10.648	58.80336
10.649	58.38675
10.650	57.96925
10.651	57.54985
10.652	57.12845
10.653	56.70529
10.654	56.28059
10.655	55.85458
10.656	55.42750
10.657	54.99957
10.658	54.57102
10.659	54.14209
10.660	53.71299
10.661	53.28397
10.662	52.85433
10.663	52.42345
10.664	51.99157
10.665	51.55894
10.666	51.12580
10.667	50.69238
10.668	50.25893
10.669	49.82568
10.670	49.39288
10.671	48.96075
10.672	48.52956
10.673	48.09916
10.674	47.66852
10.675	47.23775
10.676	46.80707
10.677	46.37669
10.678	45.94684
10.679	45.51772
10.680	45.08956
10.681	44.66258
10.682	44.23699
10.683	43.81300
10.684	43.39080
10.685	42.96953
10.686	42.54895
10.687	42.12923
10.688	41.71057
10.689	41.29315
10.690	40.87715
10.691	40.46277
10.692	40.05019
10.693	39.63960
10.694	39.23117
10.695	38.82511
10.696	38.42118
10.697	38.01872
10.698	37.61786
10.699	37.21872
10.700	36.82145
10.701	36.42618
10.702	36.03303
10.703	35.64215
10.704	35.25367
10.705	34.86772
10.706	34.48444
10.707	34.10390
10.708	33.72559
10.709	33.34942
10.710	32.97549
10.711	32.60387
10.712	32.23467
10.713	31.86798
10.714	31.50388
10.715	31.14246
10.716	30.78382
10.717	30.42804
10.718	30.07522
10.719	29.72524
10.720	29.37783
10.721	29.03305
10.722	28.69092
10.723	28.35150
10.724	28.01482
10.725	27.68092
10.726	27.34984
10.727	27.02164
10.728	26.69634
10.729	26.37398
10.730	26.05460
10.731	25.73805
10.732	25.42429
10.733	25.11336
10.734	24.80526
10.735	24.50002
10.736	24.19765
10.737	23.89817
10.738	23.60159
10.739	23.30794
10.740	23.01723
10.741	22.72948
10.742	22.44470
10.743	22.16290
10.744	21.88403
10.745	21.60809
10.746	21.33505
10.747	21.06488
10.748	20.79757
10.749	20.53308
10.750	20.27141
10.751	20.01251
10.752	19.75637
10.753	19.50298
10.754	19.25245
10.755	19.00478
10.756	18.75996
10.757	18.51795
10.758	18.27872
10.759	18.04225
10.760	17.80851
10.761	17.57747
10.762	17.34910
10.763	17.12338
10.764	16.90027
10.765	16.67985
10.766	16.46232
10.767	16.24761
10.768	16.03566
10.769	15.82640
10.770	15.61976
10.771	15.41566
10.772	15.21403
10.773	15.01480
10.774	14.81790
10.775	14.62326
10.776	14.43081
10.777	14.24078
10.778	14.05328
10.779	13.86826
10.780	13.68567
10.781	13.50545
10.782	13.32757
10.783	13.15195
10.784	12.97856
10.785	12.80734
10.786	12.63825
10.787	12.47122
10.788	12.30627
10.789	12.14376
10.790	11.98364
10.791	11.82582
10.792	11.67023
10.793	11.51675
10.794	11.36531
10.795	11.21581
10.796	11.06817
10.797	10.92228
10.798	10.77806
10.799	10.63543
10.800	10.49447
10.801	10.35545
10.802	10.21834
10.803	10.08309
10.804	9.94966
10.805	9.81801
10.806	9.68810
10.807	9.55989
10.808	9.43334
10.809	9.30841
10.810	9.18506
10.811	9.06326
10.812	8.94326
10.813	8.82514
10.814	8.70882
10.815	8.59421
10.816	8.48124
10.817	8.36981
10.818	8.25985
10.819	8.15127
10.820	8.04399
10.821	7.93793
10.822	7.83300
10.823	7.72917
10.824	7.62668
10.825	7.52556
10.826	7.42578
10.827	7.32734
10.828	7.23022
10.829	7.13440
10.830	7.03986
10.831	6.94658
10.832	6.85455
10.833	6.76376
10.834	6.67417
10.835	6.58588
10.836	6.49905
10.837	6.41363
10.838	6.32955
10.839	6.24673
10.840	6.16510
10.841	6.08460
10.842	6.00515
10.843	5.92669
10.844	5.84914
10.845	5.77243
10.846	5.69651
10.847	5.62144
10.848	5.54736
10.849	5.47426
10.850	5.40213
10.851	5.33099
10.852	5.26081
10.853	5.19161
10.854	5.12337
10.855	5.05610
10.856	4.98978
10.857	4.92443
10.858	4.86003
10.859	4.79675
10.860	4.73460
10.861	4.67351
10.862	4.61343
10.863	4.55428
10.864	4.49602
10.865	4.43857
10.866	4.38187
10.867	4.32586
10.868	4.27048
10.869	4.21567
10.870	4.16138
10.871	4.10778
10.872	4.05489
10.873	4.00272
10.874	3.95126
10.875	3.90051
10.876	3.85046
10.877	3.80112
10.878	3.75248
10.879	3.70453
10.880	3.65728
10.881	3.61071
10.882	3.56488
10.883	3.51990
10.884	3.47574
10.885	3.43235
10.886	3.38968
10.887	3.34766
10.888	3.30625
10.889	3.26539
10.890	3.22503
10.891	3.18511
10.892	3.14557
10.893	3.10638
10.894	3.06752
10.895	3.02915
10.896	2.99125
10.897	2.95384
10.898	2.91690
10.899	2.88044
10.900	2.84446
10.901	2.80895
10.902	2.77392
10.903	2.73936
10.904	2.70527
10.905	2.67166
10.906	2.63856
10.907	2.60605
10.908	2.57408
10.909	2.54262
10.910	2.51164
10.911	2.48110
10.912	2.45096
10.913	2.42119
10.914	2.39176
10.915	2.36262
10.916	2.33374
10.917	2.30509
10.918	2.27670
10.919	2.24862
10.920	2.22086
10.921	2.19342
10.922	2.16631
10.923	2.13954
10.924	2.11311
10.925	2.08702
10.926	2.06128
10.927	2.03590
10.928	2.01087
10.929	1.98621
10.930	1.96195
10.931	1.93809
10.932	1.91462
10.933	1.89152
10.934	1.86877
10.935	1.84634
10.936	1.82422
10.937	1.80238
10.938	1.78081
10.939	1.75948
10.940	1.73838
10.941	1.71748
10.942	1.69681
10.943	1.67641
10.944	1.65626
10.945	1.63639
10.946	1.61677
10.947	1.59742
10.948	1.57835
10.949	1.55954
10.950	1.54100
10.951	1.52273
10.952	1.50474
10.953	1.48702
10.954	1.46961
10.955	1.45253
10.956	1.43575
10.957	1.41925
10.958	1.40302
10.959	1.38705
10.960	1.37130
10.961	1.35576
10.962	1.34042
10.963	1.32526
10.964	1.31025
10.965	1.29539
10.966	1.28070
10.967	1.26623
10.968	1.25197
10.969	1.23790
10.970	1.22404
10.971	1.21036
10.972	1.19686
10.973	1.18354
10.974	1.17039
10.975	1.15740
10.976	1.14457
10.977	1.13189
10.978	1.11939
10.979	1.10711
10.980	1.09503
10.981	1.08313
10.982	1.07139
10.983	1.05982
10.984	1.04838
10.985	1.03707
10.986	1.02588
10.987	1.01478
10.988	1.00377
10.989	0.99282
10.990	0.98197
10.991	0.97125
10.992	0.96064
10.993	0.95015
10.994	0.93977
10.995	0.92950
10.996	0.91934
10.997	0.90928
10.998	0.89932
10.999	0.88945
11.000	0.87968
11.001	0.87000
11.002	0.86041
11.003	0.85094
11.004	0.84157
11.005	0.83230
11.006	0.82313
11.007	0.81406
11.008	0.80508
11.009	0.79619
11.010	0.78738
11.011	0.77866
11.012	0.77001
11.013	0.76144
11.014	0.75295
11.015	0.74453
11.016	0.73619
11.017	0.72794
11.018	0.71977
11.019	0.71169
11.020	0.70369
11.021	0.69578
11.022	0.68796
11.023	0.68022
11.024	0.67258
11.025	0.66503
11.026	0.65758
11.027	0.65021
11.028	0.64294
11.029	0.63576
11.030	0.62867
11.031	0.62167
11.032	0.61475
11.033	0.60792
11.034	0.60117
11.035	0.59450
11.036	0.58791
11.037	0.58140
11.038	0.57497
11.039	0.56863
11.040	0.56237
11.041	0.55621
11.042	0.55012
11.043	0.54412
11.044	0.53820
11.045	0.53234
11.046	0.52656
11.047	0.52085
11.048	0.51520
11.049	0.50962
11.050	0.50409
11.051	0.49865
11.052	0.49328
