#Lambda	Flux
1.429	0.23134
1.430	0.23354
1.431	0.15093
1.432	-0.07063
1.433	0.19981
1.434	0.91498
1.435	-0.01503
1.436	0.33828
1.437	0.21921
1.438	0.34033
1.439	0.13467
1.440	-0.24662
1.441	0.41407
1.442	0.11712
1.443	0.37816
1.444	0.32719
1.445	0.17135
1.446	-0.23569
1.447	0.03993
1.448	0.34096
1.449	0.70567
1.450	0.50797
1.451	0.23338
1.452	0.91669
1.453	0.45101
1.454	0.16458
1.455	-0.03801
1.456	0.24892
1.457	0.14792
1.458	0.40977
1.459	0.63554
1.460	0.48390
1.461	0.51408
1.462	0.41042
1.463	-0.26389
1.464	0.07578
1.465	0.16975
1.466	-0.07113
1.467	0.35958
1.468	0.08624
1.469	-0.12079
1.470	0.14706
1.471	0.15838
1.472	-0.40607
1.473	-0.03332
1.474	-0.22086
1.475	0.46567
1.476	-0.24643
1.477	0.00807
1.478	-0.11980
1.479	-0.22650
1.480	0.06896
1.481	0.43238
1.482	0.23994
1.483	0.16116
1.484	-0.03678
1.485	0.43643
1.486	0.44529
1.487	-0.25538
1.488	-0.05149
1.489	0.19917
1.490	0.23816
1.491	-0.02526
1.492	0.00940
1.493	-0.65341
1.494	-0.26270
1.495	-0.19723
1.496	-0.41994
1.497	0.12140
1.498	-0.10528
1.499	0.09987
1.500	-0.02927
1.501	-0.02090
1.502	-0.15497
1.503	0.11677
1.504	0.39576
1.505	0.02107
1.506	0.16796
1.507	0.20201
1.508	0.16501
1.509	-0.07656
1.510	0.40585
1.511	0.12952
1.512	0.33870
1.513	0.17429
1.514	0.36028
1.515	0.41301
1.516	0.23149
1.517	0.10189
1.518	0.35493
1.519	0.47880
1.520	0.09006
1.521	0.24390
1.522	0.25623
1.523	0.59969
1.524	0.55883
1.525	0.32730
1.526	0.69877
1.527	0.33824
1.528	0.34857
1.529	0.57694
1.530	0.36772
1.531	0.23307
1.532	0.13582
1.533	0.32562
1.534	0.29240
1.535	0.00011
1.536	-0.22822
