#Lambda	Flux
1.429	0.48712
1.430	-0.88288
1.431	0.83132
1.432	0.83916
1.433	0.85917
1.434	0.90970
1.435	0.23683
1.436	0.60504
1.437	0.00799
1.438	0.54489
1.439	0.78354
1.440	0.30975
1.441	0.40964
1.442	0.44565
1.443	0.35667
1.444	0.61492
1.445	0.79579
1.446	0.62524
1.447	0.51171
1.448	0.25958
1.449	0.18190
1.450	0.35886
1.451	0.24204
1.452	-0.09508
1.453	0.50587
1.454	-0.49633
1.455	-0.20995
1.456	-0.22657
1.457	-0.17991
1.458	-0.31718
1.459	0.46218
1.460	0.00150
1.461	0.80530
1.462	1.65742
1.463	0.27131
1.464	0.00776
1.465	-0.14816
1.466	0.14199
1.467	0.09341
1.468	0.43366
1.469	0.28936
1.470	0.49941
1.471	0.07820
1.472	0.12058
1.473	0.12368
1.474	0.47055
1.475	0.15276
1.476	0.31114
1.477	-0.16189
1.478	0.15948
1.479	0.10070
1.480	0.30106
1.481	0.50794
1.482	0.16587
1.483	0.36388
1.484	0.25554
1.485	0.27776
1.486	0.30326
1.487	0.36187
1.488	0.38423
1.489	0.56042
1.490	0.25845
1.491	0.01485
1.492	-0.11535
1.493	0.04568
1.494	-0.35924
1.495	-0.97422
1.496	-0.27105
1.497	-0.19284
1.498	-0.21513
1.499	0.26459
1.500	0.82259
1.501	-0.12125
1.502	0.33209
1.503	0.00759
1.504	-0.17003
1.505	-0.00224
1.506	0.04354
1.507	0.68315
1.508	0.08571
1.509	-0.00667
1.510	0.21527
1.511	0.12066
1.512	0.21582
1.513	0.36771
1.514	0.31030
1.515	-0.16595
1.516	-0.03313
1.517	0.16506
1.518	0.30426
1.519	0.24789
1.520	0.11225
1.521	-0.15535
1.522	-0.34182
1.523	0.21384
1.524	0.33223
1.525	-0.00386
1.526	0.20050
1.527	0.71994
1.528	0.39645
1.529	0.30834
1.530	-0.09973
1.531	-0.19241
1.532	0.13104
1.533	-0.00326
1.534	-0.06173
1.535	-0.08769
1.536	0.04681
1.537	0.17980
1.538	-0.25077
1.539	0.15465
1.540	0.31978
1.541	-0.08775
1.542	-0.13396
1.543	-0.36630
1.544	0.22262
1.545	0.28412
1.546	0.28549
1.547	-0.28904
1.548	0.40738
1.549	-0.03096
1.550	0.01613
1.551	-0.19105
1.552	0.08391
1.553	0.07055
1.554	0.07388
1.555	-0.01367
1.556	0.16802
1.557	0.15787
1.558	0.32274
1.559	0.20278
1.560	0.33349
1.561	0.26949
1.562	0.26079
1.563	0.15214
1.564	0.61282
1.565	0.65950
1.566	-0.16402
1.567	-0.99997
1.568	-0.55619
1.569	-0.78662
1.570	0.23556
1.571	0.36928
1.572	-0.27995
1.573	-0.08682
1.574	-0.19028
1.575	-0.19039
1.576	0.13759
1.577	-0.06046
1.578	0.03371
1.579	0.30215
1.580	0.34387
1.581	0.59863
1.582	-0.10654
1.583	-0.34805
1.584	-0.07290
1.585	0.46638
1.586	0.47925
1.587	0.02790
1.588	0.21304
1.589	0.16598
1.590	-0.19958
1.591	0.22038
1.592	-0.05510
1.593	-0.14431
1.594	0.19051
1.595	0.02091
1.596	-0.05897
1.597	-0.22863
1.598	-0.00515
1.599	0.23612
1.600	0.05410
1.601	0.06280
1.602	0.03429
1.603	0.02131
1.604	0.43266
1.605	0.15386
1.606	0.11852
1.607	-0.06637
1.608	0.01962
1.609	-0.03091
1.610	0.07997
1.611	0.05320
1.612	0.31457
1.613	0.03358
1.614	0.12936
1.615	0.07678
1.616	0.01285
1.617	0.00748
1.618	-0.14640
1.619	0.17052
1.620	0.04771
1.621	0.13808
1.622	0.06844
1.623	0.01510
1.624	-0.08120
1.625	-0.11615
1.626	0.05550
1.627	0.33285
1.628	0.25327
1.629	0.22943
1.630	0.02119
1.631	0.10248
1.632	0.27516
1.633	0.19107
1.634	0.29437
1.635	0.27896
1.636	0.15980
1.637	0.11723
1.638	0.33290
1.639	0.44454
1.640	0.31082
1.641	0.24060
1.642	0.06197
1.643	0.08826
1.644	0.48658
1.645	-0.30695
1.646	-0.09428
1.647	0.04362
1.648	-0.12568
1.649	0.09466
1.650	0.20164
1.651	0.15324
1.652	-0.03429
1.653	-0.04243
1.654	0.02357
1.655	0.21958
1.656	0.33990
1.657	0.29789
1.658	0.05379
1.659	0.01691
1.660	-0.05220
1.661	-0.02719
1.662	0.02539
1.663	-0.01425
1.664	-0.01751
1.665	0.08678
1.666	0.10965
1.667	0.12358
1.668	0.11837
1.669	0.05588
1.670	0.09401
1.671	0.02665
1.672	-0.06090
1.673	0.05477
1.674	-0.03609
1.675	-0.04347
1.676	-0.01558
1.677	0.04546
1.678	-0.02312
1.679	-0.01188
1.680	-0.06278
1.681	-0.08213
1.682	-0.07402
1.683	-0.20351
1.684	-0.07891
1.685	-0.12018
1.686	-0.30729
1.687	0.13622
1.688	0.34394
1.689	0.12835
1.690	0.09915
1.691	0.13438
1.692	-0.03947
1.693	0.03342
1.694	-0.00648
1.695	0.07264
1.696	0.01926
1.697	-0.04731
1.698	0.04045
1.699	0.10359
1.700	0.12473
1.701	0.00940
1.702	-0.06178
1.703	-0.14997
1.704	-0.02167
1.705	0.00836
1.706	-0.00609
1.707	0.02548
1.708	0.05612
1.709	-0.03595
1.710	0.05725
1.711	0.01973
1.712	0.02358
1.713	-0.00641
1.714	0.08769
1.715	0.08849
1.716	0.09096
1.717	0.19483
1.718	0.18158
1.719	0.06966
1.720	0.14826
1.721	0.08497
1.722	0.17745
1.723	0.10301
1.724	0.05497
1.725	0.11287
1.726	0.20424
1.727	0.27512
1.728	0.33279
1.729	0.27835
1.730	0.12618
1.731	0.10487
1.732	-0.05028
1.733	-0.01205
1.734	0.07680
1.735	0.04544
1.736	0.09161
1.737	0.04632
1.738	0.13372
1.739	0.05980
1.740	0.07849
1.741	0.14347
1.742	0.10570
1.743	0.04696
1.744	0.11062
1.745	0.11851
1.746	0.11428
1.747	0.14823
1.748	0.14609
1.749	0.15261
1.750	0.12067
1.751	0.06951
1.752	0.15312
1.753	0.23680
1.754	0.19464
1.755	0.09079
1.756	0.14113
1.757	0.08137
1.758	0.08456
1.759	0.04643
1.760	0.05070
1.761	0.08408
1.762	0.14504
1.763	0.11476
1.764	-0.02319
1.765	-0.04187
1.766	0.00959
1.767	0.05875
1.768	0.06048
1.769	0.08364
1.770	0.05367
1.771	0.00489
1.772	0.07040
1.773	0.03164
1.774	0.03423
1.775	0.15612
1.776	0.13146
1.777	0.19482
1.778	0.14694
1.779	-0.20992
1.780	-0.06094
1.781	0.04410
1.782	-0.08251
1.783	-0.17089
1.784	0.03226
1.785	0.00827
1.786	-0.02491
1.787	0.00038
1.788	-0.01885
1.789	0.02470
1.790	0.00906
1.791	0.00242
1.792	0.03506
1.793	-0.04993
1.794	-0.01334
1.795	0.02194
1.796	0.02578
1.797	0.08466
1.798	-0.06731
1.799	0.00847
1.800	-0.02069
1.801	-0.02930
1.802	-0.00505
1.803	-0.01521
1.804	0.01972
1.805	0.03142
1.806	0.04649
1.807	0.04995
1.808	0.02723
1.809	-0.02870
1.810	0.01755
1.811	0.08196
1.812	0.06587
1.813	0.00696
1.814	-0.03976
1.815	-0.05272
1.816	0.01377
1.817	-0.04424
1.818	-0.08718
1.819	0.00265
1.820	0.11491
1.821	0.08639
1.822	0.05797
1.823	-0.03196
1.824	-0.00525
1.825	0.00102
1.826	-0.03898
1.827	0.06539
1.828	0.10779
1.829	0.01150
1.830	0.03989
1.831	0.01855
1.832	0.00464
1.833	0.01969
1.834	0.00622
1.835	-0.07242
1.836	-0.03247
1.837	0.04089
1.838	0.00950
1.839	0.03149
1.840	0.08377
1.841	0.04156
1.842	-0.01211
1.843	0.00749
1.844	0.05813
1.845	0.06328
1.846	0.01715
1.847	0.02468
1.848	0.04398
1.849	0.01273
1.850	0.02570
1.851	0.02365
1.852	-0.00167
1.853	-0.04842
1.854	-0.02504
1.855	0.00873
1.856	-0.01483
1.857	-0.00530
1.858	-0.02544
1.859	-0.02051
1.860	0.00273
1.861	0.02888
1.862	0.06141
1.863	0.01929
1.864	0.03822
1.865	0.04813
1.866	-0.01164
1.867	0.01292
1.868	0.04092
1.869	0.01848
1.870	0.01590
1.871	-0.01300
1.872	-0.03934
1.873	-0.03006
1.874	-0.02618
1.875	0.02561
1.876	-0.00088
1.877	-0.03461
1.878	0.04238
1.879	0.23837
1.880	0.20666
1.881	-0.00618
1.882	-0.01525
1.883	0.02176
1.884	0.01944
1.885	-0.07664
1.886	-0.02149
1.887	-0.02228
1.888	-0.04267
1.889	0.00021
1.890	0.03678
1.891	0.04210
1.892	0.02420
1.893	0.04613
1.894	0.04607
1.895	0.00271
1.896	-0.02006
1.897	0.02746
1.898	0.02548
1.899	-0.05032
1.900	-0.04717
1.901	0.05155
1.902	0.09438
1.903	-0.00659
1.904	-0.02941
1.905	0.01888
1.906	0.05168
1.907	0.01032
1.908	0.01616
1.909	0.03615
1.910	0.04284
1.911	0.03184
1.912	0.01425
1.913	-0.00912
1.914	-0.04531
1.915	-0.02372
1.916	-0.03264
1.917	-0.06230
1.918	0.01079
1.919	0.05320
1.920	0.03516
1.921	0.03464
1.922	0.04628
1.923	0.02335
1.924	-0.00106
1.925	0.01662
1.926	0.05878
1.927	0.04252
1.928	0.06075
1.929	0.04806
1.930	0.04636
1.931	0.07210
1.932	0.08021
1.933	0.03675
1.934	0.02287
1.935	-0.04131
1.936	-0.07124
1.937	-0.06313
1.938	-0.03317
1.939	-0.03580
1.940	0.00655
1.941	0.03515
1.942	0.03062
1.943	0.00468
1.944	-0.00218
1.945	-0.00661
1.946	-0.03012
1.947	0.01268
1.948	0.00173
1.949	-0.01354
1.950	-0.01582
1.951	-0.00047
1.952	0.00580
1.953	0.01869
1.954	0.04245
1.955	0.03565
1.956	0.02724
1.957	-0.01429
1.958	-0.04202
1.959	-0.02779
1.960	-0.01719
1.961	-0.01248
1.962	0.00610
1.963	-0.00387
1.964	-0.00174
1.965	0.01581
1.966	0.00361
1.967	-0.00040
1.968	0.06071
1.969	0.08022
1.970	0.02065
1.971	-0.01888
1.972	-0.02301
1.973	0.02323
1.974	0.04566
1.975	0.00078
1.976	0.01240
1.977	0.06107
1.978	0.05772
1.979	0.02706
1.980	0.03385
1.981	0.03179
1.982	0.02530
1.983	0.03779
1.984	0.01871
1.985	0.00484
1.986	0.02506
1.987	0.07265
1.988	0.08325
1.989	0.06638
1.990	0.05497
1.991	0.03377
1.992	0.02116
1.993	0.08851
1.994	0.11743
1.995	0.02783
1.996	0.01386
1.997	0.03543
1.998	0.04266
1.999	0.05206
2.000	0.03259
2.001	0.03703
2.002	0.05389
2.003	0.04049
2.004	0.03862
2.005	0.06560
2.006	0.08690
2.007	0.05808
2.008	-0.01668
2.009	-0.04914
2.010	-0.00634
2.011	0.02667
2.012	0.01167
2.013	0.03425
2.014	0.04004
2.015	0.04531
2.016	0.04655
2.017	0.02898
2.018	0.01862
2.019	0.00903
2.020	0.01714
2.021	0.02881
2.022	0.04863
2.023	0.06925
2.024	0.03913
2.025	0.00348
2.026	0.00473
2.027	0.04468
2.028	0.06090
2.029	0.06665
2.030	0.03156
2.031	-0.01223
2.032	-0.00732
2.033	0.03014
2.034	0.09002
2.035	0.09170
2.036	0.06597
2.037	0.05269
2.038	0.05743
2.039	0.07112
2.040	0.06285
2.041	0.06353
2.042	0.03126
2.043	0.00051
2.044	0.00564
2.045	0.01567
2.046	0.00306
2.047	-0.00875
2.048	0.03308
2.049	0.06112
2.050	0.05020
2.051	0.00066
2.052	-0.00874
2.053	0.02025
2.054	-0.01554
2.055	0.07586
2.056	0.22560
2.057	0.15800
2.058	0.08290
2.059	0.08828
2.060	0.08064
2.061	0.07100
2.062	0.02544
2.063	-0.05804
2.064	-0.10720
2.065	-0.08938
2.066	-0.03928
2.067	0.00075
2.068	0.02882
2.069	-0.00150
2.070	-0.05804
2.071	-0.04688
2.072	-0.00407
2.073	0.01789
2.074	0.07884
2.075	0.10342
2.076	0.07348
2.077	0.05717
2.078	0.04652
2.079	0.01204
2.080	0.00625
2.081	0.05058
2.082	0.05389
2.083	0.05034
2.084	0.03908
2.085	0.01493
2.086	-0.01306
2.087	-0.00314
2.088	0.01741
2.089	0.03061
2.090	0.02653
2.091	-0.02585
2.092	-0.01608
2.093	0.08204
2.094	0.11742
2.095	0.07528
2.096	0.02976
2.097	-0.01598
2.098	-0.01276
2.099	0.06968
2.100	0.12454
2.101	0.05959
2.102	0.00214
2.103	0.01191
2.104	-0.01098
2.105	0.01688
2.106	0.05398
2.107	0.01474
2.108	-0.00520
2.109	0.01361
2.110	0.05690
2.111	0.08787
2.112	0.05625
2.113	0.03675
2.114	0.02300
2.115	0.00989
2.116	0.09496
2.117	0.16377
2.118	0.04607
2.119	-0.01964
2.120	0.05456
2.121	0.02134
2.122	0.02596
2.123	0.09418
2.124	0.03431
2.125	0.01819
2.126	0.10264
2.127	0.11250
2.128	0.06848
2.129	0.11597
2.130	0.25105
2.131	0.37576
2.132	0.40034
2.133	0.23493
2.134	0.07421
2.135	0.12880
2.136	0.30099
2.137	0.39139
2.138	0.37395
2.139	0.30651
2.140	0.30729
2.141	0.36893
2.142	0.28119
2.143	0.07249
2.144	0.10213
2.145	0.20791
2.146	0.11468
2.147	0.09126
2.148	0.18714
2.149	0.27198
2.150	0.29764
2.151	0.26381
2.152	0.32377
2.153	0.33036
2.154	0.08730
2.155	-0.00664
2.156	0.15793
2.157	0.29521
2.158	0.20594
2.159	0.10191
2.160	0.22243
2.161	0.29566
2.162	0.22328
2.163	0.18592
2.164	0.14735
2.165	0.17836
2.166	0.27735
2.167	0.28809
2.168	0.25843
2.169	0.16731
2.170	0.12531
2.171	0.14950
2.172	0.15414
2.173	0.16398
2.174	0.12486
2.175	0.03809
2.176	0.07030
2.177	0.09454
2.178	-0.00596
2.179	0.01925
2.180	0.09741
2.181	0.02692
2.182	-0.07836
2.183	0.04533
2.184	0.21856
2.185	0.18277
2.186	0.08969
2.187	0.10328
2.188	0.21002
2.189	0.21358
2.190	0.12739
2.191	0.12265
2.192	0.29015
2.193	0.53353
2.194	0.49015
2.195	0.27382
2.196	0.16044
2.197	0.08803
2.198	0.14668
2.199	0.23849
2.200	0.15580
2.201	0.04490
2.202	0.02418
2.203	0.01574
2.204	0.03530
2.205	0.09896
2.206	0.09781
2.207	0.04827
2.208	0.01293
2.209	-0.03545
2.210	-0.05118
2.211	0.03788
2.212	0.14785
2.213	0.12948
2.214	0.03222
2.215	-0.01359
2.216	-0.02646
2.217	-0.05016
2.218	-0.02199
2.219	0.05713
2.220	0.06565
2.221	0.03339
2.222	0.05626
2.223	0.10044
2.224	0.13114
2.225	0.12342
2.226	0.05902
2.227	-0.01218
2.228	-0.03605
2.229	-0.03935
2.230	-0.04949
2.231	-0.02419
2.232	0.03262
2.233	0.06635
2.234	0.05550
2.235	0.02632
2.236	-0.02042
2.237	-0.05541
2.238	-0.02680
2.239	0.01151
2.240	0.00881
2.241	0.01275
2.242	0.05499
2.243	0.08075
2.244	0.06645
2.245	0.02875
2.246	-0.02126
2.247	-0.05362
2.248	-0.04404
2.249	-0.00819
2.250	0.02007
2.251	0.02176
2.252	-0.00767
2.253	-0.03543
2.254	-0.03084
2.255	-0.01434
2.256	-0.00376
2.257	0.00466
2.258	0.00995
2.259	0.00364
2.260	-0.00566
2.261	0.00413
2.262	0.01016
2.263	-0.00107
2.264	-0.00334
2.265	-0.00892
2.266	-0.03464
2.267	-0.06257
2.268	-0.04185
2.269	0.02666
2.270	0.07113
2.271	0.07631
2.272	0.06619
2.273	0.04969
2.274	0.04783
2.275	0.05709
2.276	0.03548
2.277	0.00122
2.278	0.00635
2.279	0.02649
2.280	0.03130
2.281	0.03595
2.282	0.04029
2.283	0.03030
2.284	0.00833
2.285	-0.02180
2.286	-0.04935
2.287	-0.05484
2.288	-0.04544
2.289	-0.03063
2.290	-0.00196
2.291	0.02294
2.292	0.01808
2.293	0.00628
2.294	0.01299
2.295	0.01476
2.296	0.00855
2.297	0.01636
2.298	0.01379
2.299	-0.00896
2.300	-0.01391
2.301	0.01007
2.302	0.03131
2.303	0.02263
2.304	0.01335
2.305	0.03974
2.306	0.07364
2.307	0.06876
2.308	0.03077
2.309	0.00155
2.310	-0.00156
2.311	0.00161
2.312	-0.00381
2.313	-0.01141
2.314	-0.01778
2.315	-0.01898
2.316	-0.00440
2.317	0.01438
2.318	0.01957
2.319	0.02849
2.320	0.04959
2.321	0.05897
2.322	0.04858
2.323	0.03320
2.324	0.02339
2.325	0.02272
2.326	0.03088
2.327	0.03333
2.328	0.02038
2.329	0.00482
2.330	-0.00475
2.331	-0.01393
2.332	-0.01607
2.333	0.00360
2.334	0.03063
2.335	0.03542
2.336	0.02112
2.337	0.01567
2.338	0.01955
2.339	0.01119
2.340	-0.01252
2.341	-0.02956
2.342	-0.01735
2.343	0.00596
2.344	0.00219
2.345	-0.01109
2.346	-0.00079
2.347	0.01014
2.348	-0.00279
2.349	-0.00050
2.350	0.03999
2.351	0.07531
2.352	0.07906
2.353	0.06351
2.354	0.04456
2.355	0.04527
2.356	0.06746
2.357	0.07871
2.358	0.06644
2.359	0.04902
2.360	0.03482
2.361	0.01823
2.362	0.00589
2.363	0.00418
2.364	-0.00159
2.365	-0.01385
2.366	-0.01147
2.367	0.00281
2.368	0.00315
2.369	-0.01504
2.370	-0.03124
2.371	-0.03626
2.372	-0.03151
2.373	-0.01492
2.374	0.00570
2.375	0.01191
2.376	0.00357
2.377	-0.00039
2.378	0.00537
2.379	0.01023
2.380	0.01271
2.381	0.01268
2.382	0.00720
2.383	0.00042
2.384	-0.00195
2.385	-0.00167
2.386	-0.00379
2.387	-0.00378
2.388	0.00527
2.389	0.01523
2.390	0.01287
2.391	0.00351
2.392	-0.00046
2.393	0.00411
2.394	0.01668
2.395	0.02558
2.396	0.01500
2.397	-0.00542
2.398	-0.01549
2.399	-0.01461
2.400	-0.00766
2.401	-0.00050
2.402	-0.00302
2.403	-0.00632
2.404	0.00452
2.405	0.01865
2.406	0.02263
2.407	0.02475
2.408	0.02645
2.409	0.01787
2.410	0.00535
2.411	0.00796
2.412	0.02069
2.413	0.02285
2.414	0.02097
2.415	0.02444
2.416	0.01981
2.417	0.00726
2.418	0.00032
2.419	-0.00518
2.420	-0.01177
2.421	-0.01151
2.422	-0.00821
2.423	-0.00508
2.424	0.00266
2.425	0.00888
2.426	0.00783
2.427	0.00854
2.428	0.01167
2.429	-0.00046
2.430	-0.02780
2.431	-0.04036
2.432	-0.03019
2.433	-0.01941
2.434	-0.02385
2.435	-0.03173
2.436	-0.02015
2.437	0.00925
2.438	0.02627
2.439	0.01990
2.440	0.01169
2.441	0.01744
2.442	0.03251
2.443	0.04108
2.444	0.03600
2.445	0.03223
2.446	0.04178
2.447	0.04411
2.448	0.02673
2.449	0.00801
2.450	-0.00018
2.451	-0.00266
2.452	-0.00149
2.453	0.00253
2.454	0.00431
2.455	0.00108
2.456	-0.00409
2.457	-0.00504
2.458	0.00221
2.459	0.01264
2.460	0.01703
2.461	0.01313
2.462	0.00823
2.463	0.00773
2.464	0.00965
2.465	0.01165
2.466	0.01281
2.467	0.00980
2.468	0.00099
2.469	-0.00938
2.470	-0.01205
2.471	-0.00257
2.472	0.00744
2.473	0.00009
2.474	-0.01799
2.475	-0.02406
2.476	-0.01650
2.477	-0.00799
2.478	-0.00084
2.479	0.00672
2.480	0.00749
2.481	-0.00281
2.482	-0.01127
2.483	-0.00253
2.484	0.01426
2.485	0.01771
2.486	0.00853
2.487	0.00155
2.488	0.00085
2.489	0.00366
2.490	0.00467
2.491	-0.00032
2.492	-0.00342
2.493	-0.00085
2.494	-0.00119
2.495	-0.00613
2.496	-0.00882
2.497	-0.00083
2.498	0.02088
2.499	0.03922
2.500	0.03638
2.501	0.01988
2.502	0.00755
2.503	0.00403
2.504	0.00748
2.505	0.01259
2.506	0.00999
2.507	0.00033
2.508	-0.00579
2.509	-0.00210
2.510	0.00754
2.511	0.01479
2.512	0.01554
2.513	0.01219
2.514	0.00188
2.515	-0.01915
2.516	-0.03472
2.517	-0.02791
2.518	-0.01024
2.519	-0.00203
2.520	-0.00166
2.521	0.00223
