FILENAME:	2bb015_9.txt
TITLE:	AFC Filter 01 ZnS Test Piece Sample 2BB @ 15K, 2.6°i, In f/8 (CDCR 04791/04797, SMCR 01930)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 01 (N-Band) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	20-Aug-2001
AUTHOR:	Richard Sherwood
CHANNEL:	01
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.743	-0.14132
1.744	0.30188
1.745	0.03957
1.746	-0.22710
1.747	0.06433
1.748	0.45291
1.749	-0.02910
1.750	-0.08723
1.751	0.33296
1.752	0.07260
1.753	0.12874
1.754	0.09064
1.755	-0.27254
1.756	0.44952
1.757	0.38561
1.758	0.44724
1.759	0.33087
1.760	0.04308
1.761	-0.07672
1.762	0.31245
1.763	-0.03225
1.764	-0.05599
1.765	0.03389
1.766	-0.02107
1.767	0.24671
1.768	-0.07256
1.769	-0.00027
1.770	-0.11387
1.771	-0.07639
1.772	0.13764
1.773	0.02715
1.774	0.23033
1.775	0.13146
1.776	0.07898
1.777	0.29290
1.778	0.22876
1.779	-0.26538
1.780	0.06210
1.781	-0.04904
1.782	0.40327
1.783	0.05536
1.784	0.13447
1.785	0.25377
1.786	-0.01466
1.787	-0.06148
1.788	0.38600
1.789	0.35033
1.790	0.22719
1.791	0.25630
1.792	-0.03023
1.793	0.01440
1.794	-0.33314
1.795	-0.15039
1.796	-0.15230
1.797	0.11880
1.798	-0.13731
1.799	-0.20794
1.800	-0.12535
1.801	0.12650
1.802	0.25072
1.803	0.01615
1.804	-0.03616
1.805	-0.11010
1.806	0.12403
1.807	-0.09328
1.808	0.10124
1.809	-0.01593
1.810	-0.10177
1.811	0.39136
1.812	0.13973
1.813	0.19708
1.814	0.37492
1.815	-0.00516
1.816	0.12479
1.817	0.05244
1.818	0.17251
1.819	-0.27357
1.820	0.12854
1.821	0.25262
1.822	0.22189
1.823	0.02574
1.824	-0.01949
1.825	-0.01696
1.826	0.53439
1.827	0.55230
1.828	0.19749
1.829	-0.00042
1.830	-0.26087
1.831	-0.19745
1.832	0.28167
1.833	0.49208
1.834	-0.18740
1.835	0.22826
1.836	0.25010
1.837	-0.12533
1.838	-0.21542
1.839	-0.05858
1.840	0.27769
1.841	-0.16605
1.842	0.33709
1.843	0.18274
1.844	-0.06922
1.845	-0.08704
1.846	0.09094
1.847	-0.22401
1.848	0.23468
1.849	0.35538
1.850	0.18864
1.851	0.26363
1.852	-0.16764
1.853	-0.32765
1.854	0.15514
1.855	-0.04060
1.856	0.21691
1.857	-0.24544
1.858	-0.02590
1.859	-0.02853
1.860	0.17535
1.861	0.02908
1.862	0.10285
1.863	-0.08494
1.864	0.00604
1.865	0.17428
1.866	-0.06403
1.867	0.43099
1.868	0.49866
1.869	-0.14259
1.870	0.08125
1.871	0.57758
1.872	0.13252
1.873	-0.07203
1.874	0.07342
1.875	-0.02059
1.876	0.05696
1.877	-0.24816
1.878	0.12238
1.879	-0.25194
1.880	-0.34804
1.881	-0.04916
1.882	0.03904
1.883	-0.05705
1.884	-0.07126
1.885	0.14158
1.886	-0.06097
1.887	0.01452
1.888	-0.06821
1.889	-0.14125
1.890	0.06732
1.891	-0.00530
1.892	0.12087
1.893	-0.03332
1.894	-0.06167
1.895	-0.04053
1.896	-0.10102
1.897	0.10019
1.898	0.13615
1.899	-0.04762
1.900	0.14302
1.901	-0.15536
1.902	0.17919
1.903	0.09951
1.904	0.06368
1.905	0.28972
1.906	0.21764
1.907	0.15457
1.908	0.03243
1.909	0.02330
1.910	-0.02534
1.911	0.08429
1.912	0.00886
1.913	-0.01982
1.914	-0.08886
1.915	-0.12672
1.916	0.10949
1.917	0.06714
1.918	-0.16097
1.919	-0.01156
1.920	-0.12685
1.921	0.08163
1.922	-0.03234
1.923	0.15043
1.924	-0.05181
1.925	0.03557
1.926	0.09460
1.927	0.05374
1.928	-0.00310
1.929	0.10408
1.930	0.25768
1.931	0.22983
1.932	-0.19932
1.933	-0.14317
1.934	0.19744
1.935	-0.86054
1.936	-0.12682
1.937	0.22751
1.938	0.09921
1.939	0.01317
1.940	0.16420
1.941	0.16795
1.942	0.08495
1.943	0.18962
1.944	0.08602
1.945	0.02884
1.946	-0.00019
1.947	-0.23972
1.948	-0.22650
1.949	-0.04233
1.950	0.19447
1.951	0.07864
1.952	0.15281
1.953	0.20790
1.954	0.02867
1.955	0.08678
1.956	0.20077
1.957	-0.01712
1.958	0.00217
1.959	0.01469
1.960	0.07432
1.961	0.20715
1.962	0.23024
1.963	-0.02340
1.964	0.13361
1.965	0.00509
1.966	-0.11908
1.967	-0.13731
1.968	-0.05720
1.969	0.04360
1.970	0.16026
1.971	0.07003
1.972	0.22846
1.973	0.06803
1.974	0.02797
1.975	0.13481
1.976	-0.07854
1.977	-0.07230
1.978	0.03627
1.979	0.27696
1.980	0.06516
1.981	0.15068
1.982	0.15275
1.983	-0.02601
1.984	-0.03826
1.985	-0.01285
1.986	-0.14804
1.987	0.09223
1.988	0.17499
1.989	-0.09614
1.990	0.03881
1.991	-0.18736
1.992	-0.03275
1.993	-0.27675
1.994	0.08301
1.995	0.18154
1.996	0.04485
1.997	0.26493
1.998	0.04421
1.999	0.03778
2.000	0.16453
2.001	0.11569
2.002	-0.04414
2.003	0.11537
2.004	0.04978
2.005	0.09173
2.006	0.34570
2.007	0.22028
2.008	-0.04510
2.009	-0.03358
2.010	-0.07768
2.011	-0.15066
2.012	-0.23980
2.013	0.06595
2.014	0.15451
2.015	0.11891
2.016	0.07015
2.017	0.18869
2.018	-0.10679
2.019	-0.04060
2.020	0.06553
2.021	0.08797
2.022	-0.12869
2.023	-0.01901
2.024	-0.06094
2.025	-0.08937
2.026	0.01276
2.027	0.13235
2.028	-0.03537
2.029	-0.13067
2.030	-0.04989
2.031	0.09534
2.032	0.22170
2.033	0.11432
2.034	0.08010
2.035	0.05107
2.036	-0.17962
2.037	-0.05112
2.038	-0.08627
2.039	-0.02578
2.040	0.13348
2.041	0.05910
2.042	0.10484
2.043	0.08227
2.044	-0.21136
2.045	-0.08305
2.046	0.36510
2.047	0.31141
2.048	-0.14083
2.049	0.06416
2.050	0.05068
2.051	-0.00255
2.052	0.13299
2.053	0.04260
2.054	0.05227
2.055	0.32534
2.056	-0.77490
2.057	-0.13704
2.058	0.07065
2.059	-0.02490
2.060	-0.11710
2.061	-0.20661
2.062	0.00201
2.063	0.08573
2.064	-0.26388
2.065	-0.12564
2.066	-0.13213
2.067	0.10318
2.068	0.02417
2.069	-0.03108
2.070	0.08075
2.071	0.14598
2.072	0.38459
2.073	0.36706
2.074	0.06721
2.075	0.19925
2.076	0.06864
2.077	0.18023
2.078	-0.08930
2.079	-0.13409
2.080	-0.07064
2.081	-0.01063
2.082	0.15650
2.083	0.00353
2.084	-0.04260
2.085	0.07535
2.086	-0.37253
2.087	0.11567
2.088	0.15024
2.089	0.16959
2.090	0.30733
2.091	0.10578
2.092	0.21579
2.093	0.25830
2.094	0.07612
2.095	0.22670
2.096	-0.00550
2.097	-0.01117
2.098	-0.08405
2.099	-0.04307
2.100	0.10787
2.101	-0.08747
2.102	-0.20024
2.103	0.15229
2.104	0.08018
2.105	0.12569
2.106	-0.10019
2.107	-0.10165
2.108	0.24975
2.109	0.52675
2.110	0.00643
2.111	0.13784
2.112	-0.12844
2.113	0.23838
2.114	0.53229
2.115	0.50361
2.116	0.00920
2.117	0.42386
2.118	0.37430
2.119	0.17204
2.120	0.17787
2.121	0.71959
2.122	0.67554
2.123	-0.37129
2.124	0.32317
