#Lambda	Flux(Jy)
1.769	0.04793
1.770	0.04910
1.771	0.13591
1.772	0.14051
1.773	0.03644
1.774	-0.00844
1.775	0.02603
1.776	0.11415
1.777	0.28941
1.778	0.27490
1.779	-0.09246
1.780	-0.05557
1.781	-0.01279
1.782	-0.07903
1.783	-0.14541
1.784	-0.05956
1.785	-0.00290
1.786	-0.05745
1.787	-0.03994
1.788	0.04585
1.789	0.00698
1.790	0.00481
1.791	-0.02951
1.792	-0.03459
1.793	-0.01282
1.794	-0.04073
1.795	-0.06894
1.796	-0.02231
1.797	0.11868
1.798	0.09713
1.799	0.02117
1.800	-0.00441
1.801	0.02019
1.802	-0.03519
1.803	-0.07488
1.804	-0.01426
1.805	0.08292
1.806	0.09333
1.807	-0.00525
1.808	-0.09571
1.809	-0.01797
1.810	0.13169
1.811	0.13651
1.812	0.03875
1.813	-0.03146
1.814	-0.09221
1.815	-0.06269
1.816	-0.03888
1.817	0.03572
1.818	0.15497
1.819	0.08407
1.820	0.02194
1.821	0.01485
1.822	0.05297
1.823	0.04319
1.824	-0.02945
1.825	-0.00161
1.826	-0.06748
1.827	-0.01295
1.828	0.03152
1.829	0.06267
1.830	0.07059
1.831	0.11807
1.832	0.07388
1.833	0.00441
1.834	0.01220
1.835	0.01550
1.836	0.05453
1.837	0.03650
1.838	-0.03277
1.839	0.04293
1.840	0.03156
1.841	-0.05667
1.842	-0.05946
1.843	0.02603
1.844	0.02679
1.845	0.07075
1.846	0.03267
1.847	-0.04777
1.848	-0.09344
1.849	-0.05792
1.850	0.07224
1.851	0.11765
1.852	0.05244
1.853	0.00073
1.854	0.05598
1.855	0.07266
1.856	0.01155
1.857	-0.01318
1.858	-0.00820
1.859	0.07523
1.860	0.15635
1.861	0.06474
1.862	-0.04040
1.863	0.00742
1.864	0.01768
1.865	-0.03094
1.866	-0.00231
1.867	0.01667
1.868	0.04356
1.869	-0.03423
1.870	-0.09103
1.871	-0.03567
1.872	0.05836
1.873	0.11560
1.874	0.01976
1.875	-0.00337
1.876	-0.00125
1.877	-0.05792
1.878	-0.12844
1.879	-0.22539
1.880	-0.03981
1.881	0.14541
1.882	0.11033
1.883	0.05743
1.884	0.03567
1.885	0.00934
1.886	0.02510
1.887	0.06543
1.888	0.03331
1.889	0.01143
1.890	0.01833
1.891	0.04295
1.892	0.03835
1.893	0.07236
1.894	0.11422
1.895	0.09824
1.896	0.08749
1.897	0.04805
1.898	-0.00435
1.899	-0.00887
1.900	-0.00444
1.901	0.00424
1.902	0.06833
1.903	0.07197
1.904	0.00443
1.905	-0.03852
1.906	-0.02978
1.907	0.00343
1.908	0.01078
1.909	-0.00891
1.910	-0.01076
1.911	-0.03294
1.912	-0.05625
1.913	0.00601
1.914	0.05785
1.915	0.04100
1.916	-0.02858
1.917	-0.04199
1.918	0.03911
1.919	0.03718
1.920	0.06206
1.921	0.03818
1.922	0.04225
1.923	0.03180
1.924	-0.00001
1.925	0.01034
1.926	0.04751
1.927	0.04533
1.928	0.02918
1.929	-0.01068
1.930	0.02761
1.931	0.05997
1.932	0.03793
1.933	-0.00386
1.934	-0.03961
1.935	-0.06623
1.936	-0.02388
1.937	-0.02339
1.938	-0.03924
1.939	-0.01743
1.940	0.01170
1.941	0.03597
1.942	-0.01364
1.943	-0.05319
1.944	-0.02970
1.945	0.02726
1.946	0.03720
1.947	0.02901
1.948	0.00929
1.949	0.02471
1.950	0.01521
1.951	0.05060
1.952	0.07331
1.953	0.00955
1.954	0.01286
1.955	0.05307
1.956	0.06453
1.957	0.05516
1.958	0.04946
1.959	0.01679
1.960	0.02327
1.961	0.04933
1.962	0.03726
1.963	0.02722
1.964	0.06141
1.965	0.03410
1.966	0.00051
1.967	0.00487
1.968	-0.00251
1.969	-0.01308
1.970	-0.01523
1.971	0.00545
1.972	0.00386
1.973	-0.00848
1.974	-0.02233
1.975	-0.01232
1.976	0.00108
1.977	-0.04330
1.978	-0.09412
1.979	-0.07916
1.980	-0.00647
1.981	0.01587
1.982	0.01088
1.983	0.02834
1.984	0.01866
1.985	0.02868
1.986	0.06944
1.987	0.06911
1.988	0.03100
1.989	0.00648
1.990	0.04930
1.991	0.05545
1.992	0.03047
1.993	0.10086
1.994	0.07358
1.995	-0.02356
1.996	-0.02758
1.997	-0.00807
1.998	0.00528
1.999	-0.01340
2.000	-0.02115
2.001	-0.05003
2.002	-0.06740
2.003	0.00000
2.004	0.01361
2.005	0.01260
2.006	0.00712
2.007	-0.00098
2.008	0.01286
2.009	-0.00949
2.010	0.00430
2.011	0.03679
2.012	0.03555
2.013	0.02446
2.014	0.01297
2.015	-0.01537
2.016	-0.00399
2.017	0.04682
2.018	0.06166
2.019	0.04528
2.020	0.01891
2.021	-0.02884
2.022	-0.01496
2.023	0.02477
2.024	0.03951
2.025	0.01582
2.026	-0.03927
2.027	-0.06610
2.028	-0.04570
2.029	0.01205
2.030	0.02849
2.031	0.01990
2.032	-0.00599
2.033	-0.02588
2.034	0.01764
2.035	0.05687
2.036	0.04645
2.037	0.04004
2.038	0.02826
2.039	0.01870
2.040	-0.03475
2.041	-0.04856
2.042	-0.00495
2.043	0.02540
2.044	0.03372
2.045	-0.02364
2.046	-0.07260
2.047	-0.01784
2.048	0.01717
2.049	-0.00603
2.050	-0.03158
2.051	-0.03575
2.052	-0.01614
2.053	0.02647
2.054	0.04202
2.055	0.03614
2.056	0.04530
2.057	0.00375
2.058	-0.01269
2.059	0.01521
2.060	0.06267
2.061	0.07679
2.062	0.04443
2.063	0.01423
2.064	-0.01459
2.065	-0.05113
2.066	-0.05810
2.067	0.03494
2.068	0.08150
2.069	0.04975
2.070	0.07416
2.071	0.03866
2.072	0.04174
2.073	0.08223
2.074	0.04769
2.075	0.03053
2.076	0.02139
2.077	0.02443
2.078	0.06764
2.079	0.03917
2.080	0.02992
2.081	0.08639
2.082	0.08065
2.083	0.03298
2.084	0.01793
2.085	0.01440
2.086	0.04362
2.087	0.06514
2.088	0.05093
2.089	0.02517
2.090	0.00325
2.091	-0.01742
2.092	-0.07708
2.093	-0.09297
2.094	-0.03862
2.095	0.01138
2.096	0.02653
2.097	-0.00101
2.098	-0.05689
2.099	-0.04039
2.100	0.01678
2.101	0.01942
2.102	-0.03404
2.103	-0.09420
2.104	-0.10303
2.105	-0.01284
2.106	0.05154
2.107	0.01158
2.108	-0.01069
2.109	0.06344
2.110	0.10754
2.111	0.09794
2.112	0.15766
2.113	0.15440
2.114	0.09203
2.115	0.10236
2.116	0.11304
2.117	0.11398
2.118	0.06152
2.119	-0.02540
2.120	-0.03345
2.121	-0.07705
2.122	-0.15889
2.123	-0.11394
2.124	-0.03607
2.125	0.00673
2.126	0.04647
2.127	0.07558
2.128	0.13650
2.129	0.17504
2.130	0.16276
2.131	0.15817
2.132	0.14006
2.133	0.08019
2.134	0.10420
2.135	0.21229
2.136	0.20426
2.137	0.07046
2.138	-0.01269
2.139	0.04418
2.140	-0.00061
2.141	-0.07790
2.142	-0.05919
2.143	-0.07895
2.144	0.03379
2.145	0.22023
2.146	0.18452
2.147	0.01814
2.148	0.02745
2.149	0.22603
2.150	0.31031
2.151	0.08654
2.152	-0.17452
2.153	-0.23561
2.154	-0.08469
2.155	0.07698
2.156	0.04977
2.157	0.04461
2.158	0.04395
2.159	-0.07168
2.160	-0.00357
2.161	0.24219
2.162	0.28787
2.163	0.10425
2.164	-0.02581
2.165	-0.09448
2.166	-0.09466
2.167	-0.09320
2.168	0.01758
2.169	0.26475
2.170	0.24722
2.171	0.07476
2.172	-0.00565
2.173	-0.02095
2.174	-0.07209
2.175	-0.14147
2.176	-0.17880
2.177	-0.15303
2.178	-0.01084
2.179	0.09267
2.180	0.06812
2.181	0.12483
2.182	0.34114
2.183	0.34534
2.184	0.18294
2.185	0.08060
2.186	-0.02415
2.187	-0.08957
2.188	-0.04590
2.189	0.13099
2.190	0.23519
2.191	0.21605
2.192	0.04195
2.193	-0.22777
2.194	-0.18914
2.195	0.02409
2.196	0.05654
2.197	-0.02853
2.198	-0.05231
2.199	-0.01631
2.200	-0.02873
2.201	-0.01677
2.202	0.11985
2.203	0.19162
2.204	0.09794
2.205	0.05987
2.206	0.05898
2.207	0.02151
2.208	0.00641
2.209	0.00138
2.210	0.01708
2.211	0.05389
2.212	0.06030
2.213	0.03961
2.214	0.03938
2.215	0.03458
2.216	0.01551
2.217	-0.00168
2.218	-0.02906
2.219	-0.02919
2.220	0.00364
2.221	0.02447
2.222	0.06183
2.223	0.09994
2.224	0.06239
2.225	-0.01677
2.226	-0.05555
2.227	-0.03331
2.228	-0.00237
2.229	0.00552
2.230	0.00755
2.231	0.01231
2.232	0.03991
2.233	0.05852
2.234	0.00622
2.235	-0.05466
2.236	-0.05899
2.237	-0.03275
2.238	0.00752
2.239	0.04045
2.240	0.04981
2.241	0.04489
2.242	0.03311
2.243	0.03595
2.244	0.04371
2.245	0.02653
2.246	0.01708
2.247	0.03535
2.248	0.04686
2.249	0.02263
2.250	-0.01195
2.251	-0.01544
2.252	-0.00285
2.253	0.01377
2.254	0.02630
2.255	0.02057
2.256	0.02276
2.257	0.04629
2.258	0.04864
2.259	0.01687
2.260	-0.01447
2.261	-0.02815
2.262	-0.01330
2.263	0.01792
2.264	0.03383
2.265	0.05108
2.266	0.08173
2.267	0.08898
2.268	0.06989
2.269	0.04216
2.270	0.00659
2.271	-0.00931
2.272	0.01984
2.273	0.06275
2.274	0.07834
2.275	0.04015
2.276	-0.04380
2.277	-0.08336
2.278	-0.04415
2.279	-0.01129
2.280	-0.02001
2.281	-0.02587
2.282	-0.01032
2.283	0.00747
2.284	0.03440
2.285	0.06383
2.286	0.06407
2.287	0.04374
2.288	0.01716
2.289	-0.01638
2.290	-0.03100
2.291	-0.00962
2.292	0.01889
2.293	0.01071
2.294	-0.01778
2.295	-0.00746
2.296	0.03574
2.297	0.05234
2.298	0.02705
2.299	-0.00313
2.300	-0.01430
2.301	-0.00003
2.302	0.02821
2.303	0.03132
2.304	0.01152
2.305	-0.00465
2.306	-0.01014
2.307	-0.00096
2.308	0.00800
2.309	0.01297
2.310	0.02653
2.311	0.02875
2.312	0.01496
2.313	0.00166
2.314	-0.00762
2.315	-0.01279
2.316	-0.02267
2.317	-0.04364
2.318	-0.06255
2.319	-0.06360
2.320	-0.05545
2.321	-0.05314
2.322	-0.03230
2.323	0.00824
2.324	0.01578
2.325	-0.00305
2.326	0.00779
2.327	0.03223
2.328	0.03158
2.329	0.01944
2.330	0.01994
2.331	0.02738
2.332	0.02490
2.333	0.00733
2.334	-0.01307
2.335	-0.01570
2.336	0.00162
2.337	0.01688
2.338	0.01002
2.339	-0.01029
2.340	-0.01663
2.341	-0.01105
2.342	-0.01387
2.343	-0.01301
2.344	-0.00341
2.345	-0.01246
2.346	-0.03179
2.347	-0.03627
2.348	-0.01948
2.349	0.03903
2.350	0.11717
2.351	0.13827
2.352	0.09346
2.353	0.03673
2.354	0.00904
2.355	0.01984
2.356	0.04012
2.357	0.03947
2.358	0.02881
2.359	0.02945
2.360	0.03140
2.361	0.02053
2.362	0.00544
2.363	-0.00187
2.364	-0.00484
2.365	-0.01298
2.366	-0.02475
2.367	-0.03728
2.368	-0.04892
2.369	-0.04401
2.370	-0.01591
2.371	0.01472
2.372	0.03237
2.373	0.03226
2.374	0.01200
2.375	-0.00660
2.376	0.00218
2.377	0.02618
2.378	0.03426
2.379	0.02921
2.380	0.02872
2.381	0.02429
2.382	0.00064
2.383	-0.02623
2.384	-0.03760
2.385	-0.03449
2.386	-0.02244
2.387	-0.01220
2.388	-0.01531
2.389	-0.02305
2.390	-0.02379
2.391	-0.02206
2.392	-0.02175
2.393	-0.01931
2.394	-0.00617
2.395	0.01634
2.396	0.03033
2.397	0.02736
2.398	0.01562
2.399	0.00694
2.400	0.00629
2.401	0.00538
