#Lambda	Flux(Jy)
5.676	0.00673
5.677	0.00461
5.678	0.00235
5.679	0.00000
5.680	-0.00256
5.681	-0.00514
5.682	-0.00752
5.683	-0.00979
5.684	-0.01187
5.685	-0.01350
5.686	-0.01460
5.687	-0.01525
5.688	-0.01541
5.689	-0.01497
5.690	-0.01395
5.691	-0.01259
5.692	-0.01110
5.693	-0.00924
5.694	-0.00736
5.695	-0.00586
5.696	-0.00464
5.697	-0.00373
5.698	-0.00336
5.699	-0.00366
5.700	-0.00450
5.701	-0.00572
5.702	-0.00736
5.703	-0.00949
5.704	-0.01168
5.705	-0.01357
5.706	-0.01543
5.707	-0.01701
5.708	-0.01794
5.709	-0.01825
5.710	-0.01803
5.711	-0.01724
5.712	-0.01579
5.713	-0.01374
5.714	-0.01138
5.715	-0.00881
5.716	-0.00589
5.717	-0.00286
5.718	0.00005
5.719	0.00294
5.720	0.00579
5.721	0.00850
5.722	0.01106
5.723	0.01352
5.724	0.01587
5.725	0.01815
5.726	0.02034
5.727	0.02237
5.728	0.02421
5.729	0.02593
5.730	0.02739
5.731	0.02845
5.732	0.02923
5.733	0.02961
5.734	0.02942
5.735	0.02865
5.736	0.02735
5.737	0.02540
5.738	0.02272
5.739	0.01932
5.740	0.01539
5.741	0.01103
5.742	0.00602
5.743	0.00072
5.744	-0.00440
5.745	-0.00957
5.746	-0.01464
5.747	-0.01912
5.748	-0.02283
5.749	-0.02598
5.750	-0.02841
5.751	-0.03000
5.752	-0.03076
5.753	-0.03084
5.754	-0.03040
5.755	-0.02932
5.756	-0.02771
5.757	-0.02578
5.758	-0.02361
5.759	-0.02110
5.760	-0.01831
5.761	-0.01526
5.762	-0.01195
5.763	-0.00836
5.764	-0.00452
5.765	-0.00034
5.766	0.00406
5.767	0.00855
5.768	0.01319
5.769	0.01798
5.770	0.02260
5.771	0.02690
5.772	0.03106
5.773	0.03484
5.774	0.03802
5.775	0.04066
5.776	0.04278
5.777	0.04429
5.778	0.04515
5.779	0.04540
5.780	0.04514
5.781	0.04439
5.782	0.04309
5.783	0.04137
5.784	0.03935
5.785	0.03692
5.786	0.03419
5.787	0.03136
5.788	0.02839
5.789	0.02526
5.790	0.02222
5.791	0.01944
5.792	0.01676
5.793	0.01435
5.794	0.01243
5.795	0.01096
5.796	0.00991
5.797	0.00933
5.798	0.00929
5.799	0.00977
5.800	0.01056
5.801	0.01157
5.802	0.01295
5.803	0.01447
5.804	0.01589
5.805	0.01728
5.806	0.01862
5.807	0.01973
5.808	0.02051
5.809	0.02106
5.810	0.02132
5.811	0.02124
5.812	0.02081
5.813	0.02009
5.814	0.01912
5.815	0.01785
5.816	0.01631
5.817	0.01461
5.818	0.01278
5.819	0.01073
5.820	0.00865
5.821	0.00676
5.822	0.00493
5.823	0.00323
5.824	0.00190
5.825	0.00101
5.826	0.00047
5.827	0.00035
5.828	0.00074
5.829	0.00166
5.830	0.00298
5.831	0.00457
5.832	0.00653
5.833	0.00879
5.834	0.01111
5.835	0.01339
5.836	0.01576
5.837	0.01804
5.838	0.02002
5.839	0.02178
5.840	0.02330
5.841	0.02447
5.842	0.02522
5.843	0.02561
5.844	0.02566
5.845	0.02538
5.846	0.02472
5.847	0.02376
5.848	0.02264
5.849	0.02132
5.850	0.01981
5.851	0.01821
5.852	0.01662
5.853	0.01497
5.854	0.01330
5.855	0.01168
5.856	0.01009
5.857	0.00853
5.858	0.00703
5.859	0.00560
5.860	0.00423
5.861	0.00292
5.862	0.00170
5.863	0.00054
5.864	-0.00054
5.865	-0.00153
5.866	-0.00243
5.867	-0.00326
5.868	-0.00397
5.869	-0.00454
5.870	-0.00503
5.871	-0.00535
5.872	-0.00541
5.873	-0.00522
5.874	-0.00480
5.875	-0.00403
5.876	-0.00281
5.877	-0.00117
5.878	0.00082
5.879	0.00306
5.880	0.00567
5.881	0.00858
5.882	0.01150
5.883	0.01432
5.884	0.01720
5.885	0.01992
5.886	0.02223
5.887	0.02415
5.888	0.02575
5.889	0.02693
5.890	0.02762
5.891	0.02782
5.892	0.02770
5.893	0.02743
5.894	0.02690
5.895	0.02617
5.896	0.02544
5.897	0.02479
5.898	0.02411
5.899	0.02352
5.900	0.02313
5.901	0.02292
5.902	0.02286
5.903	0.02297
5.904	0.02326
5.905	0.02373
5.906	0.02432
5.907	0.02496
5.908	0.02572
5.909	0.02653
5.910	0.02734
5.911	0.02810
5.912	0.02886
5.913	0.02958
5.914	0.03022
5.915	0.03074
5.916	0.03121
5.917	0.03175
5.918	0.03236
5.919	0.03297
5.920	0.03377
5.921	0.03493
5.922	0.03638
5.923	0.03813
5.924	0.04023
5.925	0.04281
5.926	0.04583
5.927	0.04902
5.928	0.05213
5.929	0.05550
5.930	0.05879
5.931	0.06141
5.932	0.06317
5.933	0.06439
5.934	0.06466
5.935	0.06355
5.936	0.06104
5.937	0.05736
5.938	0.05272
5.939	0.04703
5.940	0.04009
5.941	0.03266
5.942	0.02543
5.943	0.01797
5.944	0.01049
5.945	0.00376
5.946	-0.00178
5.947	-0.00653
5.948	-0.01034
5.949	-0.01303
5.950	-0.01445
5.951	-0.01480
5.952	-0.01439
5.953	-0.01335
5.954	-0.01145
5.955	-0.00901
5.956	-0.00639
5.957	-0.00350
5.958	-0.00031
5.959	0.00288
5.960	0.00586
5.961	0.00883
5.962	0.01164
5.963	0.01407
5.964	0.01610
5.965	0.01779
5.966	0.01912
5.967	0.02004
5.968	0.02046
5.969	0.02055
5.970	0.02053
5.971	0.02040
5.972	0.02006
5.973	0.01976
5.974	0.01975
5.975	0.01995
5.976	0.02032
5.977	0.02091
5.978	0.02178
5.979	0.02293
5.980	0.02420
5.981	0.02541
5.982	0.02667
5.983	0.02793
5.984	0.02897
5.985	0.02962
5.986	0.02999
5.987	0.03007
5.988	0.02981
5.989	0.02913
5.990	0.02808
5.991	0.02683
5.992	0.02551
5.993	0.02398
5.994	0.02237
5.995	0.02085
5.996	0.01952
5.997	0.01826
5.998	0.01717
5.999	0.01636
6.000	0.01585
6.001	0.01558
6.002	0.01552
6.003	0.01567
6.004	0.01610
6.005	0.01667
6.006	0.01726
6.007	0.01789
6.008	0.01860
6.009	0.01919
6.010	0.01953
6.011	0.01971
6.012	0.01968
6.013	0.01936
6.014	0.01868
6.015	0.01766
6.016	0.01639
6.017	0.01496
6.018	0.01326
6.019	0.01135
6.020	0.00946
6.021	0.00772
6.022	0.00600
6.023	0.00438
6.024	0.00300
6.025	0.00189
6.026	0.00100
6.027	0.00033
6.028	-0.00009
6.029	-0.00024
6.030	-0.00017
6.031	0.00007
6.032	0.00045
6.033	0.00101
6.034	0.00170
6.035	0.00245
6.036	0.00330
6.037	0.00424
6.038	0.00517
6.039	0.00601
6.040	0.00684
6.041	0.00759
6.042	0.00814
6.043	0.00843
6.044	0.00853
6.045	0.00837
6.046	0.00788
6.047	0.00700
6.048	0.00580
6.049	0.00436
6.050	0.00274
6.051	0.00077
6.052	-0.00135
6.053	-0.00332
6.054	-0.00506
6.055	-0.00677
6.056	-0.00815
6.057	-0.00889
6.058	-0.00899
6.059	-0.00855
6.060	-0.00749
6.061	-0.00571
6.062	-0.00310
6.063	0.00012
6.064	0.00366
6.065	0.00747
6.066	0.01179
6.067	0.01617
6.068	0.02012
6.069	0.02371
6.070	0.02706
6.071	0.02984
6.072	0.03176
6.073	0.03287
6.074	0.03329
6.075	0.03305
6.076	0.03211
6.077	0.03037
6.078	0.02812
6.079	0.02570
6.080	0.02304
6.081	0.02007
6.082	0.01709
6.083	0.01441
6.084	0.01190
6.085	0.00955
6.086	0.00751
6.087	0.00591
6.088	0.00470
6.089	0.00382
6.090	0.00319
6.091	0.00285
6.092	0.00282
6.093	0.00296
6.094	0.00312
6.095	0.00336
6.096	0.00367
6.097	0.00402
6.098	0.00432
6.099	0.00456
6.100	0.00482
6.101	0.00521
6.102	0.00579
6.103	0.00647
6.104	0.00733
6.105	0.00843
6.106	0.00988
6.107	0.01161
6.108	0.01344
6.109	0.01523
6.110	0.01717
6.111	0.01913
6.112	0.02078
6.113	0.02190
6.114	0.02270
6.115	0.02308
6.116	0.02291
6.117	0.02206
6.118	0.02059
6.119	0.01866
6.120	0.01643
6.121	0.01379
6.122	0.01074
6.123	0.00757
6.124	0.00454
6.125	0.00148
6.126	-0.00157
6.127	-0.00441
6.128	-0.00692
6.129	-0.00920
6.130	-0.01122
6.131	-0.01292
6.132	-0.01428
6.133	-0.01531
6.134	-0.01603
6.135	-0.01643
6.136	-0.01650
6.137	-0.01625
6.138	-0.01571
6.139	-0.01490
6.140	-0.01378
6.141	-0.01238
6.142	-0.01079
6.143	-0.00906
6.144	-0.00708
6.145	-0.00496
6.146	-0.00284
6.147	-0.00078
6.148	0.00135
6.149	0.00339
6.150	0.00519
6.151	0.00675
6.152	0.00812
6.153	0.00922
6.154	0.00993
6.155	0.01023
6.156	0.01019
6.157	0.00987
6.158	0.00929
6.159	0.00836
6.160	0.00718
6.161	0.00593
6.162	0.00471
6.163	0.00339
6.164	0.00207
6.165	0.00092
6.166	0.00000
6.167	-0.00078
6.168	-0.00138
6.169	-0.00176
6.170	-0.00188
6.171	-0.00178
6.172	-0.00151
6.173	-0.00115
6.174	-0.00064
6.175	0.00000
6.176	0.00069
6.177	0.00135
6.178	0.00205
6.179	0.00275
6.180	0.00337
6.181	0.00383
6.182	0.00421
6.183	0.00448
6.184	0.00458
6.185	0.00450
6.186	0.00424
6.187	0.00384
6.188	0.00331
6.189	0.00265
6.190	0.00183
6.191	0.00092
6.192	-0.00002
6.193	-0.00101
6.194	-0.00207
6.195	-0.00314
6.196	-0.00421
6.197	-0.00528
6.198	-0.00635
6.199	-0.00740
6.200	-0.00840
6.201	-0.00940
6.202	-0.01036
6.203	-0.01120
6.204	-0.01189
6.205	-0.01248
6.206	-0.01293
6.207	-0.01317
6.208	-0.01313
6.209	-0.01285
6.210	-0.01237
6.211	-0.01172
6.212	-0.01087
6.213	-0.00979
6.214	-0.00861
6.215	-0.00750
6.216	-0.00644
6.217	-0.00535
6.218	-0.00438
6.219	-0.00367
6.220	-0.00321
6.221	-0.00296
6.222	-0.00289
6.223	-0.00300
6.224	-0.00338
6.225	-0.00395
6.226	-0.00453
6.227	-0.00499
6.228	-0.00546
6.229	-0.00588
6.230	-0.00608
6.231	-0.00595
6.232	-0.00555
6.233	-0.00491
6.234	-0.00402
6.235	-0.00286
6.236	-0.00138
6.237	0.00030
6.238	0.00207
6.239	0.00386
6.240	0.00578
6.241	0.00773
6.242	0.00963
6.243	0.01143
6.244	0.01319
6.245	0.01489
6.246	0.01649
6.247	0.01799
6.248	0.01940
6.249	0.02073
6.250	0.02198
6.251	0.02318
6.252	0.02430
6.253	0.02533
6.254	0.02620
6.255	0.02697
6.256	0.02763
6.257	0.02810
6.258	0.02832
6.259	0.02830
6.260	0.02806
6.261	0.02761
6.262	0.02697
6.263	0.02607
6.264	0.02496
6.265	0.02374
6.266	0.02248
6.267	0.02110
6.268	0.01963
6.269	0.01821
6.270	0.01692
6.271	0.01571
6.272	0.01457
6.273	0.01354
6.274	0.01263
6.275	0.01186
6.276	0.01118
6.277	0.01056
6.278	0.00996
6.279	0.00944
6.280	0.00896
6.281	0.00845
6.282	0.00788
6.283	0.00726
6.284	0.00661
6.285	0.00597
6.286	0.00533
6.287	0.00465
6.288	0.00399
6.289	0.00341
6.290	0.00296
6.291	0.00257
6.292	0.00228
6.293	0.00215
6.294	0.00221
6.295	0.00243
6.296	0.00279
6.297	0.00327
6.298	0.00386
6.299	0.00462
6.300	0.00544
6.301	0.00622
6.302	0.00696
6.303	0.00773
6.304	0.00843
6.305	0.00895
6.306	0.00927
6.307	0.00945
6.308	0.00945
6.309	0.00921
6.310	0.00869
6.311	0.00792
6.312	0.00694
6.313	0.00581
6.314	0.00449
6.315	0.00294
6.316	0.00130
6.317	-0.00032
6.318	-0.00191
6.319	-0.00356
6.320	-0.00514
6.321	-0.00650
6.322	-0.00761
6.323	-0.00857
6.324	-0.00930
6.325	-0.00975
6.326	-0.00988
6.327	-0.00975
6.328	-0.00934
6.329	-0.00866
6.330	-0.00768
6.331	-0.00642
6.332	-0.00490
6.333	-0.00312
6.334	-0.00106
6.335	0.00128
6.336	0.00384
6.337	0.00654
6.338	0.00942
6.339	0.01251
6.340	0.01570
6.341	0.01882
6.342	0.02188
6.343	0.02498
6.344	0.02798
6.345	0.03073
6.346	0.03320
6.347	0.03547
6.348	0.03750
6.349	0.03924
6.350	0.04067
6.351	0.04183
6.352	0.04269
6.353	0.04324
6.354	0.04347
6.355	0.04341
6.356	0.04302
6.357	0.04223
6.358	0.04104
6.359	0.03948
6.360	0.03753
6.361	0.03513
6.362	0.03225
6.363	0.02887
6.364	0.02509
6.365	0.02101
6.366	0.01664
6.367	0.01182
6.368	0.00678
6.369	0.00178
6.370	-0.00306
6.371	-0.00800
6.372	-0.01282
6.373	-0.01725
6.374	-0.02106
6.375	-0.02446
6.376	-0.02742
6.377	-0.02981
6.378	-0.03154
6.379	-0.03260
6.380	-0.03309
6.381	-0.03314
6.382	-0.03283
6.383	-0.03200
6.384	-0.03077
6.385	-0.02932
6.386	-0.02785
6.387	-0.02621
6.388	-0.02443
6.389	-0.02261
6.390	-0.02086
6.391	-0.01916
6.392	-0.01746
6.393	-0.01580
6.394	-0.01418
6.395	-0.01263
6.396	-0.01113
6.397	-0.00965
6.398	-0.00815
6.399	-0.00666
6.400	-0.00518
6.401	-0.00369
6.402	-0.00217
6.403	-0.00061
6.404	0.00099
6.405	0.00260
6.406	0.00418
6.407	0.00576
6.408	0.00736
6.409	0.00890
6.410	0.01031
6.411	0.01155
6.412	0.01269
6.413	0.01369
6.414	0.01447
6.415	0.01498
6.416	0.01523
6.417	0.01528
6.418	0.01519
6.419	0.01498
6.420	0.01451
6.421	0.01393
6.422	0.01342
6.423	0.01311
6.424	0.01287
6.425	0.01274
6.426	0.01282
6.427	0.01324
6.428	0.01399
6.429	0.01501
6.430	0.01622
6.431	0.01756
6.432	0.01915
6.433	0.02094
6.434	0.02275
6.435	0.02438
6.436	0.02592
6.437	0.02743
6.438	0.02871
6.439	0.02956
6.440	0.02993
6.441	0.02996
6.442	0.02957
6.443	0.02866
6.444	0.02716
6.445	0.02509
6.446	0.02254
6.447	0.01962
6.448	0.01634
6.449	0.01252
6.450	0.00838
6.451	0.00415
6.452	0.00003
6.453	-0.00425
6.454	-0.00855
6.455	-0.01260
6.456	-0.01614
6.457	-0.01932
6.458	-0.02216
6.459	-0.02452
6.460	-0.02625
6.461	-0.02733
6.462	-0.02783
6.463	-0.02780
6.464	-0.02728
6.465	-0.02620
6.466	-0.02454
6.467	-0.02245
6.468	-0.02012
6.469	-0.01757
6.470	-0.01461
6.471	-0.01145
6.472	-0.00836
6.473	-0.00549
6.474	-0.00259
6.475	0.00020
6.476	0.00267
6.477	0.00461
6.478	0.00616
6.479	0.00732
6.480	0.00802
6.481	0.00816
6.482	0.00769
6.483	0.00667
6.484	0.00523
6.485	0.00349
6.486	0.00137
6.487	-0.00123
6.488	-0.00401
6.489	-0.00669
6.490	-0.00918
6.491	-0.01174
6.492	-0.01415
6.493	-0.01616
6.494	-0.01754
6.495	-0.01846
6.496	-0.01895
6.497	-0.01896
6.498	-0.01845
6.499	-0.01730
6.500	-0.01565
6.501	-0.01367
6.502	-0.01158
6.503	-0.00922
6.504	-0.00655
6.505	-0.00384
6.506	-0.00134
6.507	0.00090
6.508	0.00306
6.509	0.00501
6.510	0.00660
6.511	0.00774
6.512	0.00850
6.513	0.00891
6.514	0.00896
6.515	0.00864
6.516	0.00789
6.517	0.00677
6.518	0.00540
6.519	0.00388
6.520	0.00209
6.521	0.00004
6.522	-0.00208
6.523	-0.00411
6.524	-0.00604
6.525	-0.00801
6.526	-0.00986
6.527	-0.01141
6.528	-0.01254
6.529	-0.01338
6.530	-0.01391
6.531	-0.01412
6.532	-0.01397
6.533	-0.01339
6.534	-0.01247
6.535	-0.01133
6.536	-0.01009
6.537	-0.00867
6.538	-0.00705
6.539	-0.00537
6.540	-0.00380
6.541	-0.00239
6.542	-0.00101
6.543	0.00026
6.544	0.00134
6.545	0.00217
6.546	0.00277
6.547	0.00318
6.548	0.00341
6.549	0.00345
6.550	0.00325
6.551	0.00284
6.552	0.00233
6.553	0.00180
6.554	0.00124
6.555	0.00057
6.556	-0.00008
6.557	-0.00060
6.558	-0.00092
6.559	-0.00115
6.560	-0.00124
6.561	-0.00113
6.562	-0.00075
6.563	-0.00010
6.564	0.00077
6.565	0.00181
6.566	0.00295
6.567	0.00426
6.568	0.00576
6.569	0.00731
6.570	0.00878
6.571	0.01010
6.572	0.01142
6.573	0.01264
6.574	0.01364
6.575	0.01434
6.576	0.01477
6.577	0.01497
6.578	0.01495
6.579	0.01472
6.580	0.01421
6.581	0.01345
6.582	0.01253
6.583	0.01153
6.584	0.01048
6.585	0.00928
6.586	0.00803
6.587	0.00680
6.588	0.00569
6.589	0.00463
6.590	0.00362
6.591	0.00268
6.592	0.00185
6.593	0.00114
6.594	0.00054
6.595	0.00001
6.596	-0.00049
6.597	-0.00097
6.598	-0.00139
6.599	-0.00177
6.600	-0.00215
6.601	-0.00255
6.602	-0.00297
6.603	-0.00340
6.604	-0.00379
6.605	-0.00412
6.606	-0.00439
6.607	-0.00462
6.608	-0.00478
6.609	-0.00483
6.610	-0.00474
6.611	-0.00449
6.612	-0.00415
6.613	-0.00379
6.614	-0.00348
6.615	-0.00314
6.616	-0.00279
6.617	-0.00252
6.618	-0.00241
6.619	-0.00252
6.620	-0.00283
6.621	-0.00323
6.622	-0.00364
6.623	-0.00404
6.624	-0.00461
6.625	-0.00518
6.626	-0.00553
6.627	-0.00545
6.628	-0.00500
6.629	-0.00425
6.630	-0.00315
6.631	-0.00164
6.632	0.00040
6.633	0.00301
6.634	0.00597
6.635	0.00903
6.636	0.01200
6.637	0.01519
6.638	0.01849
6.639	0.02156
6.640	0.02410
6.641	0.02604
6.642	0.02762
6.643	0.02872
6.644	0.02923
6.645	0.02904
6.646	0.02813
6.647	0.02663
6.648	0.02468
6.649	0.02243
6.650	0.01972
6.651	0.01654
6.652	0.01312
6.653	0.00970
6.654	0.00639
6.655	0.00297
6.656	-0.00046
6.657	-0.00376
6.658	-0.00679
6.659	-0.00960
6.660	-0.01225
6.661	-0.01471
6.662	-0.01695
6.663	-0.01897
6.664	-0.02075
6.665	-0.02235
6.666	-0.02379
6.667	-0.02510
6.668	-0.02626
6.669	-0.02726
6.670	-0.02814
6.671	-0.02891
6.672	-0.02957
6.673	-0.03012
6.674	-0.03055
6.675	-0.03089
6.676	-0.03113
6.677	-0.03125
6.678	-0.03127
6.679	-0.03124
6.680	-0.03121
6.681	-0.03114
6.682	-0.03101
6.683	-0.03090
6.684	-0.03087
6.685	-0.03100
6.686	-0.03120
6.687	-0.03149
6.688	-0.03192
6.689	-0.03255
6.690	-0.03340
6.691	-0.03445
6.692	-0.03563
6.693	-0.03690
6.694	-0.03826
6.695	-0.03981
6.696	-0.04144
6.697	-0.04301
6.698	-0.04437
6.699	-0.04563
6.700	-0.04683
6.701	-0.04781
6.702	-0.04841
6.703	-0.04854
6.704	-0.04832
6.705	-0.04774
6.706	-0.04676
6.707	-0.04537
6.708	-0.04347
6.709	-0.04112
6.710	-0.03845
6.711	-0.03558
6.712	-0.03256
6.713	-0.02920
6.714	-0.02565
6.715	-0.02212
6.716	-0.01881
6.717	-0.01561
6.718	-0.01246
6.719	-0.00949
6.720	-0.00684
6.721	-0.00462
6.722	-0.00272
6.723	-0.00113
6.724	0.00013
6.725	0.00106
6.726	0.00161
6.727	0.00179
6.728	0.00169
6.729	0.00140
6.730	0.00096
6.731	0.00026
6.732	-0.00064
6.733	-0.00161
6.734	-0.00255
6.735	-0.00347
6.736	-0.00446
6.737	-0.00543
6.738	-0.00629
6.739	-0.00700
6.740	-0.00760
6.741	-0.00810
6.742	-0.00850
6.743	-0.00878
6.744	-0.00892
6.745	-0.00892
6.746	-0.00883
6.747	-0.00870
6.748	-0.00855
6.749	-0.00833
6.750	-0.00806
6.751	-0.00779
6.752	-0.00759
6.753	-0.00745
6.754	-0.00734
6.755	-0.00728
6.756	-0.00729
6.757	-0.00737
6.758	-0.00755
6.759	-0.00781
6.760	-0.00811
6.761	-0.00845
6.762	-0.00881
6.763	-0.00924
6.764	-0.00970
6.765	-0.01015
6.766	-0.01053
6.767	-0.01088
6.768	-0.01122
6.769	-0.01150
6.770	-0.01167
6.771	-0.01171
6.772	-0.01165
6.773	-0.01149
6.774	-0.01120
6.775	-0.01079
6.776	-0.01022
6.777	-0.00952
6.778	-0.00869
6.779	-0.00778
6.780	-0.00678
6.781	-0.00565
6.782	-0.00442
6.783	-0.00314
6.784	-0.00189
6.785	-0.00066
6.786	0.00061
6.787	0.00187
6.788	0.00303
6.789	0.00403
6.790	0.00492
6.791	0.00572
6.792	0.00637
6.793	0.00683
6.794	0.00705
6.795	0.00707
6.796	0.00690
6.797	0.00655
6.798	0.00604
6.799	0.00533
6.800	0.00441
6.801	0.00334
6.802	0.00220
6.803	0.00103
6.804	-0.00025
6.805	-0.00161
6.806	-0.00298
6.807	-0.00428
6.808	-0.00546
6.809	-0.00663
6.810	-0.00773
6.811	-0.00869
6.812	-0.00942
6.813	-0.00996
6.814	-0.01034
6.815	-0.01053
6.816	-0.01047
6.817	-0.01014
6.818	-0.00950
6.819	-0.00861
6.820	-0.00754
6.821	-0.00635
6.822	-0.00504
6.823	-0.00347
6.824	-0.00180
6.825	-0.00017
6.826	0.00125
6.827	0.00256
6.828	0.00383
6.829	0.00493
6.830	0.00571
6.831	0.00608
6.832	0.00609
6.833	0.00579
6.834	0.00519
6.835	0.00428
6.836	0.00303
6.837	0.00141
6.838	-0.00050
6.839	-0.00259
6.840	-0.00474
6.841	-0.00705
6.842	-0.00955
6.843	-0.01213
6.844	-0.01468
6.845	-0.01711
6.846	-0.01953
6.847	-0.02194
6.848	-0.02423
6.849	-0.02633
6.850	-0.02821
6.851	-0.02996
6.852	-0.03153
6.853	-0.03284
6.854	-0.03385
6.855	-0.03452
6.856	-0.03491
6.857	-0.03502
6.858	-0.03489
6.859	-0.03450
6.860	-0.03380
6.861	-0.03283
6.862	-0.03167
6.863	-0.03041
6.864	-0.02909
6.865	-0.02759
6.866	-0.02599
6.867	-0.02437
6.868	-0.02282
6.869	-0.02136
6.870	-0.01992
6.871	-0.01853
6.872	-0.01721
6.873	-0.01599
6.874	-0.01489
6.875	-0.01388
6.876	-0.01295
6.877	-0.01207
6.878	-0.01124
6.879	-0.01047
6.880	-0.00976
6.881	-0.00910
6.882	-0.00851
6.883	-0.00799
6.884	-0.00751
6.885	-0.00710
6.886	-0.00677
6.887	-0.00654
6.888	-0.00642
6.889	-0.00639
6.890	-0.00645
6.891	-0.00660
6.892	-0.00682
6.893	-0.00716
6.894	-0.00760
6.895	-0.00809
6.896	-0.00860
6.897	-0.00909
6.898	-0.00964
6.899	-0.01021
6.900	-0.01075
6.901	-0.01121
6.902	-0.01156
6.903	-0.01186
6.904	-0.01209
6.905	-0.01223
6.906	-0.01228
6.907	-0.01221
6.908	-0.01205
6.909	-0.01179
6.910	-0.01147
6.911	-0.01110
6.912	-0.01066
6.913	-0.01016
6.914	-0.00960
6.915	-0.00900
6.916	-0.00837
6.917	-0.00771
6.918	-0.00700
6.919	-0.00625
6.920	-0.00547
6.921	-0.00463
6.922	-0.00376
6.923	-0.00284
6.924	-0.00189
6.925	-0.00090
6.926	0.00013
6.927	0.00121
6.928	0.00232
6.929	0.00343
6.930	0.00452
6.931	0.00561
6.932	0.00672
6.933	0.00780
6.934	0.00882
6.935	0.00975
6.936	0.01062
6.937	0.01143
6.938	0.01216
6.939	0.01277
6.940	0.01325
6.941	0.01362
6.942	0.01388
6.943	0.01402
6.944	0.01403
6.945	0.01391
6.946	0.01364
6.947	0.01324
6.948	0.01272
6.949	0.01210
6.950	0.01138
6.951	0.01053
6.952	0.00957
6.953	0.00853
6.954	0.00746
6.955	0.00631
6.956	0.00508
6.957	0.00380
6.958	0.00251
6.959	0.00126
6.960	0.00003
6.961	-0.00123
6.962	-0.00245
6.963	-0.00360
6.964	-0.00462
6.965	-0.00555
6.966	-0.00641
6.967	-0.00717
6.968	-0.00780
6.969	-0.00829
6.970	-0.00863
6.971	-0.00885
6.972	-0.00894
6.973	-0.00894
6.974	-0.00882
6.975	-0.00857
6.976	-0.00821
6.977	-0.00777
6.978	-0.00727
6.979	-0.00673
6.980	-0.00611
6.981	-0.00542
6.982	-0.00470
6.983	-0.00398
6.984	-0.00327
6.985	-0.00252
6.986	-0.00177
6.987	-0.00102
6.988	-0.00030
6.989	0.00040
6.990	0.00110
6.991	0.00178
6.992	0.00242
6.993	0.00300
6.994	0.00353
6.995	0.00403
6.996	0.00448
6.997	0.00486
6.998	0.00518
6.999	0.00543
7.000	0.00564
7.001	0.00576
7.002	0.00580
7.003	0.00572
7.004	0.00556
7.005	0.00531
7.006	0.00495
7.007	0.00445
7.008	0.00380
7.009	0.00301
7.010	0.00209
7.011	0.00103
7.012	-0.00019
7.013	-0.00157
7.014	-0.00314
7.015	-0.00487
7.016	-0.00671
7.017	-0.00864
7.018	-0.01062
7.019	-0.01273
7.020	-0.01493
7.021	-0.01715
7.022	-0.01934
7.023	-0.02145
7.024	-0.02357
7.025	-0.02566
7.026	-0.02768
7.027	-0.02956
7.028	-0.03128
7.029	-0.03290
7.030	-0.03440
7.031	-0.03574
7.032	-0.03691
7.033	-0.03788
7.034	-0.03871
7.035	-0.03936
7.036	-0.03981
7.037	-0.04004
7.038	-0.04002
7.039	-0.03980
7.040	-0.03937
7.041	-0.03869
7.042	-0.03778
7.043	-0.03659
7.044	-0.03514
7.045	-0.03345
7.046	-0.03155
7.047	-0.02948
7.048	-0.02722
7.049	-0.02469
7.050	-0.02198
7.051	-0.01921
7.052	-0.01645
7.053	-0.01370
7.054	-0.01084
7.055	-0.00797
7.056	-0.00521
7.057	-0.00269
7.058	-0.00041
7.059	0.00176
7.060	0.00375
7.061	0.00546
7.062	0.00682
7.063	0.00782
7.064	0.00852
7.065	0.00891
7.066	0.00897
7.067	0.00870
7.068	0.00804
7.069	0.00701
7.070	0.00565
7.071	0.00405
7.072	0.00226
7.073	0.00023
7.074	-0.00210
7.075	-0.00464
7.076	-0.00724
7.077	-0.00981
7.078	-0.01235
7.079	-0.01500
7.080	-0.01764
7.081	-0.02017
7.082	-0.02245
7.083	-0.02449
7.084	-0.02639
7.085	-0.02811
7.086	-0.02957
7.087	-0.03071
7.088	-0.03151
7.089	-0.03201
7.090	-0.03223
7.091	-0.03218
7.092	-0.03189
7.093	-0.03133
7.094	-0.03047
7.095	-0.02936
7.096	-0.02808
7.097	-0.02670
7.098	-0.02521
7.099	-0.02353
7.100	-0.02173
7.101	-0.01988
7.102	-0.01807
7.103	-0.01633
7.104	-0.01455
7.105	-0.01279
7.106	-0.01108
7.107	-0.00946
7.108	-0.00796
7.109	-0.00654
7.110	-0.00520
7.111	-0.00394
7.112	-0.00273
7.113	-0.00158
7.114	-0.00053
7.115	0.00046
7.116	0.00141
7.117	0.00237
7.118	0.00334
7.119	0.00430
7.120	0.00526
7.121	0.00621
7.122	0.00714
7.123	0.00807
7.124	0.00905
7.125	0.01002
7.126	0.01094
7.127	0.01172
7.128	0.01233
7.129	0.01288
7.130	0.01335
7.131	0.01362
7.132	0.01361
7.133	0.01324
7.134	0.01257
7.135	0.01164
7.136	0.01042
7.137	0.00889
7.138	0.00703
7.139	0.00476
7.140	0.00214
7.141	-0.00073
7.142	-0.00375
7.143	-0.00683
7.144	-0.01015
7.145	-0.01370
7.146	-0.01730
7.147	-0.02077
7.148	-0.02393
7.149	-0.02688
7.150	-0.02974
7.151	-0.03238
