#Lambda	Flux
6.436	0.00084
6.437	-0.00006
6.438	-0.00096
6.439	-0.00183
6.440	-0.00265
6.441	-0.00343
6.442	-0.00421
6.443	-0.00505
6.444	-0.00597
6.445	-0.00694
6.446	-0.00797
6.447	-0.00906
6.448	-0.01024
6.449	-0.01155
6.450	-0.01290
6.451	-0.01423
6.452	-0.01547
6.453	-0.01670
6.454	-0.01789
6.455	-0.01896
6.456	-0.01985
6.457	-0.02056
6.458	-0.02113
6.459	-0.02157
6.460	-0.02190
6.461	-0.02212
6.462	-0.02222
6.463	-0.02221
6.464	-0.02212
6.465	-0.02194
6.466	-0.02167
6.467	-0.02131
6.468	-0.02087
6.469	-0.02027
6.470	-0.01941
6.471	-0.01855
6.472	-0.01795
6.473	-0.01778
6.474	-0.01771
6.475	-0.01797
6.476	-0.01888
6.477	-0.02077
6.478	-0.02372
6.479	-0.02743
6.480	-0.03160
6.481	-0.03590
6.482	-0.04093
6.483	-0.04652
6.484	-0.05173
6.485	-0.05562
6.486	-0.05810
6.487	-0.05972
6.488	-0.06015
6.489	-0.05907
6.490	-0.05602
6.491	-0.05095
6.492	-0.04465
6.493	-0.03795
6.494	-0.03138
6.495	-0.02397
6.496	-0.01633
6.497	-0.00934
6.498	-0.00387
6.499	0.00037
6.500	0.00366
6.501	0.00604
6.502	0.00754
6.503	0.00788
6.504	0.00716
6.505	0.00585
6.506	0.00443
6.507	0.00304
6.508	0.00134
6.509	-0.00051
6.510	-0.00234
6.511	-0.00402
6.512	-0.00567
6.513	-0.00730
6.514	-0.00891
6.515	-0.01052
6.516	-0.01224
6.517	-0.01395
6.518	-0.01550
6.519	-0.01672
6.520	-0.01768
6.521	-0.01844
6.522	-0.01888
6.523	-0.01888
6.524	-0.01836
6.525	-0.01736
6.526	-0.01601
6.527	-0.01441
6.528	-0.01263
6.529	-0.01052
6.530	-0.00819
6.531	-0.00579
6.532	-0.00345
6.533	-0.00107
6.534	0.00135
6.535	0.00374
6.536	0.00603
6.537	0.00828
6.538	0.01051
6.539	0.01260
6.540	0.01442
6.541	0.01599
6.542	0.01741
6.543	0.01855
6.544	0.01922
6.545	0.01931
6.546	0.01890
6.547	0.01803
6.548	0.01668
6.549	0.01485
6.550	0.01244
6.551	0.00952
6.552	0.00626
6.553	0.00281
6.554	-0.00086
6.555	-0.00485
6.556	-0.00900
6.557	-0.01317
6.558	-0.01727
6.559	-0.02144
6.560	-0.02563
6.561	-0.02972
6.562	-0.03364
6.563	-0.03749
6.564	-0.04123
6.565	-0.04479
6.566	-0.04808
6.567	-0.05115
6.568	-0.05404
6.569	-0.05664
6.570	-0.05884
6.571	-0.06061
6.572	-0.06205
6.573	-0.06308
6.574	-0.06363
6.575	-0.06361
6.576	-0.06306
6.577	-0.06201
6.578	-0.06046
6.579	-0.05839
6.580	-0.05572
6.581	-0.05248
6.582	-0.04882
6.583	-0.04490
6.584	-0.04070
6.585	-0.03604
6.586	-0.03116
6.587	-0.02632
6.588	-0.02170
6.589	-0.01703
6.590	-0.01242
6.591	-0.00813
6.592	-0.00441
6.593	-0.00120
6.594	0.00161
6.595	0.00390
6.596	0.00555
6.597	0.00647
6.598	0.00670
6.599	0.00633
6.600	0.00544
6.601	0.00411
6.602	0.00208
6.603	-0.00047
6.604	-0.00324
6.605	-0.00596
6.606	-0.00867
6.607	-0.01154
6.608	-0.01437
6.609	-0.01695
6.610	-0.01910
6.611	-0.02086
6.612	-0.02243
6.613	-0.02396
6.614	-0.02564
6.615	-0.02721
6.616	-0.02875
6.617	-0.03054
6.618	-0.03287
6.619	-0.03594
6.620	-0.03962
6.621	-0.04362
6.622	-0.04768
6.623	-0.05168
6.624	-0.05619
6.625	-0.06072
6.626	-0.06459
6.627	-0.06712
6.628	-0.06845
6.629	-0.06887
6.630	-0.06823
6.631	-0.06635
6.632	-0.06294
6.633	-0.05785
6.634	-0.05172
6.635	-0.04518
6.636	-0.03882
6.637	-0.03191
6.638	-0.02464
6.639	-0.01767
6.640	-0.01167
6.641	-0.00680
6.642	-0.00265
6.643	0.00078
6.644	0.00347
6.645	0.00537
6.646	0.00627
6.647	0.00644
6.648	0.00622
6.649	0.00595
6.650	0.00546
6.651	0.00465
6.652	0.00374
6.653	0.00297
6.654	0.00246
6.655	0.00202
6.656	0.00170
6.657	0.00157
6.658	0.00170
6.659	0.00212
6.660	0.00278
6.661	0.00359
6.662	0.00445
6.663	0.00543
6.664	0.00665
6.665	0.00788
6.666	0.00887
6.667	0.00941
6.668	0.00971
6.669	0.00975
6.670	0.00938
6.671	0.00843
6.672	0.00676
6.673	0.00445
6.674	0.00171
6.675	-0.00128
6.676	-0.00439
6.677	-0.00798
6.678	-0.01182
6.679	-0.01553
6.680	-0.01871
6.681	-0.02142
6.682	-0.02387
6.683	-0.02589
6.684	-0.02732
6.685	-0.02800
6.686	-0.02800
6.687	-0.02739
6.688	-0.02629
6.689	-0.02478
6.690	-0.02277
6.691	-0.02024
6.692	-0.01734
6.693	-0.01420
6.694	-0.01091
6.695	-0.00734
6.696	-0.00353
6.697	0.00043
6.698	0.00443
6.699	0.00858
6.700	0.01288
6.701	0.01721
6.702	0.02144
6.703	0.02552
6.704	0.02962
6.705	0.03363
6.706	0.03734
6.707	0.04059
6.708	0.04348
6.709	0.04606
6.710	0.04820
6.711	0.04979
6.712	0.05073
6.713	0.05107
6.714	0.05086
6.715	0.05020
6.716	0.04913
6.717	0.04752
