#Lambda	Flux
1.769	0.06091
1.770	0.14975
1.771	-0.00453
1.772	0.10885
1.773	0.04144
1.774	0.07907
1.775	0.07984
1.776	0.06159
1.777	0.10299
1.778	0.70149
1.779	-0.17789
1.780	-0.04701
1.781	0.00166
1.782	0.04356
1.783	-0.18489
1.784	-0.07996
1.785	-0.03940
1.786	-0.00828
1.787	-0.09609
1.788	0.02293
1.789	0.03450
1.790	-0.01024
1.791	-0.01621
1.792	-0.02750
1.793	0.01092
1.794	0.00153
1.795	0.02803
1.796	-0.00726
1.797	-0.01637
1.798	-0.01397
1.799	0.03845
1.800	-0.02847
1.801	0.02091
1.802	-0.00999
1.803	-0.00909
1.804	-0.04843
1.805	0.05505
1.806	-0.04720
1.807	0.05500
1.808	-0.02356
1.809	0.00571
1.810	0.02566
1.811	0.06478
1.812	0.00678
1.813	0.07838
1.814	0.02464
1.815	0.06637
1.816	-0.04650
1.817	0.00308
1.818	0.00266
1.819	0.06918
1.820	0.03666
1.821	0.01283
1.822	0.06535
1.823	0.05124
1.824	0.05958
1.825	0.01517
1.826	-0.04198
1.827	0.14570
1.828	-0.08824
1.829	0.03623
1.830	-0.06170
1.831	0.00720
1.832	0.01414
1.833	0.04710
1.834	0.04071
1.835	0.05241
1.836	0.00722
1.837	-0.00741
1.838	0.03008
1.839	0.04394
1.840	0.06234
1.841	0.03012
1.842	0.02331
1.843	-0.01285
1.844	-0.00617
1.845	0.05700
1.846	-0.08400
1.847	-0.04008
1.848	-0.04912
1.849	0.01659
1.850	-0.04915
1.851	-0.00673
1.852	-0.06541
1.853	-0.04083
1.854	0.03100
1.855	-0.04781
1.856	0.00336
1.857	-0.05282
1.858	-0.02955
1.859	0.04714
1.860	0.05178
1.861	-0.00148
1.862	0.00355
1.863	0.00271
1.864	-0.04585
1.865	0.03959
1.866	0.01956
1.867	-0.01103
1.868	-0.03818
1.869	-0.05337
1.870	0.07268
1.871	0.08347
1.872	0.00568
1.873	0.08437
1.874	0.01298
1.875	-0.01042
1.876	0.01532
1.877	0.03976
1.878	-0.02396
1.879	0.03958
1.880	0.03054
1.881	0.03675
1.882	0.00503
1.883	-0.00912
1.884	-0.03434
1.885	0.00882
1.886	0.03653
1.887	-0.02099
1.888	0.03530
1.889	0.02281
1.890	-0.01655
1.891	0.00280
1.892	0.04053
1.893	0.03878
1.894	-0.01899
1.895	-0.00537
1.896	0.01174
1.897	-0.00114
1.898	-0.00966
1.899	0.01564
1.900	0.04290
1.901	0.04036
1.902	-0.00740
1.903	0.01411
1.904	0.05446
1.905	0.01607
1.906	0.05431
1.907	0.01050
1.908	-0.00031
1.909	-0.01153
1.910	-0.01696
1.911	-0.04358
1.912	-0.03813
1.913	0.03773
1.914	-0.01623
1.915	0.04517
1.916	0.00824
1.917	0.03061
1.918	0.07148
1.919	0.00212
1.920	-0.01386
1.921	-0.04202
1.922	-0.00809
1.923	-0.00550
1.924	-0.02137
1.925	0.02897
1.926	0.00079
1.927	0.01114
1.928	-0.02006
1.929	-0.00207
1.930	0.01152
1.931	0.03123
1.932	0.02455
1.933	0.04546
1.934	0.06734
1.935	-0.31000
1.936	-0.00242
1.937	-0.03894
1.938	-0.00238
1.939	-0.02732
1.940	-0.05041
1.941	0.06342
1.942	0.04525
1.943	0.04019
1.944	0.04436
1.945	0.01828
1.946	0.02916
1.947	0.02778
1.948	-0.02371
1.949	0.01752
1.950	0.03761
1.951	0.04047
1.952	0.03253
1.953	0.07923
1.954	0.03150
1.955	-0.00202
1.956	-0.00924
1.957	0.03885
1.958	0.01313
1.959	0.00466
1.960	0.02007
1.961	0.04166
1.962	0.00441
1.963	-0.01730
1.964	0.03063
1.965	0.03352
1.966	0.03182
1.967	0.00990
1.968	0.01431
1.969	0.00050
1.970	0.03314
1.971	0.02678
1.972	0.01371
1.973	0.00895
1.974	-0.00118
1.975	0.02876
1.976	-0.03930
1.977	-0.00159
1.978	0.02339
1.979	-0.02195
1.980	0.03285
1.981	0.02049
1.982	0.03292
1.983	0.01570
1.984	-0.00913
1.985	0.03267
1.986	0.03898
1.987	0.02084
1.988	-0.01086
1.989	0.02972
1.990	0.05329
1.991	0.01419
1.992	0.00361
1.993	0.02232
1.994	0.06362
1.995	0.08214
1.996	0.06978
1.997	0.04615
1.998	0.05315
1.999	-0.00568
2.000	-0.08337
2.001	-0.02703
2.002	-0.00808
2.003	-0.00279
2.004	-0.00481
2.005	0.02397
2.006	0.04353
2.007	-0.00488
2.008	-0.00102
2.009	0.00303
2.010	-0.00246
2.011	0.01995
2.012	-0.00462
2.013	0.02203
2.014	-0.02392
2.015	0.01875
2.016	-0.00546
2.017	-0.01740
2.018	-0.01010
2.019	-0.00096
2.020	-0.00287
2.021	-0.05504
2.022	-0.01819
2.023	0.00566
2.024	0.03432
2.025	0.00345
2.026	0.00352
2.027	-0.04688
2.028	0.00338
2.029	0.00059
2.030	0.01160
2.031	0.03506
2.032	0.01700
2.033	-0.03546
2.034	-0.00756
2.035	-0.00813
2.036	-0.02320
2.037	-0.00005
2.038	0.00248
2.039	0.00094
2.040	0.00726
2.041	0.01013
2.042	0.02697
2.043	0.02173
2.044	-0.00001
2.045	-0.03365
2.046	0.00199
2.047	-0.00978
2.048	0.02071
2.049	-0.02808
2.050	-0.01285
2.051	0.05319
2.052	0.01323
2.053	0.01711
2.054	-0.01027
2.055	-0.16587
2.056	0.19930
2.057	0.13258
2.058	0.04836
2.059	0.11228
2.060	0.10227
2.061	0.09878
2.062	0.05907
2.063	0.00275
2.064	0.03534
2.065	-0.03615
2.066	0.01172
2.067	0.02348
2.068	0.03833
2.069	0.01989
2.070	0.04835
2.071	-0.01920
2.072	0.02341
2.073	0.01520
2.074	-0.00776
2.075	0.02182
2.076	0.01774
2.077	0.05337
2.078	0.06021
2.079	0.07882
2.080	0.00771
2.081	0.03375
2.082	0.00799
2.083	0.05419
2.084	0.06573
2.085	0.06697
2.086	0.02226
2.087	0.04575
2.088	-0.06221
2.089	-0.00806
2.090	0.02925
2.091	0.03540
2.092	0.02814
2.093	0.05137
2.094	-0.02535
2.095	-0.00284
2.096	-0.03394
2.097	0.00920
2.098	0.04138
2.099	0.02469
2.100	-0.02146
2.101	0.00758
2.102	-0.00814
2.103	-0.03047
2.104	0.05918
2.105	0.08860
2.106	0.07318
2.107	0.01721
2.108	0.00401
2.109	0.05293
2.110	0.01789
2.111	0.00609
2.112	0.07153
2.113	0.00279
2.114	-0.03464
2.115	0.02408
2.116	0.05568
2.117	-0.07420
2.118	-0.13189
2.119	-0.08437
2.120	-0.02831
2.121	-0.11718
2.122	-0.20828
2.123	0.26626
2.124	0.15175
2.125	0.08419
2.126	-0.01120
2.127	-0.01075
2.128	-0.08279
2.129	0.13454
2.130	0.21492
2.131	0.05828
2.132	0.10174
2.133	0.12702
2.134	0.00819
2.135	0.02067
2.136	0.06060
2.137	0.08998
2.138	0.06023
2.139	-0.04541
2.140	-0.08987
2.141	0.03650
2.142	0.07484
2.143	-0.08468
2.144	-0.00217
2.145	0.04750
2.146	-0.05467
2.147	0.00941
2.148	0.00610
2.149	0.00997
2.150	-0.01056
2.151	0.07106
2.152	0.06713
2.153	0.03625
2.154	-0.01586
2.155	-0.06046
2.156	0.04990
2.157	-0.04911
2.158	0.03488
2.159	-0.00356
2.160	-0.00317
2.161	-0.09886
2.162	-0.01935
2.163	-0.00983
2.164	-0.00960
2.165	0.01168
2.166	-0.00451
2.167	0.14483
2.168	0.10800
2.169	0.04623
2.170	0.08095
2.171	0.06996
2.172	-0.10835
2.173	-0.02195
2.174	-0.01144
2.175	0.01864
2.176	-0.02262
2.177	-0.06526
2.178	0.05721
2.179	0.03341
2.180	0.13876
2.181	0.09659
2.182	0.38065
2.183	0.12705
2.184	-0.04602
2.185	-0.06640
2.186	-0.07433
2.187	0.02473
2.188	-0.07689
2.189	-0.00948
2.190	-0.06237
2.191	0.00024
2.192	-0.02213
2.193	0.13102
2.194	0.06470
2.195	0.03200
2.196	-0.03630
2.197	-0.02581
2.198	0.04367
2.199	0.12174
2.200	-0.09301
2.201	-0.07467
2.202	-0.00766
2.203	0.01272
2.204	0.02662
2.205	0.03006
2.206	-0.02098
2.207	-0.03640
2.208	-0.05035
2.209	0.00426
2.210	0.04223
2.211	0.03295
2.212	-0.00003
2.213	0.04504
2.214	0.02018
2.215	0.01117
2.216	0.02623
2.217	-0.01920
2.218	0.00183
2.219	-0.00431
2.220	0.02084
2.221	-0.00599
2.222	-0.07366
2.223	0.02078
2.224	0.04702
2.225	0.02487
2.226	0.04089
2.227	0.07882
2.228	-0.01887
2.229	0.03218
2.230	0.06744
2.231	0.01121
2.232	-0.02198
2.233	0.01334
2.234	-0.01656
2.235	0.00175
2.236	0.03670
2.237	0.00731
2.238	0.00240
2.239	-0.03033
2.240	0.00771
2.241	0.00053
2.242	-0.00027
2.243	0.02336
2.244	0.00839
2.245	0.00023
2.246	-0.00764
2.247	-0.02473
2.248	-0.01487
2.249	-0.01598
2.250	0.00199
2.251	0.05197
2.252	-0.00093
2.253	0.01873
2.254	0.00798
2.255	-0.01101
2.256	0.00384
2.257	-0.01796
2.258	-0.04640
2.259	-0.01953
2.260	-0.02276
2.261	-0.02834
2.262	0.01354
2.263	-0.00031
2.264	0.01048
2.265	-0.00375
2.266	-0.05747
2.267	-0.07652
2.268	-0.20018
2.269	-0.01376
2.270	0.09652
2.271	0.03794
2.272	0.02690
2.273	0.02460
2.274	0.02885
2.275	-0.00441
2.276	0.10770
2.277	0.05445
2.278	0.00610
2.279	0.01871
2.280	0.01955
2.281	0.01707
2.282	0.05096
2.283	0.03415
2.284	0.03233
2.285	0.02029
2.286	0.00489
2.287	-0.00028
2.288	0.00600
2.289	-0.00190
2.290	-0.00591
2.291	0.01470
2.292	-0.02169
2.293	-0.00979
2.294	-0.01158
2.295	0.02751
2.296	0.03841
2.297	0.00132
2.298	-0.01433
2.299	-0.01060
2.300	-0.02092
2.301	0.01044
2.302	0.02063
2.303	0.02436
2.304	0.01001
2.305	0.01174
2.306	-0.00507
2.307	0.00103
2.308	0.00017
2.309	0.00670
2.310	0.01533
2.311	0.01900
2.312	0.01902
2.313	0.01063
2.314	0.00527
2.315	-0.00312
2.316	-0.01132
2.317	0.00974
2.318	0.00987
2.319	0.02085
2.320	0.01303
2.321	0.00331
2.322	-0.00299
2.323	0.00091
2.324	-0.00137
2.325	0.01053
2.326	0.00610
2.327	0.02675
2.328	0.02431
2.329	0.01089
2.330	-0.00293
2.331	-0.00898
2.332	-0.02132
2.333	-0.03310
2.334	-0.01662
2.335	-0.00895
2.336	0.00565
2.337	-0.00473
2.338	-0.01614
2.339	-0.01623
2.340	-0.00623
2.341	-0.00206
2.342	0.01152
2.343	0.00398
2.344	0.01042
2.345	0.02603
2.346	-0.00986
2.347	0.00012
2.348	-0.00892
2.349	-0.01541
2.350	-0.01383
2.351	-0.00945
2.352	-0.00561
2.353	-0.00521
2.354	0.00570
2.355	0.01816
2.356	-0.02555
2.357	-0.06129
2.358	-0.00048
2.359	-0.00322
2.360	-0.02615
2.361	-0.00373
2.362	-0.00899
2.363	-0.00784
2.364	0.01217
2.365	0.00430
2.366	0.01090
2.367	0.00531
2.368	0.00698
2.369	0.01936
2.370	0.01753
2.371	0.02827
2.372	0.02752
2.373	0.03237
2.374	0.00126
2.375	0.01855
2.376	-0.00677
2.377	-0.02334
2.378	-0.00746
2.379	0.01901
2.380	-0.01339
2.381	-0.00081
2.382	0.02258
2.383	0.01098
2.384	-0.00699
2.385	-0.01557
2.386	0.00809
2.387	-0.00062
2.388	-0.00099
2.389	0.01590
2.390	0.01603
2.391	-0.00233
2.392	0.01459
2.393	0.02349
2.394	-0.00354
2.395	-0.00073
2.396	0.00034
2.397	-0.01525
2.398	-0.00759
2.399	0.00763
2.400	0.00814
2.401	-0.00026
2.402	-0.00844
2.403	-0.00819
2.404	-0.00835
2.405	0.00759
2.406	0.00555
2.407	0.00689
2.408	0.00079
2.409	-0.00702
2.410	0.01532
2.411	-0.00155
2.412	-0.01202
2.413	-0.00022
2.414	0.00262
2.415	-0.00005
2.416	-0.01912
2.417	0.01437
2.418	0.02272
2.419	0.01115
2.420	0.00965
2.421	-0.01003
2.422	-0.00644
2.423	0.00951
2.424	0.01835
2.425	0.02255
2.426	0.00702
2.427	-0.00459
2.428	-0.01047
2.429	0.00427
2.430	0.02962
2.431	0.01632
2.432	0.01153
2.433	0.00478
2.434	-0.00082
2.435	0.01103
2.436	0.08148
2.437	0.08092
2.438	-0.03116
2.439	-0.02425
2.440	-0.02644
2.441	-0.00962
2.442	-0.00471
2.443	0.01156
2.444	0.01661
2.445	-0.04656
2.446	-0.03241
2.447	-0.01988
2.448	-0.01239
2.449	-0.00240
2.450	-0.00060
2.451	0.00055
2.452	-0.00720
2.453	0.00440
2.454	0.01659
2.455	0.01769
2.456	-0.00026
2.457	-0.01517
2.458	-0.02664
2.459	-0.00495
2.460	-0.00363
2.461	0.00889
2.462	0.00920
2.463	-0.00212
2.464	-0.00518
2.465	-0.00072
