#Lambda	Flux
1.769	-0.08282
1.770	0.09931
1.771	0.05932
1.772	0.16117
1.773	0.03531
1.774	0.10166
1.775	0.16884
1.776	0.15311
1.777	0.27168
1.778	0.54560
1.779	-0.15146
1.780	-0.00213
1.781	0.13527
1.782	0.05936
1.783	-0.03912
1.784	-0.02703
1.785	0.06444
1.786	0.01377
1.787	0.01851
1.788	0.15861
1.789	0.00310
1.790	0.01407
1.791	0.00113
1.792	0.02336
1.793	0.01697
1.794	0.02108
1.795	0.06143
1.796	0.07553
1.797	-0.05103
1.798	-0.01014
1.799	-0.08231
1.800	-0.05556
1.801	-0.05171
1.802	-0.12402
1.803	-0.06144
1.804	0.04916
1.805	0.02501
1.806	0.08405
1.807	0.16217
1.808	-0.02000
1.809	0.02110
1.810	0.04103
1.811	-0.04881
1.812	0.11020
1.813	-0.00002
1.814	-0.09160
1.815	-0.00724
1.816	-0.00246
1.817	-0.00277
1.818	0.05168
1.819	-0.00850
1.820	-0.01973
1.821	-0.00181
1.822	0.01405
1.823	-0.00218
1.824	-0.00612
1.825	-0.03807
1.826	0.00708
1.827	0.00863
1.828	-0.01737
1.829	0.01618
1.830	-0.05981
1.831	-0.00568
1.832	-0.00747
1.833	-0.04250
1.834	-0.04317
1.835	0.00326
1.836	0.03946
1.837	-0.05356
1.838	0.05929
1.839	-0.00425
1.840	0.03545
1.841	-0.08662
1.842	-0.00126
1.843	-0.11365
1.844	0.02618
1.845	0.06791
1.846	0.08678
1.847	0.06430
1.848	-0.03491
1.849	0.09930
1.850	0.03799
1.851	0.02169
1.852	0.03003
1.853	-0.05118
1.854	0.01077
1.855	0.07043
1.856	0.03548
1.857	0.01594
1.858	0.00938
1.859	0.04155
1.860	0.02153
1.861	0.02668
1.862	0.04384
1.863	0.00553
1.864	0.05954
1.865	0.06191
1.866	0.02815
1.867	0.04193
1.868	0.06722
1.869	0.05152
1.870	-0.03508
1.871	0.19180
1.872	-0.00237
1.873	0.02375
1.874	-0.05694
1.875	0.01556
1.876	-0.01410
1.877	-0.06932
1.878	-0.00272
1.879	-0.08138
1.880	-0.22295
1.881	0.02731
1.882	0.00913
1.883	-0.00773
1.884	-0.04226
1.885	0.15444
1.886	0.09624
1.887	0.04565
1.888	0.01083
1.889	-0.01341
1.890	0.13810
1.891	0.07230
1.892	0.10416
1.893	0.08240
1.894	0.14272
1.895	-0.02697
1.896	0.01867
1.897	0.03064
1.898	-0.00024
1.899	0.03262
1.900	-0.01268
1.901	0.07726
1.902	0.06208
1.903	0.00342
1.904	0.04029
1.905	0.03875
1.906	0.10653
1.907	0.04985
1.908	0.00042
1.909	0.04146
1.910	-0.07490
1.911	-0.06224
1.912	0.03358
1.913	0.02201
1.914	-0.00775
1.915	-0.01966
1.916	0.04250
1.917	0.01488
1.918	0.03468
1.919	0.07857
1.920	0.05657
1.921	0.03065
1.922	0.04454
1.923	-0.01297
1.924	-0.00331
1.925	0.00816
1.926	0.01416
1.927	0.01628
1.928	-0.00424
1.929	0.00462
1.930	0.03553
1.931	0.05151
1.932	0.05997
1.933	0.02586
1.934	0.01579
1.935	-0.31573
1.936	-0.02523
1.937	-0.02997
1.938	-0.02897
1.939	-0.05220
1.940	-0.03455
1.941	-0.06609
1.942	0.01992
1.943	0.00530
1.944	-0.02432
1.945	-0.00375
1.946	0.02928
1.947	0.03756
1.948	-0.00760
1.949	0.03401
1.950	0.05799
1.951	0.04225
1.952	0.01635
1.953	0.11656
1.954	0.08031
1.955	0.06749
1.956	0.04561
1.957	0.07768
1.958	0.01588
1.959	-0.00102
1.960	0.04509
1.961	0.01956
1.962	-0.01415
1.963	0.03764
1.964	-0.00064
1.965	0.00642
1.966	0.02795
1.967	0.07153
1.968	0.04990
1.969	0.10023
1.970	0.04924
1.971	-0.00730
1.972	0.06016
1.973	-0.00244
1.974	-0.02514
1.975	0.08763
1.976	0.05187
1.977	0.02341
1.978	-0.03852
1.979	-0.01519
1.980	0.00520
1.981	0.03370
1.982	-0.00924
1.983	-0.04926
1.984	-0.00168
1.985	-0.04345
1.986	-0.02802
1.987	-0.01545
1.988	-0.02041
1.989	0.02393
1.990	0.05339
1.991	-0.05242
1.992	0.02163
1.993	-0.01061
1.994	-0.03839
1.995	-0.02837
1.996	0.00589
1.997	0.00023
1.998	-0.01162
1.999	0.00601
2.000	0.03579
2.001	0.02358
2.002	-0.00157
2.003	0.01843
2.004	-0.03019
2.005	-0.06182
2.006	0.01344
2.007	0.03816
2.008	0.00830
2.009	-0.00390
2.010	0.00058
2.011	0.03865
2.012	0.04986
2.013	0.01151
2.014	-0.07371
2.015	-0.00292
2.016	0.03222
2.017	-0.06591
2.018	0.02395
2.019	0.01290
2.020	0.00070
2.021	-0.00171
2.022	-0.04380
2.023	0.00589
2.024	0.00635
2.025	0.05436
2.026	0.00450
2.027	0.03635
2.028	0.05831
2.029	0.02972
2.030	0.06328
2.031	0.04908
2.032	-0.04061
2.033	0.00470
2.034	-0.05714
2.035	-0.04262
2.036	-0.00487
2.037	-0.01406
2.038	0.03594
2.039	0.00283
2.040	-0.00259
2.041	-0.03654
2.042	-0.00020
2.043	0.06588
2.044	0.03577
2.045	-0.01126
2.046	-0.01602
2.047	-0.00772
2.048	-0.01103
2.049	-0.01461
2.050	-0.00088
2.051	0.02694
2.052	0.02164
2.053	0.04160
2.054	-0.09005
2.055	-0.15168
2.056	0.28322
2.057	0.15016
2.058	0.09241
2.059	0.11354
2.060	0.09326
2.061	0.09429
2.062	0.13910
2.063	0.03740
2.064	0.07033
2.065	0.04356
2.066	-0.01094
2.067	0.00761
2.068	-0.00014
2.069	0.00185
2.070	0.04347
2.071	0.01708
2.072	0.00655
2.073	0.01118
2.074	0.01384
2.075	0.00880
2.076	0.06834
2.077	0.02630
2.078	-0.01822
2.079	0.00636
2.080	0.02438
2.081	-0.01847
2.082	-0.00178
2.083	0.03821
2.084	0.02721
2.085	0.02943
2.086	-0.02156
2.087	-0.04476
2.088	0.01870
2.089	-0.05197
2.090	-0.01056
2.091	0.09764
2.092	-0.00431
2.093	0.03218
2.094	-0.02442
2.095	0.00679
2.096	-0.05349
2.097	-0.00769
2.098	-0.03974
2.099	0.03702
2.100	-0.00341
2.101	0.04749
2.102	-0.05466
2.103	0.02821
2.104	0.03823
2.105	-0.03855
2.106	0.00955
2.107	-0.02584
2.108	0.02395
2.109	0.09639
2.110	0.12215
2.111	0.09067
2.112	0.12985
2.113	-0.04707
2.114	0.08222
2.115	-0.07371
2.116	0.00645
2.117	-0.03976
2.118	-0.14006
2.119	-0.03256
2.120	-0.06991
2.121	-0.42520
2.122	-0.07024
2.123	0.14133
2.124	0.21085
2.125	0.08994
2.126	0.05954
2.127	0.07646
2.128	-0.14290
2.129	0.09046
2.130	0.08843
2.131	0.03567
2.132	0.03584
2.133	0.04625
2.134	0.32131
2.135	0.25400
2.136	-0.10023
2.137	0.22428
2.138	0.12739
2.139	-0.04933
2.140	-0.01529
2.141	0.10469
2.142	0.18320
2.143	-0.09982
2.144	-0.17287
2.145	0.13368
2.146	0.18442
2.147	0.32659
2.148	0.31010
2.149	0.05611
2.150	0.14703
2.151	0.31475
2.152	0.12226
2.153	-0.08545
2.154	0.09228
2.155	0.24185
2.156	0.05411
2.157	-0.03948
2.158	-0.20587
2.159	-0.08697
2.160	0.16319
2.161	0.18401
2.162	0.13167
2.163	-0.05059
2.164	0.00358
2.165	-0.03311
2.166	-0.07178
2.167	0.04203
2.168	0.11816
2.169	0.10624
2.170	0.10510
2.171	0.08430
2.172	-0.11126
2.173	0.16128
2.174	0.03223
2.175	-0.09336
2.176	-0.12948
2.177	-0.03101
2.178	0.10635
2.179	0.03766
2.180	-0.07925
2.181	0.00402
2.182	0.07050
2.183	0.09805
2.184	-0.04593
2.185	0.18568
2.186	-0.04289
2.187	-0.11206
2.188	-0.05619
2.189	-0.11018
2.190	0.06104
2.191	-0.04365
2.192	-0.21448
2.193	-0.14568
2.194	0.11010
2.195	-0.00246
2.196	0.19436
2.197	0.03502
2.198	0.01863
2.199	0.22045
2.200	0.07923
2.201	-0.15203
2.202	0.10558
2.203	0.09774
2.204	0.08500
2.205	0.04705
2.206	0.04324
2.207	0.04219
2.208	-0.05838
2.209	-0.01877
2.210	0.05092
2.211	-0.02120
2.212	-0.07790
2.213	-0.02011
2.214	-0.00702
2.215	0.03574
2.216	0.04047
2.217	0.10265
2.218	0.04318
