#Lambda	Flux
1.772	0.04619
1.773	0.04238
1.774	0.05641
1.775	0.10830
1.776	0.09817
1.777	0.16570
1.778	0.13741
1.779	-0.10866
1.780	-0.05133
1.781	0.00794
1.782	0.00875
1.783	-0.07446
1.784	0.04407
1.785	0.03142
1.786	-0.03849
1.787	-0.03851
1.788	0.01902
1.789	0.00475
1.790	-0.03131
1.791	-0.10039
1.792	-0.10728
1.793	0.04775
1.794	0.01897
1.795	-0.03117
1.796	-0.03240
1.797	-0.06264
1.798	0.00382
1.799	0.03622
1.800	0.08970
1.801	0.12549
1.802	0.02645
1.803	-0.01346
1.804	-0.06660
1.805	-0.01428
1.806	-0.01862
1.807	0.00279
1.808	0.04906
1.809	0.10085
1.810	0.08352
1.811	0.09319
1.812	0.11986
1.813	0.10679
1.814	0.03798
1.815	-0.03436
1.816	-0.05076
1.817	0.01545
1.818	0.07903
1.819	0.04613
1.820	-0.00332
1.821	0.01175
1.822	0.09956
1.823	0.08547
1.824	0.07140
1.825	0.06579
1.826	0.05301
1.827	-0.00735
1.828	-0.05401
1.829	0.01125
1.830	0.03463
1.831	0.07045
1.832	0.03001
1.833	0.00493
1.834	0.06459
1.835	0.03919
1.836	0.01893
1.837	-0.00836
1.838	0.02739
1.839	0.01376
1.840	0.01657
1.841	0.01423
1.842	0.05712
1.843	0.03699
1.844	0.01317
1.845	0.03424
1.846	-0.02283
1.847	0.00921
1.848	0.05804
1.849	0.03925
1.850	0.01243
1.851	0.01626
1.852	-0.00086
1.853	-0.00985
1.854	-0.00227
1.855	-0.00206
1.856	0.01996
1.857	0.03107
1.858	-0.01452
1.859	0.01400
1.860	-0.01615
1.861	-0.00452
1.862	-0.00082
1.863	-0.00718
1.864	0.02771
1.865	0.07338
1.866	0.05736
1.867	0.00494
1.868	0.00605
1.869	0.00525
1.870	0.03197
1.871	0.04466
1.872	0.01023
1.873	0.04810
1.874	0.06316
1.875	-0.00557
1.876	0.01335
1.877	0.04089
1.878	0.03433
1.879	0.06131
1.880	0.03629
1.881	-0.03489
1.882	-0.01601
1.883	0.03199
1.884	0.02089
1.885	-0.02456
1.886	0.02129
1.887	0.04117
1.888	0.04442
1.889	0.07234
1.890	0.08000
1.891	0.05363
1.892	0.04579
1.893	0.03541
1.894	-0.00185
1.895	0.00616
1.896	0.00383
1.897	-0.01044
1.898	0.01204
1.899	-0.02138
1.900	-0.03626
1.901	-0.01032
1.902	0.00711
1.903	-0.02069
1.904	-0.03167
1.905	0.03809
1.906	0.06620
1.907	0.07234
1.908	0.09730
1.909	0.05357
1.910	0.03825
1.911	0.00662
1.912	-0.00094
1.913	0.03275
1.914	0.00889
1.915	0.00791
1.916	0.02137
1.917	0.04128
1.918	0.06781
1.919	0.02806
1.920	0.00121
1.921	0.00402
1.922	0.00852
1.923	0.03590
1.924	0.06226
1.925	0.08040
1.926	0.04791
1.927	0.00387
1.928	0.05084
1.929	0.07903
1.930	0.03348
1.931	0.02335
1.932	0.04157
1.933	0.02638
1.934	0.07193
1.935	0.13084
1.936	0.07330
1.937	0.01251
1.938	0.03323
1.939	0.09890
1.940	0.09831
1.941	0.02253
1.942	-0.00106
1.943	-0.00657
1.944	0.02629
1.945	0.01824
1.946	-0.00557
1.947	0.03737
1.948	0.04357
1.949	0.01988
1.950	-0.00467
1.951	0.00203
1.952	0.03353
1.953	-0.01446
1.954	-0.06100
1.955	-0.04567
1.956	-0.00642
1.957	0.05995
1.958	0.07068
1.959	0.04035
1.960	0.04419
1.961	0.05571
1.962	0.04468
1.963	0.03573
1.964	0.01560
1.965	-0.01143
1.966	-0.01884
1.967	-0.02425
1.968	-0.01580
1.969	-0.04895
1.970	-0.02842
1.971	0.00972
1.972	0.01105
1.973	0.03168
1.974	0.02511
1.975	0.00474
1.976	-0.00009
1.977	-0.01117
1.978	-0.03380
1.979	-0.02551
1.980	-0.01067
1.981	-0.00074
1.982	-0.01477
1.983	0.00012
1.984	-0.01298
1.985	-0.04428
1.986	-0.04014
1.987	0.00506
1.988	0.05142
1.989	0.03395
1.990	0.01822
1.991	0.04781
1.992	0.05970
1.993	0.03773
1.994	-0.01892
1.995	-0.00204
1.996	0.02537
1.997	0.02393
1.998	0.01076
1.999	-0.01353
2.000	-0.02084
2.001	-0.02080
2.002	-0.02115
2.003	-0.00778
2.004	0.01720
2.005	0.00792
2.006	-0.01655
2.007	-0.00823
2.008	-0.00291
2.009	-0.01329
2.010	-0.00039
2.011	-0.00074
2.012	0.01507
2.013	0.04663
2.014	0.04043
