# m teff logL Lum 
0.100 3073. -1.7525177393229 1.768E-02 
0.200 3287. -1.3580304022979 4.385E-02 
0.300 3473. -1.1284270644541 7.440E-02 
0.400 3640. -0.95467702121334 1.110E-01 
0.500 3763. -0.81079051041769 1.546E-01 
0.600 3860. -0.69314625130699 2.027E-01 
0.700 3953. -0.59142087459133 2.562E-01 
0.800 4042. -0.49921482708254 3.168E-01 
0.900 4151. -0.41049720373624 3.886E-01 
1.000 4274. -0.3190302815341 4.797E-01 
1.100 4411. -0.21767073100316 6.058E-01 
1.200 4577. -0.095771483659922 8.021E-01 
1.300 4806. 0.048441803550405 1.118E+00 
1.400 5070. 0.22479195649268 1.678E+00 
1.500 5401. 0.46029632675748 2.886E+00 
1.600 5878. 0.77298145034496 5.929E+00 
1.700 6752. 1.0273496077748 1.065E+01 
1.800 7360. 0.97922959302216 9.533E+00 
1.900 7630. 1.0386201619497 1.093E+01 
2.000 8618. 1.225050696138 1.679E+01 
2.200 9569. 1.3583156400822 2.282E+01 
2.500 10500. 1.5761108941208 3.768E+01 
2.700 11091. 1.7076553235312 5.101E+01 
3.000 11893. 1.8860392755664 7.692E+01 
3.500 13060. 2.1423894661188 1.388E+02 
4.000 14201. 2.3619166186686 2.301E+02 
5.000 16551. 2.7250127253412 5.309E+02 
6.000 18397. 3.0199466816788 1.047E+03 
7.000 19947. 3.2681097298085 1.854E+03 
