# m teff logL Lum 
0.100 3069. -1.7086311495484 1.956E-02 
0.300 3465. -1.096747183106 8.003E-02 
0.400 3638. -0.92372374459578 1.192E-01 
0.500 3761. -0.78015361397564 1.659E-01 
0.600 3862. -0.66294027367948 2.173E-01 
0.700 3952. -0.56224943717961 2.740E-01 
0.900 4147. -0.38668683854454 4.105E-01 
1.000 4262. -0.29964247217734 5.016E-01 
1.100 4386. -0.20641913263184 6.217E-01 
1.200 4528. -0.098269308270781 7.975E-01 
1.300 4725. 0.027349607774757 1.065E+00 
1.400 4941. 0.17522180034305 1.497E+00 
1.500 5217. 0.36021461329535 2.292E+00 
1.600 5550. 0.62076048999421 4.176E+00 
1.700 6070. 0.90918147597785 8.113E+00 
1.800 7306. 1.1461280356782 1.400E+01 
1.900 7606. 1.0437551269687 1.106E+01 
2.000 8012. 1.1417632302758 1.386E+01 
2.200 9593. 1.3723595825243 2.357E+01 
2.500 10502. 1.5759956202033 3.767E+01 
2.700 11093. 1.7073998311332 5.098E+01 
3.000 11900. 1.8858698609039 7.689E+01 
3.500 13072. 2.1420764610733 1.387E+02 
4.000 14215. 2.361160995195 2.297E+02 
5.000 16576. 2.7230449916434 5.285E+02 
6.000 18430. 3.0166155475572 1.039E+03 
7.000 19996. 3.2626883443017 1.831E+03 
