# m teff logL Lum 
0.100 2927. -1.0665633321737 8.579E-02 
0.300 3360. -0.14345235514325 7.187E-01 
0.400 3594. -0.042392712939905 9.070E-01 
0.500 3768. 0.015359755409214 1.036E+00 
0.600 3912. 0.10414555055401 1.271E+00 
0.700 4025. 0.18780263871842 1.541E+00 
0.900 4209. 0.33405144034689 2.158E+00 
1.000 4274. 0.40157284567645 2.521E+00 
1.100 4342. 0.45484486000851 2.850E+00 
1.200 4397. 0.51281775856487 3.257E+00 
1.300 4445. 0.56407397897715 3.665E+00 
1.400 4494. 0.60444206626072 4.022E+00 
1.500 4532. 0.65030752313194 4.470E+00 
1.600 4572. 0.69293500253114 4.931E+00 
1.700 4604. 0.74186039406526 5.519E+00 
1.800 4632. 0.77880220401324 6.009E+00 
1.900 4662. 0.81398107563647 6.516E+00 
2.000 4695. 0.84874318189568 7.059E+00 
2.200 4746. 0.91566360350577 8.235E+00 
2.500 4827. 1.0102999566398 1.024E+01 
2.700 4870. 1.0755469613925 1.190E+01 
3.000 4959. 1.180699201296 1.516E+01 
3.500 5174. 1.4505570094183 2.822E+01 
4.000 6041. 1.9656249671092 9.239E+01 
5.000 15184. 2.7020857214358 5.036E+02 
6.000 18807. 2.9953719060282 9.894E+02 
7.000 20520. 3.2255677134395 1.681E+03 
