# m teff logL Lum 
0.100 3023. -1.4050552633049 3.935E-02 
0.200 3234. -1.1137349409702 7.696E-02 
0.300 3427. -0.91542372206567 1.215E-01 
0.400 3618. -0.7476324855401 1.788E-01 
0.500 3759. -0.6067758836387 2.473E-01 
0.600 3869. -0.49093195498284 3.229E-01 
0.700 3969. -0.39308147405171 4.045E-01 
0.800 4060. -0.30865323586518 4.913E-01 
0.900 4155. -0.23173198354845 5.865E-01 
1.000 4242. -0.15795271149036 6.951E-01 
1.100 4327. -0.087352893781683 8.178E-01 
1.200 4408. -0.015427684378368 9.651E-01 
1.300 4509. 0.059563417901268 1.147E+00 
1.400 4607. 0.13672056715641 1.370E+00 
1.500 4714. 0.21879799811174 1.655E+00 
1.600 4829. 0.30749603791321 2.030E+00 
1.700 4947. 0.40483371661994 2.540E+00 
1.800 5090. 0.51904003864834 3.304E+00 
1.900 5266. 0.65972609523779 4.568E+00 
2.000 5502. 0.85763398515001 7.205E+00 
2.200 6648. 1.3598354823399 2.290E+01 
2.500 9363. 1.5208763816883 3.318E+01 
2.700 10857. 1.7491950422197 5.613E+01 
3.000 11908. 1.8865471233911 7.701E+01 
3.500 13120. 2.1401936785786 1.381E+02 
4.000 14271. 2.3586960995738 2.284E+02 
5.000 16677. 2.7166709755601 5.208E+02 
6.000 18584. 3.0034605321095 1.008E+03 
7.000 20265. 3.2427898094787 1.749E+03 
