# m teff logL Lum 
0.100 2948. -1.125924254777 7.483E-02 
0.200 3172. -0.8847224086041 1.304E-01 
0.300 3393. -0.74136271727592 1.814E-01 
0.400 3605. -0.58402558862343 2.606E-01 
0.500 3757. -0.44806230463516 3.564E-01 
0.600 3883. -0.33404397054604 4.634E-01 
0.700 3989. -0.23724643506663 5.791E-01 
0.800 4089. -0.15292113793428 7.032E-01 
0.900 4178. -0.076911484557601 8.377E-01 
1.000 4262. -0.0066519600767401 9.848E-01 
1.100 4329. 0.0565237240791 1.139E+00 
1.200 4400. 0.11958577496178 1.317E+00 
1.300 4467. 0.17983892802319 1.513E+00 
1.400 4535. 0.23754373814287 1.728E+00 
1.500 4607. 0.29688447553855 1.981E+00 
1.600 4675. 0.35621713421974 2.271E+00 
1.700 4732. 0.42357351973274 2.652E+00 
1.800 4806. 0.48415742436538 3.049E+00 
1.900 4879. 0.5472823079633 3.526E+00 
2.000 4955. 0.61468634228201 4.118E+00 
2.200 5140. 0.78161178249315 6.048E+00 
2.500 5671. 1.2482185611901 1.771E+01 
2.700 6987. 1.6493348587121 4.460E+01 
3.000 10731. 1.8991636414772 7.928E+01 
3.500 12930. 2.1461280356782 1.400E+02 
4.000 14315. 2.3573630306151 2.277E+02 
5.000 16735. 2.7142459110179 5.179E+02 
6.000 18674. 2.9987822698317 9.972E+02 
7.000 20395. 3.2342641243788 1.715E+03 
