# m teff logL Lum 
0.100 2926. -1.0612801852176 8.684E-02 
0.300 3361. -0.12453358413361 7.507E-01 
0.400 3596. 0.051152522447381 1.125E+00 
0.500 3772. 0.078819183098849 1.199E+00 
0.600 3915. 0.15866398081399 1.441E+00 
0.700 4028. 0.23779499327392 1.729E+00 
0.900 4205. 0.37948681371727 2.396E+00 
1.000 4272. 0.44622640177816 2.794E+00 
1.100 4337. 0.49734438101758 3.143E+00 
1.200 4387. 0.55485243437205 3.588E+00 
1.300 4441. 0.60552052343747 4.032E+00 
1.400 4490. 0.64463550376815 4.412E+00 
1.500 4525. 0.68966396501577 4.894E+00 
1.600 4565. 0.73207194099987 5.396E+00 
1.700 4593. 0.78002912733734 6.026E+00 
1.800 4620. 0.81677141233335 6.558E+00 
1.900 4648. 0.85046243276152 7.087E+00 
2.000 4683. 0.88490859416261 7.672E+00 
2.200 4729. 0.94890176097021 8.890E+00 
2.500 4804. 1.0394141191761 1.095E+01 
2.700 4845. 1.1007150865731 1.261E+01 
3.000 4923. 1.19617618504 1.571E+01 
3.500 5087. 1.4163075870599 2.608E+01 
4.000 5578. 1.8546703318953 7.156E+01 
5.000 15429. 2.8380931384456 6.888E+02 
6.000 18855. 3.004751155591 1.011E+03 
7.000 20571. 3.2271150825891 1.687E+03 
