# m teff logL Lum 
0.100 3065. -1.6569855028492 2.203E-02 
0.300 3457. -1.061130178487 8.687E-02 
0.400 3633. -0.88873748634093 1.292E-01 
0.500 3759. -0.74593554708566 1.795E-01 
0.600 3864. -0.62893213772826 2.350E-01 
0.700 3953. -0.52944251478273 2.955E-01 
0.900 4146. -0.35862505480787 4.379E-01 
1.000 4253. -0.27531461176264 5.305E-01 
1.100 4366. -0.18916284885951 6.469E-01 
1.200 4491. -0.092534893234144 8.081E-01 
1.300 4655. 0.01703333929878 1.040E+00 
1.400 4831. 0.14176323027579 1.386E+00 
1.500 5047. 0.28891960566173 1.945E+00 
1.600 5306. 0.48187241031066 3.033E+00 
1.700 5632. 0.72591163229505 5.320E+00 
1.800 6224. 1.0289777052088 1.069E+01 
1.900 7699. 1.2501759480839 1.779E+01 
2.000 7907. 1.1332194567325 1.359E+01 
2.200 9467. 1.4166405073383 2.610E+01 
2.500 10527. 1.5846703844643 3.843E+01 
2.700 11095. 1.7071441883424 5.095E+01 
3.000 11903. 1.8857003801283 7.686E+01 
3.500 13083. 2.1414497734005 1.385E+02 
4.000 14228. 2.3605934135652 2.294E+02 
5.000 16602. 2.7210683017972 5.261E+02 
6.000 18464. 3.0132586652835 1.031E+03 
7.000 20061. 3.2576785748692 1.810E+03 
