# m teff logL Lum 
0.100 2937. -1.0907114758377 8.115E-02 
0.200 3102. -0.6190655366693 2.404E-01 
0.300 3372. -0.57593547458251 2.655E-01 
0.400 3595. -0.43937612545007 3.636E-01 
0.500 3760. -0.31229272037518 4.872E-01 
0.600 3891. -0.20134935455473 6.290E-01 
0.700 4001. -0.10623823794206 7.830E-01 
0.800 4103. -0.022322112326006 9.499E-01 
0.900 4194. 0.053846426852253 1.132E+00 
1.000 4275. 0.12385164096709 1.330E+00 
1.100 4341. 0.18412335423967 1.528E+00 
1.200 4403. 0.24427712080184 1.755E+00 
1.300 4457. 0.29972515397564 1.994E+00 
1.400 4514. 0.34966598409663 2.237E+00 
1.500 4573. 0.40140054078154 2.520E+00 
1.600 4626. 0.45101845215546 2.825E+00 
1.700 4673. 0.50947135210255 3.232E+00 
1.800 4718. 0.55666426212257 3.603E+00 
1.900 4767. 0.60314437262018 4.010E+00 
2.000 4815. 0.65127801399814 4.480E+00 
2.200 4919. 0.75097098443732 5.636E+00 
2.500 5099. 0.93464992290071 8.603E+00 
2.700 5270. 1.1162755875805 1.307E+01 
3.000 5953. 1.5888317255942 3.880E+01 
3.500 11978. 2.2166935991698 1.647E+02 
4.000 14235. 2.3827372657613 2.414E+02 
5.000 16775. 2.713322504987 5.168E+02 
6.000 18725. 2.9968617684907 9.928E+02 
7.000 20463. 3.2309595557486 1.702E+03 
