# m teff logL Lum 
0.100 2923. -1.0513425678587 8.885E-02 
0.200 3070. -0.50459443685381 3.129E-01 
0.300 3362. -0.10952309103983 7.771E-01 
0.400 3600. 0.12515582958053 1.334E+00 
0.500 3776. 0.16076856186113 1.448E+00 
0.600 3912. 0.22582599146189 1.682E+00 
0.700 4030. 0.29797924415936 1.986E+00 
0.800 4123. 0.36586221540256 2.322E+00 
0.900 4202. 0.43280900503317 2.709E+00 
1.000 4268. 0.49817266063654 3.149E+00 
1.100 4331. 0.54691264318124 3.523E+00 
1.200 4384. 0.60411800619203 4.019E+00 
1.300 4434. 0.65369479531508 4.505E+00 
1.400 4474. 0.69046189324618 4.903E+00 
1.500 4516. 0.73519954842231 5.435E+00 
1.600 4546. 0.77691900284205 5.983E+00 
1.700 4579. 0.82438620231877 6.674E+00 
1.800 4607. 0.86045779542347 7.252E+00 
1.900 4635. 0.89331781161611 7.822E+00 
2.000 4661. 0.92721633059126 8.457E+00 
2.200 4712. 0.98927179164169 9.756E+00 
2.500 4775. 1.0751818546187 1.189E+01 
2.700 4822. 1.1332194567325 1.359E+01 
3.000 4887. 1.2193225084193 1.657E+01 
3.500 5014. 1.4008832155484 2.517E+01 
4.000 5317. 1.7522789854601 5.653E+01 
5.000 12437. 2.8341026557128 6.825E+02 
6.000 18936. 3.0318122713304 1.076E+03 
7.000 20584. 3.2271150825891 1.687E+03 
