# m teff logL Lum 
0.100 2917. -1.0325456318173 9.278E-02 
0.300 3363. -0.097072903982737 7.997E-01 
0.400 3601. 0.16790781000148 1.472E+00 
0.500 3774. 0.27531135454181 1.885E+00 
0.600 3916. 0.31281182621209 2.055E+00 
0.700 4026. 0.37364747220922 2.364E+00 
0.900 4198. 0.49762064978129 3.145E+00 
1.000 4266. 0.56157836830096 3.644E+00 
1.100 4323. 0.60616631460762 4.038E+00 
1.200 4374. 0.66247450375031 4.597E+00 
1.300 4418. 0.71096311899528 5.140E+00 
1.400 4465. 0.7451528950769 5.561E+00 
1.500 4504. 0.78929861115944 6.156E+00 
1.600 4534. 0.83097339732265 6.776E+00 
1.700 4558. 0.87685264760134 7.531E+00 
1.800 4592. 0.91259399775211 8.177E+00 
1.900 4618. 0.94443331770021 8.799E+00 
2.000 4642. 0.97744922738234 9.494E+00 
2.200 4690. 1.0374264979406 1.090E+01 
2.500 4748. 1.1195857749618 1.317E+01 
2.700 4790. 1.1737688231366 1.492E+01 
3.000 4843. 1.2523675144599 1.788E+01 
3.500 4953. 1.405175546218 2.542E+01 
4.000 5137. 1.6600112212893 4.571E+01 
5.000 8858. 2.5831987739686 3.830E+02 
6.000 17531. 2.9984337188645 9.964E+02 
7.000 20598. 3.2271150825891 1.687E+03 
