# m teff logL Lum 
0.100 3058. -1.5944828930236 2.544E-02 
0.200 3262. -1.2371714468109 5.792E-02 
0.300 3449. -1.0204516252959 9.540E-02 
0.400 3627. -0.84924356013969 1.415E-01 
0.500 3758. -0.70685851654907 1.964E-01 
0.600 3867. -0.59023589573365 2.569E-01 
0.700 3957. -0.49147028102871 3.225E-01 
0.800 4048. -0.4049449102407 3.936E-01 
0.900 4142. -0.32458830628514 4.736E-01 
1.000 4245. -0.24473510858775 5.692E-01 
1.100 4350. -0.16468999913094 6.844E-01 
1.200 4457. -0.077534054701587 8.365E-01 
1.300 4589. 0.017867718963506 1.042E+00 
1.400 4739. 0.12352498094273 1.329E+00 
1.500 4918. 0.24378191609379 1.753E+00 
1.600 5105. 0.38738982633873 2.440E+00 
1.700 5321. 0.55461028522616 3.586E+00 
1.800 5670. 0.8206611346436 6.617E+00 
1.900 6266. 1.1089031276673 1.285E+01 
2.000 7825. 1.3451776165427 2.214E+01 
2.200 8555. 1.3038437748887 2.013E+01 
2.500 10084. 1.5332635167787 3.414E+01 
2.700 11098. 1.7073146335887 5.097E+01 
3.000 11904. 1.8852481077814 7.678E+01 
3.500 13094. 2.1411360901207 1.384E+02 
4.000 14242. 2.3598354823399 2.290E+02 
5.000 16627. 2.7194970166106 5.242E+02 
6.000 18500. 3.0098756337122 1.023E+03 
7.000 20129. 3.2526103405674 1.789E+03 
