# m teff logL Lum 
0.100 3050. -2.3224842952012 4.759E-03 
0.200 3328. -1.8541822855082 1.399E-02 
0.300 3527. -1.5989442742282 2.518E-02 
0.400 3674. -1.4083789617867 3.905E-02 
0.500 3793. -1.234480456902 5.828E-02 
0.600 3930. -1.0552706396967 8.805E-02 
0.700 4179. -0.84193920606339 1.439E-01 
0.800 4682. -0.55160289654223 2.808E-01 
0.900 5011. -0.3799681048737 4.169E-01 
1.000 5339. -0.19064232978889 6.447E-01 
1.100 5629. -0.003882523862712 9.911E-01 
1.200 5902. 0.17983892802319 1.513E+00 
1.300 6229. 0.36772854608698 2.332E+00 
1.400 6541. 0.5219222448835 3.326E+00 
1.500 6863. 0.65953590715422 4.566E+00 
1.600 7280. 0.78433194802215 6.086E+00 
1.700 7710. 0.89817648349768 7.910E+00 
1.800 8128. 1.0030294705536 1.007E+01 
1.900 8500. 1.1010593549081 1.262E+01 
2.000 8880. 1.1928461151888 1.559E+01 
2.200 9543. 1.361160995195 2.297E+01 
2.500 10426. 1.5839917991983 3.837E+01 
2.700 10961. 1.7177536932107 5.221E+01 
3.000 11701. 1.9014583213961 7.970E+01 
3.500 12732. 2.1711411510284 1.483E+02 
4.000 13775. 2.4087486061842 2.563E+02 
5.000 15753. 2.8243211248508 6.673E+02 
6.000 16554. 3.2022157758011 1.593E+03 
7.000 16955. 3.5845573605257 3.842E+03 
