# m teff logL Lum 
0.100 3080. -2.0113072974502 9.743E-03 
0.200 3318. -1.5772460586987 2.647E-02 
0.300 3505. -1.333388431581 4.641E-02 
0.400 3658. -1.1549019599857 7.000E-02 
0.500 3768. -1.0087739243075 9.800E-02 
0.600 3864. -0.88074411072206 1.316E-01 
0.700 3962. -0.76245626185713 1.728E-01 
0.800 4091. -0.6416843599178 2.282E-01 
0.900 4291. -0.50514997831991 3.125E-01 
1.000 4580. -0.31470621861322 4.845E-01 
1.100 5030. -0.053891769563094 8.833E-01 
1.200 5592. 0.27300127206374 1.875E+00 
1.300 6115. 0.43727479741012 2.737E+00 
1.400 6276. 0.4607475418442 2.889E+00 
1.500 6535. 0.6097011023794 4.071E+00 
1.600 7225. 0.80345711564841 6.360E+00 
1.700 7699. 0.89867034296553 7.919E+00 
1.800 8119. 1.0004340774793 1.001E+01 
1.900 8505. 1.0976043288744 1.252E+01 
2.000 8890. 1.1886472959997 1.544E+01 
2.200 9568. 1.3569814009931 2.275E+01 
2.500 10487. 1.5781806096278 3.786E+01 
2.700 11062. 1.7098633174404 5.127E+01 
3.000 11846. 1.8887409606829 7.740E+01 
3.500 12954. 2.1473671077938 1.404E+02 
4.000 14075. 2.3714373174041 2.352E+02 
5.000 16349. 2.74647850993 5.578E+02 
6.000 18064. 3.0572856444182 1.141E+03 
7.000 19519. 3.3261309567108 2.119E+03 
