# m teff logL Lum 
0.100 3060. -2.2477210145399 5.653E-03 
0.300 3523. -1.535510452566 2.914E-02 
0.400 3670. -1.3494982051216 4.472E-02 
0.500 3781. -1.1863523046531 6.511E-02 
0.600 3903. -1.0271956776634 9.393E-02 
0.700 4078. -0.85139734519391 1.408E-01 
0.900 5039. -0.30259627679951 4.982E-01 
1.000 5339. -0.16992483357025 6.762E-01 
1.100 5630. 0.0013009330204181 1.003E+00 
1.200 5877. 0.16938049531195 1.477E+00 
1.300 6164. 0.35121634533934 2.245E+00 
1.400 6522. 0.5210072524086 3.319E+00 
1.500 6862. 0.65858371540706 4.556E+00 
1.600 7277. 0.78333176288742 6.072E+00 
1.700 7708. 0.89713204338209 7.891E+00 
1.800 8128. 1.0021660617565 1.005E+01 
1.900 8506. 1.1000257301079 1.259E+01 
2.000 8887. 1.1914510144649 1.554E+01 
2.200 9557. 1.3596457926745 2.289E+01 
2.500 10447. 1.5819496583733 3.819E+01 
2.700 10999. 1.7144974086498 5.182E+01 
3.000 11749. 1.8965813275057 7.881E+01 
3.500 12798. 2.1628629933219 1.455E+02 
4.000 13871. 2.3955011243056 2.486E+02 
5.000 15978. 2.7962967400518 6.256E+02 
6.000 17244. 3.1473671077938 1.404E+03 
7.000 17464. 3.4805817868292 3.024E+03 
