# m teff logL Lum 
0.100 2907. -1 1.000E-01 
0.200 3067. -0.49308927444848 3.213E-01 
0.300 3363. -0.086557045140604 8.193E-01 
0.400 3599. 0.19534605834842 1.568E+00 
0.500 3774. 0.36828688490213 2.335E+00 
0.600 3912. 0.43964842956347 2.752E+00 
0.700 4023. 0.47523522260413 2.987E+00 
0.800 4112. 0.52374646681156 3.340E+00 
0.900 4186. 0.58035466110659 3.805E+00 
1.000 4255. 0.64157325317818 4.381E+00 
1.100 4313. 0.67997269427742 4.786E+00 
1.200 4364. 0.73575853744374 5.442E+00 
1.300 4403. 0.78204241662055 6.054E+00 
1.400 4447. 0.81184300617648 6.484E+00 
1.500 4482. 0.85582190540603 7.175E+00 
1.600 4515. 0.89630570746608 7.876E+00 
1.700 4539. 0.94086497596672 8.727E+00 
1.800 4570. 0.97634997900327 9.470E+00 
1.900 4594. 1.0068937079479 1.016E+01 
2.000 4618. 1.0394141191761 1.095E+01 
2.200 4658. 1.0982975364947 1.254E+01 
2.500 4717. 1.1755118133634 1.498E+01 
2.700 4756. 1.2268575702887 1.686E+01 
3.000 4806. 1.2977605110991 1.985E+01 
3.500 4889. 1.4305587695228 2.695E+01 
4.000 5006. 1.6131015169669 4.103E+01 
5.000 6746. 2.3304137733492 2.140E+02 
6.000 17297. 3.0565237240791 1.139E+03 
7.000 20660. 3.2457593559673 1.761E+03 
