# m teff logL Lum 
0.100 2928. -1.0700704399154 8.510E-02 
0.200 3075. -0.51855737149769 3.030E-01 
0.300 3359. -0.16845014800424 6.785E-01 
0.400 3593. -0.11418662533951 7.688E-01 
0.500 3767. -0.035740369803151 9.210E-01 
0.600 3908. 0.058426024457005 1.144E+00 
0.700 4021. 0.14488541828714 1.396E+00 
0.800 4125. 0.22219604630172 1.668E+00 
0.900 4209. 0.29468662427944 1.971E+00 
1.000 4281. 0.36285930295868 2.306E+00 
1.100 4345. 0.41763773965223 2.616E+00 
1.200 4401. 0.47596158919242 2.992E+00 
1.300 4447. 0.52762990087134 3.370E+00 
1.400 4498. 0.56925683332861 3.709E+00 
1.500 4537. 0.61510798744319 4.122E+00 
1.600 4580. 0.65829765030819 4.553E+00 
1.700 4613. 0.70842090013471 5.110E+00 
1.800 4641. 0.7462448717202 5.575E+00 
1.900 4676. 0.78211414747907 6.055E+00 
2.000 4708. 0.81809386914664 6.578E+00 
2.200 4766. 0.88705437805096 7.710E+00 
2.500 4848. 0.98681650458554 9.701E+00 
2.700 4898. 1.0561422620591 1.138E+01 
3.000 4994. 1.172310968522 1.487E+01 
3.500 5293. 1.51785541893 3.295E+01 
4.000 6915. 2.1007150865731 1.261E+02 
5.000 15691. 2.7185016888673 5.230E+02 
6.000 18794. 2.99493273673 9.884E+02 
7.000 20527. 3.2271150825891 1.687E+03 
