# m teff logL Lum 
0.100 2977. -1.226286674723 5.939E-02 
0.300 3410. -0.84224111395314 1.438E-01 
0.400 3612. -0.67778070526608 2.100E-01 
0.500 3757. -0.53865156635202 2.893E-01 
0.600 3875. -0.42354346759438 3.771E-01 
0.700 3978. -0.32605800136591 4.720E-01 
0.900 4162. -0.16564288728159 6.829E-01 
1.000 4250. -0.094150173357681 8.051E-01 
1.100 4327. -0.027612000892527 9.384E-01 
1.200 4400. 0.039414119176137 1.095E+00 
1.300 4477. 0.10619089726342 1.277E+00 
1.400 4561. 0.17318626841227 1.490E+00 
1.500 4650. 0.24229290498293 1.747E+00 
1.600 4740. 0.3142886609475 2.062E+00 
1.700 4826. 0.39427652676782 2.479E+00 
1.800 4923. 0.47436197603263 2.981E+00 
1.900 5032. 0.56217386336465 3.649E+00 
2.000 5164. 0.67458560230291 4.727E+00 
2.200 5555. 1.0119931146593 1.028E+01 
2.500 8408. 1.7012224842566 5.026E+01 
2.700 9881. 1.6733895781883 4.714E+01 
3.000 11952. 1.9341953493479 8.594E+01 
3.500 13131. 2.1398790864012 1.380E+02 
4.000 14292. 2.3579348470005 2.280E+02 
5.000 16706. 2.7154183225951 5.193E+02 
6.000 18629. 3.0008677215312 1.002E+03 
7.000 20322. 3.2380461031288 1.730E+03 
