# m teff logL Lum 
0.100 2782. -3.0764969330579 8.385E-04 
0.300 3520. -1.8781120148963 1.324E-02 
0.400 3672. -1.6197887582884 2.400E-02 
0.500 3798. -1.3646167959525 4.319E-02 
0.600 3961. -1.1255761694135 7.489E-02 
0.700 4227. -0.88372441241946 1.307E-01 
0.900 5002. -0.39040559077478 4.070E-01 
1.000 5369. -0.16468999913094 6.844E-01 
1.100 5689. 0.04493154614916 1.109E+00 
1.200 5988. 0.24229290498293 1.747E+00 
1.300 6276. 0.42357351973274 2.652E+00 
1.400 6550. 0.58782317131896 3.871E+00 
1.500 6824. 0.73599788409179 5.445E+00 
1.600 7087. 0.87063796321081 7.424E+00 
1.700 7286. 0.99624891456913 9.914E+00 
1.800 7385. 1.1169396465508 1.309E+01 
1.900 7378. 1.2337573629655 1.713E+01 
2.000 7163. 1.3432115901797 2.204E+01 
2.200 7317. 1.6437486854595 4.403E+01 
2.500 8032. 1.8727388274727 7.460E+01 
2.700 8474. 2.015778756389 1.037E+02 
3.000 9682. 2.1986570869544 1.580E+02 
3.500 10406. 2.431363764159 2.700E+02 
4.000 11284. 2.6998377258672 5.010E+02 
5.000 12614. 3.0941215958406 1.242E+03 
6.000 15382. 3.4072208929274 2.554E+03 
7.000 16955. 3.5845573605257 3.842E+03 
