# m teff logL Lum 
0.100 3043. -1.5149887854214 3.055E-02 
0.300 3440. -0.97305837204097 1.064E-01 
0.400 3622. -0.80327127737671 1.573E-01 
0.500 3758. -0.6613443344213 2.181E-01 
0.600 3866. -0.54500278269054 2.851E-01 
0.700 3963. -0.4467239538629 3.575E-01 
0.900 4146. -0.2832456425673 5.209E-01 
1.000 4239. -0.20655886702234 6.215E-01 
1.100 4338. -0.13176713157754 7.383E-01 
1.200 4434. -0.052468254304407 8.862E-01 
1.300 4550. 0.031408464251624 1.075E+00 
1.400 4664. 0.12188798510368 1.324E+00 
1.500 4797. 0.22063101944809 1.662E+00 
1.600 4949. 0.33183204443625 2.147E+00 
1.700 5112. 0.45591024038274 2.857E+00 
1.800 5322. 0.62510657540347 4.218E+00 
1.900 5628. 0.86628733908419 7.350E+00 
2.000 6126. 1.1392492175716 1.378E+01 
2.200 8807. 1.4361626470408 2.730E+01 
2.500 10277. 1.6180480967121 4.150E+01 
2.700 11105. 1.7264826967848 5.327E+01 
3.000 11896. 1.8844554960705 7.664E+01 
3.500 13108. 2.1405080430382 1.382E+02 
4.000 14256. 2.3592661646067 2.287E+02 
5.000 16651. 2.7180862947831 5.225E+02 
6.000 18540. 3.0068937079479 1.016E+03 
7.000 20199. 3.2474822606771 1.768E+03 
