  log t (yr) = 8.5
--------------------------------------------------------------------------------
 m      Teff     g    log L   Mv     Mr     Mi     Mj     Mh     Mk     Ml'     Mm
--------------------------------------------------------------------------------
 0.040 1728.  4.982  -4.05  23.65  20.38  17.39  12.62  11.83  11.63  10.25  10.83
 0.050 2029.  5.068  -3.76  21.36  18.85  16.05  11.85  11.13  10.87   9.83  10.38
 0.055 2163.  5.098  -3.63  20.35  18.14  15.44  11.54  10.85  10.57   9.66  10.17
 0.060 2284.  5.122  -3.52  19.46  17.48  14.89  11.28  10.61  10.32   9.51   9.98
 0.070 2485.  5.159  -3.35  17.99  16.32  13.97  10.89  10.25   9.94   9.27   9.65
 0.072 2523.  5.163  -3.31  17.72  16.10  13.79  10.82  10.17   9.87   9.22   9.58
 0.075 2574.  5.168  -3.27  17.36  15.80  13.56  10.71  10.08   9.77   9.15   9.49
 0.080 2645.  5.177  -3.20  16.87  15.38  13.23  10.57   9.94   9.63   9.06   9.37
 0.090 2773.  5.181  -3.07  16.01  14.63  12.65  10.30   9.68   9.37   8.86   9.12
 0.100 2869.  5.181  -2.97  15.37  14.07  12.21  10.07   9.46   9.16   8.68   8.91
 0.110 2948.  5.172  -2.87  14.85  13.61  11.85   9.86   9.25   8.95   8.51   8.71
 0.130 3062.  5.145  -2.70  14.07  12.91  11.29   9.48   8.89   8.59   8.19   8.36
 0.150 3153.  5.122  -2.57  13.47  12.37  10.85   9.17   8.59   8.30   7.93   8.08
 0.175 3235.  5.093  -2.43  12.91  11.86  10.43   8.85   8.27   7.99   7.65   7.78
 0.200 3291.  5.066  -2.31  12.51  11.49  10.10   8.58   8.01   7.73   7.41   7.54
 0.250 3373.  5.025  -2.13  11.90  10.92   9.60   8.15   7.58   7.32   7.02   7.14
 0.300 3437.  4.992  -1.99  11.44  10.48   9.21   7.81   7.25   6.99   6.71   6.83
 0.350 3480.  4.959  -1.86  11.07  10.13   8.88   7.52   6.95   6.70   6.43   6.55
 0.400 3531.  4.920  -1.74  10.70   9.77   8.56   7.23   6.66   6.42   6.17   6.29
 0.450 3594.  4.873  -1.61  10.29   9.39   8.21   6.92   6.35   6.12   5.89   6.02
 0.500 3658.  4.818  -1.48   9.89   9.00   7.87   6.61   6.03   5.82   5.61   5.74
 0.570 3804.  4.748  -1.29   9.23   8.39   7.34   6.17   5.56   5.38   5.22   5.38
 0.600 3888.  4.722  -1.20   8.93   8.10   7.11   5.97   5.35   5.19   5.07   5.23
 0.620 3950.  4.705  -1.14   8.71   7.89   6.95   5.85   5.22   5.07   4.97   5.14
 0.700 4213.  4.642  -0.91   7.85   7.08   6.33   5.36   4.74   4.63   4.59   4.77
 0.750 4419.  4.615  -0.77   7.28   6.55   5.95   5.08   4.50   4.41   4.39   4.57
 0.800 4603.  4.583  -0.64   6.80   6.12   5.60   4.82   4.29   4.21   4.20   4.36
 0.850 4774.  4.548  -0.52   6.37   5.75   5.28   4.56   4.08   4.01   4.00   4.15
 0.900 4951.  4.515  -0.40   5.98   5.41   4.97   4.32   3.88   3.82   3.81   3.94
 0.950 5127.  4.483  -0.28   5.61   5.09   4.68   4.08   3.68   3.63   3.63   3.75
 1.000 5292.  4.451  -0.17   5.28   4.80   4.42   3.86   3.50   3.46   3.46   3.56
 1.050 5443.  4.414  -0.07   4.97   4.53   4.16   3.65   3.31   3.27   3.28   3.38
 1.100 5590.  4.378   0.04   4.68   4.26   3.92   3.44   3.13   3.10   3.11   3.19
 1.150 5742.  4.345   0.14   4.41   4.02   3.69   3.25   2.97   2.93   2.95   3.02
 1.200 5902.  4.318   0.23   4.16   3.79   3.48   3.07   2.81   2.78   2.80   2.86
 1.300 6230.  4.274   0.40   3.69   3.37   3.10   2.76   2.54   2.52   2.54   2.59
 1.400 6633.  4.261   0.56   3.29   3.02   2.79   2.51   2.34   2.33   2.35   2.38
