  log t (yr) = 8.3
--------------------------------------------------------------------------------
 m      Teff     g    log L   Mv     Mr     Mi     Mj     Mh     Mk     Ml'     Mm
--------------------------------------------------------------------------------
 0.040 1959.  4.921  -3.77  21.77  19.12  16.26  11.89  11.14  10.87   9.78  10.34
 0.050 2240.  4.993  -3.51  19.64  17.61  14.98  11.24  10.56  10.25   9.42   9.90
 0.055 2365.  5.015  -3.39  18.69  16.89  14.39  10.98  10.32  10.00   9.26   9.69
 0.060 2473.  5.033  -3.30  17.90  16.25  13.89  10.76  10.12   9.79   9.13   9.51
 0.070 2636.  5.059  -3.15  16.75  15.27  13.13  10.43   9.81   9.49   8.91   9.22
 0.072 2660.  5.066  -3.12  16.59  15.14  13.03  10.39   9.77   9.45   8.88   9.18
 0.075 2700.  5.071  -3.09  16.32  14.90  12.84  10.31   9.69   9.37   8.82   9.10
 0.080 2759.  5.075  -3.02  15.92  14.55  12.57  10.18   9.56   9.25   8.72   8.98
 0.090 2853.  5.085  -2.93  15.31  14.01  12.15   9.96   9.36   9.04   8.56   8.79
 0.100 2929.  5.087  -2.84  14.82  13.57  11.80   9.77   9.17   8.86   8.41   8.61
 0.110 2990.  5.087  -2.76  14.42  13.22  11.52   9.60   9.00   8.70   8.27   8.45
 0.130 3082.  5.082  -2.63  13.82  12.68  11.08   9.30   8.71   8.42   8.02   8.19
 0.150 3167.  5.073  -2.51  13.29  12.20  10.70   9.04   8.45   8.17   7.80   7.94
 0.175 3241.  5.053  -2.38  12.79  11.75  10.32   8.75   8.17   7.89   7.54   7.68
 0.200 3294.  5.039  -2.28  12.43  11.41  10.03   8.51   7.94   7.66   7.33   7.46
 0.250 3374.  5.007  -2.11  11.85  10.87   9.56   8.11   7.54   7.27   6.97   7.09
 0.300 3436.  4.979  -1.97  11.41  10.45   9.18   7.78   7.21   6.96   6.67   6.80
 0.350 3483.  4.955  -1.86  11.05  10.11   8.87   7.51   6.94   6.69   6.42   6.54
 0.400 3538.  4.918  -1.74  10.67   9.75   8.54   7.22   6.65   6.41   6.16   6.28
 0.450 3607.  4.871  -1.60  10.25   9.35   8.19   6.91   6.33   6.11   5.88   6.01
 0.500 3676.  4.820  -1.47   9.85   8.97   7.84   6.60   6.02   5.81   5.60   5.74
 0.570 3819.  4.753  -1.28   9.21   8.37   7.33   6.17   5.56   5.38   5.23   5.38
 0.600 3897.  4.725  -1.20   8.91   8.09   7.11   5.97   5.35   5.19   5.07   5.24
 0.620 3958.  4.708  -1.14   8.70   7.88   6.95   5.85   5.22   5.07   4.97   5.14
 0.700 4215.  4.646  -0.92   7.85   7.09   6.34   5.37   4.74   4.64   4.60   4.78
 0.750 4419.  4.618  -0.78   7.29   6.56   5.96   5.09   4.51   4.42   4.40   4.58
 0.800 4604.  4.586  -0.65   6.80   6.12   5.61   4.83   4.29   4.22   4.20   4.37
 0.850 4774.  4.550  -0.52   6.38   5.76   5.29   4.57   4.08   4.02   4.01   4.16
 0.900 4951.  4.518  -0.40   5.99   5.42   4.98   4.32   3.88   3.83   3.82   3.95
 0.950 5120.  4.487  -0.29   5.63   5.11   4.70   4.09   3.69   3.64   3.64   3.76
 1.000 5286.  4.454  -0.18   5.30   4.82   4.43   3.87   3.51   3.46   3.46   3.57
 1.050 5439.  4.417  -0.07   4.98   4.54   4.17   3.66   3.32   3.28   3.29   3.38
 1.100 5586.  4.382   0.03   4.70   4.28   3.93   3.45   3.15   3.11   3.12   3.21
 1.150 5737.  4.350   0.13   4.43   4.03   3.71   3.26   2.98   2.95   2.96   3.04
 1.200 5897.  4.322   0.22   4.17   3.80   3.50   3.08   2.83   2.80   2.81   2.88
 1.300 6233.  4.282   0.40   3.71   3.39   3.12   2.77   2.56   2.54   2.56   2.60
 1.400 6642.  4.269   0.55   3.30   3.03   2.81   2.53   2.36   2.34   2.37   2.40
