  log t (yr) = 7.3
--------------------------------------------------------------------------------
 m      Teff     g    log L   Mv     Mr     Mi     Mj     Mh     Mk     Ml'     Mm
--------------------------------------------------------------------------------
 0.020 2337.  4.187  -3.03  17.87  16.19  13.68  10.07   9.44   9.01   8.30   8.68
 0.030 2522.  4.362  -2.89  16.58  15.10  12.85   9.78   9.16   8.78   8.16   8.46
 0.040 2687.  4.404  -2.70  15.35  14.00  11.97   9.35   8.75   8.38   7.84   8.08
 0.050 2798.  4.419  -2.55  14.54  13.25  11.37   9.01   8.41   8.06   7.56   7.77
 0.055 2838.  4.420  -2.48  14.23  12.98  11.13   8.86   8.26   7.91   7.43   7.63
 0.060 2873.  4.423  -2.43  13.98  12.74  10.94   8.73   8.14   7.79   7.33   7.51
 0.070 2952.  4.440  -2.33  13.46  12.26  10.56   8.52   7.92   7.59   7.15   7.32
 0.072 2970.  4.442  -2.31  13.34  12.15  10.48   8.47   7.88   7.55   7.12   7.28
 0.075 2995.  4.444  -2.28  13.18  12.00  10.36   8.41   7.81   7.49   7.06   7.22
 0.080 3019.  4.445  -2.24  13.01  11.85  10.23   8.31   7.72   7.39   6.98   7.13
 0.090 3058.  4.445  -2.16  12.73  11.59  10.01   8.14   7.55   7.23   6.83   6.98
 0.100 3092.  4.443  -2.10  12.47  11.35   9.80   7.98   7.39   7.08   6.69   6.83
 0.110 3121.  4.441  -2.04  12.26  11.16   9.63   7.84   7.25   6.94   6.57   6.71
 0.130 3171.  4.434  -1.93  11.89  10.81   9.32   7.59   7.00   6.69   6.34   6.47
 0.150 3209.  4.432  -1.85  11.60  10.54   9.07   7.38   6.79   6.50   6.16   6.29
 0.175 3244.  4.424  -1.75  11.31  10.26   8.82   7.16   6.57   6.28   5.95   6.09
 0.200 3279.  4.417  -1.67  11.04  10.01   8.59   6.96   6.37   6.08   5.77   5.90
 0.250 3336.  4.408  -1.53  10.61   9.61   8.21   6.64   6.04   5.77   5.47   5.61
 0.300 3381.  4.399  -1.42  10.26   9.28   7.91   6.37   5.77   5.51   5.23   5.37
 0.350 3422.  4.398  -1.33   9.98   9.02   7.67   6.16   5.55   5.30   5.04   5.18
 0.400 3464.  4.395  -1.25   9.72   8.77   7.44   5.96   5.35   5.11   4.87   5.01
 0.450 3510.  4.397  -1.18   9.47   8.54   7.24   5.80   5.18   4.95   4.72   4.87
 0.500 3554.  4.394  -1.11   9.24   8.32   7.04   5.63   5.01   4.78   4.58   4.73
 0.570 3618.  4.392  -1.02   8.93   8.04   6.79   5.42   4.79   4.58   4.40   4.56
 0.600 3648.  4.392  -0.98   8.80   7.92   6.69   5.34   4.70   4.50   4.33   4.49
 0.620 3666.  4.389  -0.96   8.71   7.84   6.62   5.28   4.64   4.44   4.28   4.45
 0.700 3750.  4.383  -0.86   8.36   7.51   6.35   5.06   4.40   4.23   4.10   4.28
 0.750 3801.  4.376  -0.80   8.14   7.31   6.18   4.92   4.25   4.09   3.98   4.17
 0.800 3864.  4.368  -0.73   7.90   7.09   6.01   4.78   4.10   3.95   3.87   4.06
 0.850 3938.  4.357  -0.66   7.61   6.82   5.80   4.63   3.95   3.82   3.75   3.94
 0.900 4039.  4.347  -0.58   7.25   6.47   5.57   4.47   3.80   3.68   3.63   3.82
 0.950 4147.  4.332  -0.50   6.90   6.13   5.32   4.30   3.65   3.54   3.50   3.70
 1.000 4287.  4.316  -0.40   6.48   5.74   5.05   4.11   3.49   3.40   3.37   3.56
 1.050 4438.  4.292  -0.30   6.06   5.34   4.76   3.90   3.32   3.24   3.22   3.40
 1.100 4627.  4.257  -0.17   5.59   4.93   4.42   3.65   3.12   3.05   3.03   3.21
 1.150 4866.  4.211  -0.02   5.06   4.48   4.03   3.34   2.88   2.82   2.81   2.96
 1.200 5126.  4.148   0.15   4.52   4.01   3.60   2.99   2.60   2.55   2.54   2.66
 1.300 5834.  4.044   0.52   3.44   3.07   2.75   2.33   2.06   2.03   2.04   2.12
 1.400 6255.  4.250   0.47   3.53   3.21   2.95   2.61   2.39   2.37   2.39   2.44
