  log t (yr) = 9.5
--------------------------------------------------------------------------------
 m      Teff     g    log L   Mv     Mr     Mi     Mj     Mh     Mk     Ml'     Mm
--------------------------------------------------------------------------------
 0.072 1806.  5.407  -4.14  23.43  20.27  17.35  12.80  12.09  11.97  10.64  11.16
 0.075 2019.  5.389  -3.91  21.76  19.16  16.36  12.23  11.51  11.34  10.25  10.77
 0.080 2313.  5.350  -3.61  19.53  17.54  14.98  11.49  10.82  10.57   9.76  10.22
 0.090 2640.  5.292  -3.27  17.10  15.56  13.40  10.74  10.10   9.81   9.22   9.54
 0.100 2811.  5.251  -3.07  15.86  14.51  12.57  10.31   9.69   9.39   8.89   9.14
 0.110 2920.  5.219  -2.93  15.10  13.84  12.04  10.00   9.40   9.10   8.64   8.86
 0.130 3054.  5.170  -2.73  14.17  13.00  11.37   9.55   8.96   8.66   8.26   8.43
 0.150 3150.  5.134  -2.58  13.52  12.41  10.89   9.21   8.62   8.33   7.96   8.11
 0.175 3234.  5.098  -2.43  12.93  11.88  10.45   8.87   8.29   8.01   7.66   7.80
 0.200 3291.  5.069  -2.31  12.52  11.49  10.11   8.59   8.02   7.74   7.41   7.54
 0.250 3374.  5.019  -2.12  11.89  10.90   9.59   8.14   7.57   7.30   7.00   7.13
 0.300 3436.  4.976  -1.97  11.40  10.44   9.17   7.77   7.21   6.95   6.67   6.79
 0.350 3477.  4.941  -1.85  11.04  10.10   8.85   7.48   6.91   6.66   6.39   6.51
 0.400 3521.  4.893  -1.72  10.66   9.73   8.51   7.17   6.60   6.35   6.10   6.23
 0.450 3581.  4.851  -1.60  10.28   9.37   8.18   6.88   6.31   6.07   5.84   5.97
 0.500 3648.  4.802  -1.47   9.88   8.99   7.84   6.58   6.00   5.78   5.57   5.71
 0.570 3799.  4.733  -1.27   9.21   8.36   7.31   6.13   5.52   5.34   5.19   5.34
 0.600 3887.  4.706  -1.19   8.90   8.07   7.08   5.94   5.31   5.15   5.03   5.19
 0.620 3952.  4.690  -1.13   8.67   7.86   6.91   5.81   5.17   5.02   4.93   5.10
 0.700 4224.  4.625  -0.89   7.78   7.02   6.28   5.31   4.69   4.58   4.54   4.73
 0.750 4439.  4.596  -0.75   7.20   6.47   5.88   5.02   4.44   4.36   4.34   4.51
 0.800 4629.  4.559  -0.61   6.70   6.03   5.52   4.75   4.22   4.15   4.13   4.29
 0.850 4811.  4.518  -0.48   6.24   5.64   5.17   4.47   3.99   3.93   3.92   4.07
 0.900 5003.  4.480  -0.34   5.82   5.27   4.84   4.20   3.77   3.72   3.71   3.84
 0.950 5189.  4.438  -0.22   5.42   4.92   4.52   3.93   3.55   3.51   3.50   3.61
 1.000 5355.  4.390  -0.09   5.06   4.59   4.22   3.68   3.33   3.29   3.29   3.39
 1.050 5509.  4.336   0.03   4.71   4.28   3.92   3.42   3.10   3.06   3.07   3.16
 1.100 5657.  4.281   0.16   4.38   3.97   3.63   3.17   2.88   2.84   2.85   2.93
 1.150 5798.  4.228   0.27   4.07   3.68   3.37   2.93   2.66   2.63   2.64   2.72
 1.200 5899.  4.152   0.39   3.74   3.38   3.07   2.66   2.40   2.37   2.38   2.45
 1.300 5872.  4.026   0.55   3.36   2.99   2.68   2.27   2.01   1.98   1.99   2.06
