  log t (yr) = 6.7
--------------------------------------------------------------------------------
 m      Teff     g    log L   Mv     Mr     Mi     Mj     Mh     Mk     Ml'     Mm
--------------------------------------------------------------------------------
 0.020 2503.  3.925  -2.65  16.07  14.61  12.35   9.16   8.56   8.14   7.52   7.80
 0.030 2698.  3.838  -2.25  14.20  12.87  10.89   8.24   7.64   7.25   6.72   6.93
 0.040 2783.  3.843  -2.08  13.46  12.18  10.29   7.83   7.23   6.86   6.36   6.55
 0.050 2841.  3.901  -2.00  13.09  11.84  10.01   7.66   7.06   6.70   6.23   6.41
 0.055 2865.  3.918  -1.96  12.91  11.68   9.87   7.57   6.97   6.61   6.15   6.33
 0.060 2889.  3.930  -1.92  12.74  11.52   9.73   7.47   6.87   6.52   6.07   6.25
 0.070 2960.  3.950  -1.83  12.27  11.08   9.39   7.27   6.67   6.33   5.91   6.07
 0.072 2977.  3.955  -1.82  12.17  10.99   9.32   7.24   6.64   6.30   5.89   6.04
 0.075 3000.  3.957  -1.79  12.02  10.85   9.21   7.18   6.58   6.24   5.83   5.98
 0.080 3014.  3.962  -1.76  11.91  10.74   9.11   7.10   6.50   6.17   5.77   5.91
 0.090 3042.  3.970  -1.70  11.70  10.55   8.94   6.96   6.36   6.03   5.64   5.79
 0.100 3068.  3.973  -1.64  11.50  10.36   8.77   6.83   6.22   5.90   5.52   5.66
 0.110 3094.  3.975  -1.59  11.31  10.18   8.61   6.70   6.09   5.77   5.40   5.55
 0.130 3130.  3.975  -1.49  11.01   9.90   8.35   6.47   5.86   5.55   5.20   5.35
 0.150 3163.  3.977  -1.42  10.75   9.66   8.12   6.29   5.67   5.37   5.03   5.18
 0.175 3198.  3.976  -1.33  10.47   9.40   7.88   6.08   5.46   5.17   4.84   4.99
 0.200 3225.  3.977  -1.26  10.26   9.20   7.69   5.90   5.28   4.99   4.68   4.83
 0.250 3287.  3.979  -1.13   9.85   8.81   7.33   5.60   4.97   4.70   4.41   4.57
 0.300 3345.  3.980  -1.02   9.50   8.49   7.03   5.34   4.70   4.44   4.18   4.35
 0.350 3402.  3.982  -0.93   9.19   8.21   6.76   5.12   4.46   4.22   3.99   4.16
 0.400 3455.  3.980  -0.84   8.92   7.96   6.53   4.91   4.24   4.01   3.81   3.99
 0.450 3495.  3.984  -0.77   8.70   7.76   6.34   4.75   4.06   3.85   3.67   3.86
 0.500 3538.  3.986  -0.71   8.49   7.57   6.17   4.60   3.90   3.70   3.54   3.74
 0.570 3588.  3.985  -0.62   8.22   7.32   5.94   4.41   3.69   3.50   3.37   3.57
 0.600 3608.  3.985  -0.59   8.12   7.23   5.86   4.33   3.61   3.43   3.31   3.51
 0.620 3623.  3.984  -0.57   8.04   7.16   5.80   4.28   3.55   3.38   3.26   3.47
 0.700 3678.  3.988  -0.50   7.77   6.92   5.59   4.10   3.37   3.21   3.12   3.33
 0.750 3709.  3.990  -0.45   7.62   6.78   5.47   4.00   3.27   3.12   3.03   3.25
 0.800 3745.  3.992  -0.41   7.45   6.62   5.34   3.91   3.17   3.03   2.95   3.18
 0.850 3779.  3.997  -0.37   7.30   6.48   5.23   3.82   3.09   2.95   2.89   3.11
 0.900 3815.  4.004  -0.34   7.14   6.35   5.12   3.75   3.02   2.89   2.83   3.06
 0.950 3852.  4.001  -0.30   6.97   6.19   4.99   3.65   2.93   2.80   2.75   2.98
 1.000 3890.  4.005  -0.26   6.81   6.04   4.88   3.57   2.86   2.74   2.69   2.92
 1.050 3977.  4.004  -0.20   6.43   5.66   4.66   3.48   2.78   2.66   2.62   2.83
 1.100 4035.  4.011  -0.16   6.22   5.45   4.53   3.41   2.73   2.62   2.57   2.77
 1.150 4078.  4.015  -0.13   6.06   5.30   4.43   3.34   2.68   2.56   2.52   2.72
 1.200 4122.  4.018  -0.09   5.91   5.15   4.33   3.28   2.62   2.51   2.47   2.67
 1.300 4209.  4.020  -0.02   5.61   4.86   4.12   3.14   2.50   2.40   2.36   2.56
 1.400 4303.  4.014   0.05   5.31   4.58   3.91   2.98   2.37   2.28   2.24   2.44
