  log t (yr) = 8.0
--------------------------------------------------------------------------------
 m      Teff     g    log L   Mv     Mr     Mi     Mj     Mh     Mk     Ml'     Mm
--------------------------------------------------------------------------------
 0.030 1929.  4.721  -3.72  21.83  19.15  16.26  11.78  11.03  10.70   9.61  10.19
 0.040 2265.  4.807  -3.40  19.22  17.29  14.69  10.97  10.31   9.96   9.17   9.63
 0.050 2508.  4.852  -3.17  17.38  15.81  13.51  10.46   9.83   9.48   8.84   9.19
 0.055 2598.  4.867  -3.08  16.73  15.26  13.08  10.27   9.65   9.30   8.71   9.02
 0.060 2672.  4.879  -3.01  16.22  14.81  12.73  10.11   9.49   9.15   8.60   8.88
 0.070 2793.  4.891  -2.88  15.39  14.08  12.15   9.82   9.22   8.89   8.38   8.62
 0.072 2812.  4.893  -2.86  15.27  13.96  12.06   9.78   9.17   8.84   8.35   8.58
 0.075 2835.  4.901  -2.83  15.12  13.83  11.96   9.72   9.12   8.79   8.31   8.53
 0.080 2876.  4.903  -2.78  14.84  13.58  11.76   9.61   9.01   8.69   8.22   8.43
 0.090 2946.  4.910  -2.69  14.39  13.17  11.44   9.42   8.82   8.51   8.07   8.26
 0.100 3006.  4.910  -2.61  13.99  12.81  11.15   9.24   8.65   8.34   7.92   8.09
 0.110 3051.  4.914  -2.55  13.71  12.56  10.94   9.10   8.51   8.20   7.80   7.96
 0.130 3129.  4.913  -2.43  13.20  12.09  10.56   8.83   8.24   7.95   7.57   7.72
 0.150 3199.  4.909  -2.33  12.76  11.69  10.23   8.60   8.01   7.72   7.37   7.50
 0.175 3253.  4.902  -2.23  12.39  11.35   9.93   8.36   7.78   7.49   7.16   7.29
 0.200 3299.  4.896  -2.14  12.07  11.06   9.68   8.15   7.57   7.29   6.97   7.10
 0.250 3372.  4.884  -1.99  11.58  10.60   9.27   7.80   7.23   6.96   6.66   6.79
 0.300 3424.  4.873  -1.87  11.20  10.24   8.95   7.52   6.95   6.69   6.41   6.53
 0.350 3471.  4.857  -1.77  10.86   9.92   8.66   7.27   6.70   6.45   6.18   6.31
 0.400 3525.  4.835  -1.66  10.52   9.60   8.37   7.02   6.44   6.20   5.95   6.08
 0.450 3583.  4.805  -1.55  10.17   9.26   8.07   6.76   6.18   5.95   5.72   5.85
 0.500 3658.  4.765  -1.43   9.77   8.89   7.74   6.48   5.89   5.68   5.47   5.61
 0.570 3864.  4.704  -1.22   9.00   8.17   7.16   6.00   5.38   5.21   5.09   5.25
 0.600 3987.  4.684  -1.12   8.61   7.80   6.89   5.80   5.16   5.02   4.94   5.11
 0.620 4063.  4.670  -1.06   8.38   7.58   6.72   5.67   5.04   4.91   4.84   5.02
 0.700 4246.  4.652  -0.91   7.80   7.04   6.31   5.36   4.74   4.64   4.61   4.79
 0.750 4426.  4.625  -0.78   7.30   6.56   5.97   5.11   4.52   4.44   4.42   4.59
 0.800 4603.  4.591  -0.65   6.82   6.14   5.62   4.84   4.30   4.23   4.22   4.38
 0.850 4771.  4.556  -0.53   6.40   5.78   5.30   4.58   4.09   4.03   4.02   4.17
 0.900 4950.  4.523  -0.41   6.00   5.43   4.99   4.34   3.90   3.84   3.83   3.96
 0.950 5116.  4.491  -0.29   5.65   5.13   4.71   4.11   3.71   3.66   3.65   3.77
 1.000 5265.  4.460  -0.19   5.33   4.85   4.46   3.90   3.53   3.48   3.48   3.59
 1.050 5420.  4.422  -0.08   5.01   4.56   4.20   3.68   3.34   3.30   3.30   3.40
 1.100 5568.  4.386   0.02   4.73   4.30   3.96   3.47   3.16   3.12   3.13   3.22
 1.150 5721.  4.354   0.12   4.45   4.05   3.73   3.28   2.99   2.96   2.97   3.05
 1.200 5882.  4.326   0.22   4.19   3.82   3.51   3.10   2.84   2.81   2.82   2.89
 1.300 6229.  4.286   0.39   3.73   3.40   3.13   2.79   2.57   2.55   2.57   2.62
 1.400 6640.  4.275   0.54   3.32   3.05   2.82   2.54   2.38   2.36   2.38   2.41
