  log t (yr) = 7.5
--------------------------------------------------------------------------------
 m      Teff     g    log L   Mv     Mr     Mi     Mj     Mh     Mk     Ml'     Mm
--------------------------------------------------------------------------------
 0.020 2090.  4.360  -3.39  20.16  17.96  15.17  10.95  10.27   9.84   8.95   9.46
 0.030 2398.  4.493  -3.11  17.76  16.12  13.69  10.29   9.66   9.26   8.58   8.95
 0.040 2619.  4.536  -2.88  16.08  14.67  12.55   9.77   9.16   8.79   8.21   8.49
 0.050 2753.  4.558  -2.72  15.13  13.81  11.86   9.41   8.81   8.46   7.94   8.17
 0.055 2805.  4.564  -2.65  14.75  13.47  11.58   9.26   8.66   8.31   7.82   8.03
 0.060 2846.  4.563  -2.58  14.45  13.19  11.35   9.11   8.51   8.17   7.69   7.89
 0.070 2920.  4.576  -2.48  13.94  12.73  10.98   8.89   8.30   7.96   7.52   7.69
 0.072 2936.  4.582  -2.47  13.85  12.64  10.92   8.86   8.26   7.93   7.49   7.67
 0.075 2960.  4.584  -2.44  13.69  12.50  10.81   8.79   8.20   7.87   7.44   7.61
 0.080 2998.  4.585  -2.39  13.44  12.27  10.62   8.69   8.09   7.77   7.35   7.50
 0.090 3043.  4.586  -2.31  13.13  11.98  10.38   8.51   7.92   7.60   7.20   7.35
 0.100 3081.  4.585  -2.25  12.86  11.73  10.17   8.35   7.76   7.45   7.06   7.20
 0.110 3115.  4.583  -2.18  12.62  11.52   9.98   8.21   7.62   7.31   6.93   7.07
 0.130 3170.  4.581  -2.08  12.23  11.15   9.67   7.96   7.37   7.07   6.71   6.85
 0.150 3217.  4.575  -1.98  11.90  10.85   9.40   7.74   7.15   6.86   6.52   6.65
 0.175 3262.  4.567  -1.89  11.57  10.54   9.12   7.50   6.92   6.63   6.31   6.44
 0.200 3299.  4.560  -1.80  11.29  10.28   8.88   7.30   6.72   6.44   6.12   6.25
 0.250 3360.  4.552  -1.66  10.85   9.86   8.50   6.98   6.39   6.12   5.83   5.96
 0.300 3414.  4.545  -1.55  10.48   9.52   8.19   6.71   6.12   5.86   5.58   5.72
 0.350 3453.  4.535  -1.45  10.18   9.23   7.92   6.48   5.88   5.63   5.37   5.51
 0.400 3491.  4.532  -1.37   9.92   8.99   7.70   6.29   5.69   5.45   5.20   5.34
 0.450 3525.  4.529  -1.30   9.70   8.78   7.51   6.12   5.52   5.29   5.05   5.19
 0.500 3562.  4.522  -1.23   9.47   8.56   7.32   5.95   5.35   5.12   4.90   5.04
 0.570 3628.  4.515  -1.14   9.14   8.25   7.05   5.73   5.12   4.90   4.71   4.86
 0.600 3661.  4.511  -1.09   9.00   8.12   6.94   5.63   5.01   4.81   4.63   4.78
 0.620 3683.  4.507  -1.07   8.90   8.03   6.86   5.57   4.94   4.75   4.57   4.73
 0.700 3800.  4.487  -0.94   8.45   7.61   6.51   5.28   4.63   4.46   4.34   4.51
 0.750 3890.  4.468  -0.85   8.12   7.31   6.27   5.08   4.41   4.27   4.18   4.37
 0.800 4015.  4.447  -0.74   7.69   6.89   5.97   4.86   4.19   4.07   4.01   4.20
 0.850 4188.  4.423  -0.62   7.15   6.39   5.61   4.61   3.98   3.87   3.84   4.03
 0.900 4405.  4.394  -0.48   6.54   5.82   5.22   4.35   3.76   3.67   3.65   3.83
 0.950 4641.  4.353  -0.32   5.97   5.31   4.81   4.04   3.51   3.44   3.43   3.59
 1.000 4970.  4.303  -0.13   5.30   4.75   4.31   3.66   3.23   3.17   3.16   3.30
 1.050 5319.  4.252   0.06   4.70   4.23   3.85   3.30   2.94   2.90   2.90   3.01
 1.100 5556.  4.295   0.11   4.51   4.08   3.74   3.25   2.94   2.90   2.91   3.00
 1.150 5665.  4.343   0.12   4.48   4.07   3.74   3.27   2.98   2.95   2.96   3.04
 1.200 5757.  4.336   0.17   4.33   3.94   3.61   3.17   2.89   2.86   2.87   2.95
 1.300 6046.  4.276   0.35   3.84   3.50   3.21   2.83   2.59   2.56   2.58   2.64
 1.400 6605.  4.267   0.54   3.32   3.05   2.82   2.53   2.36   2.34   2.37   2.40
