  log t (yr) = 6.2
--------------------------------------------------------------------------------
 m      Teff     g    log L   Mv     Mr     Mi     Mj     Mh     Mk     Ml'     Mm
--------------------------------------------------------------------------------
 0.020 2527.  3.847  -2.55  15.73  14.29  12.06   8.93   8.33   7.91   7.31   7.58
 0.030 2705.  3.778  -2.19  14.02  12.69  10.72   8.08   7.48   7.09   6.57   6.77
 0.040 2794.  3.697  -1.93  13.05  11.76   9.91   7.45   6.85   6.48   5.99   6.17
 0.050 2844.  3.640  -1.74  12.44  11.18   9.37   7.00   6.40   6.03   5.57   5.75
 0.055 2865.  3.617  -1.66  12.19  10.94   9.15   6.81   6.21   5.85   5.39   5.57
 0.060 2887.  3.597  -1.59  11.96  10.72   8.95   6.64   6.03   5.68   5.24   5.41
 0.070 2921.  3.564  -1.47  11.58  10.35   8.61   6.35   5.74   5.39   4.96   5.13
 0.072 2927.  3.557  -1.45  11.51  10.28   8.55   6.29   5.68   5.33   4.91   5.08
 0.075 2934.  3.550  -1.42  11.42  10.20   8.47   6.22   5.61   5.26   4.84   5.01
 0.080 2946.  3.537  -1.37  11.27  10.06   8.34   6.10   5.49   5.14   4.73   4.90
 0.090 2967.  3.517  -1.29  11.03   9.82   8.11   5.90   5.28   4.94   4.54   4.71
 0.100 2987.  3.506  -1.22  10.82   9.62   7.92   5.73   5.11   4.77   4.38   4.55
 0.110 3006.  3.501  -1.16  10.64   9.45   7.77   5.59   4.96   4.63   4.25   4.42
 0.130 3038.  3.519  -1.09  10.40   9.22   7.55   5.42   4.78   4.46   4.09   4.27
 0.150 3075.  3.551  -1.04  10.20   9.04   7.39   5.30   4.66   4.35   4.00   4.17
 0.175 3120.  3.571  -0.97   9.94   8.81   7.18   5.13   4.47   4.18   3.85   4.03
 0.200 3159.  3.587  -0.90   9.73   8.61   6.99   4.98   4.31   4.02   3.72   3.91
 0.250 3234.  3.602  -0.78   9.33   8.25   6.65   4.69   3.99   3.73   3.47   3.67
 0.300 3292.  3.609  -0.68   9.01   7.96   6.37   4.45   3.72   3.48   3.26   3.47
 0.350 3348.  3.619  -0.59   8.73   7.71   6.13   4.24   3.50   3.28   3.08   3.30
 0.400 3394.  3.627  -0.52   8.50   7.49   5.92   4.07   3.31   3.11   2.93   3.16
 0.450 3439.  3.630  -0.45   8.26   7.28   5.72   3.90   3.14   2.94   2.79   3.02
 0.500 3479.  3.636  -0.39   8.05   7.10   5.55   3.76   2.99   2.81   2.67   2.91
 0.570 3534.  3.644  -0.31   7.76   6.85   5.32   3.57   2.81   2.64   2.52   2.76
 0.600 3557.  3.644  -0.28   7.64   6.74   5.22   3.49   2.73   2.57   2.46   2.70
 0.620 3572.  3.647  -0.26   7.57   6.68   5.17   3.45   2.69   2.53   2.42   2.67
 0.700 3631.  3.659  -0.19   7.28   6.43   4.95   3.29   2.54   2.39   2.30   2.54
 0.750 3666.  3.665  -0.15   7.11   6.28   4.82   3.19   2.45   2.30   2.22   2.47
 0.800 3697.  3.666  -0.11   6.95   6.14   4.69   3.09   2.35   2.22   2.14   2.39
 0.850 3732.  3.670  -0.07   6.78   6.00   4.57   3.00   2.27   2.14   2.07   2.33
 0.900 3770.  3.695  -0.05   6.65   5.89   4.50   2.97   2.25   2.12   2.06   2.31
 0.950 3797.  3.681   0.00   6.48   5.73   4.36   2.85   2.13   2.01   1.95   2.21
 1.000 3832.  3.690   0.03   6.33   5.60   4.26   2.79   2.08   1.96   1.91   2.17
 1.050 3862.  3.685   0.07   6.18   5.46   4.14   2.70   2.00   1.88   1.83   2.09
 1.100 3893.  3.691   0.10   6.04   5.34   4.05   2.63   1.94   1.83   1.78   2.05
 1.150 3966.  3.697   0.14   5.53   4.79   3.81   2.63   1.96   1.84   1.80   2.01
 1.200 4030.  3.703   0.18   5.20   4.43   3.64   2.60   1.94   1.83   1.78   1.97
 1.300 4126.  3.717   0.24   4.92   4.17   3.46   2.48   1.85   1.75   1.70   1.88
 1.400 4206.  3.728   0.30   4.68   3.95   3.30   2.37   1.76   1.67   1.63   1.80
