  log t (yr) = 7.1
--------------------------------------------------------------------------------
 m      Teff     g    log L   Mv     Mr     Mi     Mj     Mh     Mk     Ml'     Mm
--------------------------------------------------------------------------------
 0.020 2476.  4.001  -2.74  16.43  14.94  12.64   9.39   8.78   8.36   7.73   8.03
 0.030 2607.  4.199  -2.67  15.63  14.24  12.11   9.26   8.65   8.26   7.69   7.95
 0.040 2733.  4.247  -2.51  14.71  13.39  11.43   8.90   8.30   7.93   7.41   7.63
 0.050 2819.  4.265  -2.38  14.06  12.80  10.94   8.60   8.00   7.64   7.16   7.36
 0.055 2852.  4.271  -2.32  13.81  12.56  10.74   8.46   7.87   7.52   7.05   7.24
 0.060 2881.  4.273  -2.27  13.58  12.35  10.56   8.34   7.75   7.40   6.94   7.13
 0.070 2964.  4.290  -2.17  13.04  11.85  10.17   8.13   7.53   7.20   6.77   6.93
 0.072 2982.  4.296  -2.16  12.94  11.76  10.10   8.09   7.50   7.16   6.74   6.90
 0.075 3003.  4.298  -2.13  12.79  11.63  10.00   8.03   7.44   7.10   6.69   6.84
 0.080 3023.  4.298  -2.09  12.65  11.49   9.88   7.94   7.34   7.02   6.61   6.76
 0.090 3058.  4.298  -2.02  12.39  11.25   9.66   7.77   7.18   6.85   6.46   6.60
 0.100 3092.  4.297  -1.95  12.14  11.02   9.46   7.61   7.02   6.70   6.32   6.46
 0.110 3117.  4.294  -1.89  11.94  10.84   9.30   7.48   6.88   6.57   6.20   6.34
 0.130 3156.  4.290  -1.79  11.62  10.53   9.02   7.24   6.64   6.34   5.98   6.12
 0.150 3192.  4.284  -1.71  11.33  10.26   8.77   7.03   6.43   6.13   5.79   5.93
 0.175 3227.  4.276  -1.61  11.04   9.98   8.51   6.80   6.20   5.91   5.58   5.72
 0.200 3259.  4.273  -1.54  10.79   9.75   8.29   6.62   6.01   5.73   5.41   5.56
 0.250 3312.  4.267  -1.40  10.38   9.37   7.94   6.30   5.69   5.42   5.13   5.27
 0.300 3352.  4.262  -1.30  10.06   9.06   7.65   6.05   5.44   5.17   4.90   5.04
 0.350 3399.  4.257  -1.20   9.75   8.78   7.39   5.82   5.20   4.95   4.69   4.84
 0.400 3451.  4.259  -1.12   9.48   8.52   7.16   5.63   5.00   4.76   4.52   4.68
 0.450 3503.  4.261  -1.05   9.22   8.29   6.95   5.45   4.81   4.59   4.38   4.54
 0.500 3554.  4.259  -0.97   8.97   8.06   6.74   5.28   4.63   4.42   4.23   4.40
 0.570 3621.  4.263  -0.89   8.67   7.78   6.50   5.09   4.42   4.23   4.07   4.24
 0.600 3648.  4.259  -0.85   8.54   7.66   6.40   5.00   4.33   4.14   3.99   4.17
 0.620 3664.  4.263  -0.83   8.47   7.60   6.35   4.96   4.28   4.10   3.96   4.14
 0.700 3728.  4.257  -0.74   8.17   7.32   6.10   4.75   4.07   3.90   3.78   3.97
 0.750 3770.  4.257  -0.69   7.98   7.15   5.96   4.64   3.95   3.79   3.69   3.89
 0.800 3811.  4.254  -0.64   7.80   6.98   5.82   4.52   3.83   3.69   3.60   3.80
 0.850 3858.  4.250  -0.59   7.60   6.79   5.68   4.41   3.72   3.58   3.50   3.71
 0.900 3913.  4.251  -0.54   7.39   6.60   5.53   4.31   3.62   3.49   3.42   3.63
 0.950 3986.  4.244  -0.48   7.08   6.30   5.33   4.19   3.51   3.38   3.33   3.52
 1.000 4060.  4.240  -0.42   6.82   6.05   5.16   4.07   3.41   3.29   3.24   3.44
 1.050 4137.  4.235  -0.36   6.57   5.80   4.99   3.95   3.30   3.19   3.15   3.35
 1.100 4224.  4.226  -0.30   6.29   5.54   4.80   3.82   3.19   3.09   3.06   3.25
 1.150 4327.  4.215  -0.22   5.99   5.25   4.60   3.68   3.07   2.98   2.95   3.14
 1.200 4433.  4.197  -0.15   5.68   4.97   4.39   3.53   2.95   2.86   2.84   3.02
 1.300 4708.  4.145   0.04   5.00   4.37   3.88   3.14   2.63   2.57   2.55   2.72
 1.400 5064.  4.044   0.30   4.17   3.64   3.22   2.60   2.19   2.14   2.12   2.26
