  log t (yr) = 9.8
--------------------------------------------------------------------------------
 m      Teff     g    log L   Mv     Mr     Mi     Mj     Mh     Mk     Ml'     Mm
--------------------------------------------------------------------------------
 0.072 1722.  5.425  -4.24  24.07  20.70  17.75  13.06  12.36  12.25  10.82  11.32
 0.075 2001.  5.394  -3.93  21.91  19.25  16.45  12.28  11.56  11.40  10.29  10.81
 0.080 2313.  5.350  -3.61  19.53  17.54  14.98  11.49  10.82  10.57   9.76  10.21
 0.090 2641.  5.292  -3.27  17.09  15.56  13.40  10.74  10.10   9.81   9.22   9.54
 0.100 2813.  5.251  -3.07  15.86  14.50  12.57  10.31   9.69   9.39   8.89   9.14
 0.110 2921.  5.218  -2.93  15.10  13.83  12.04  10.00   9.39   9.10   8.64   8.85
 0.130 3055.  5.169  -2.73  14.16  13.00  11.37   9.55   8.95   8.66   8.26   8.43
 0.150 3151.  5.133  -2.58  13.51  12.40  10.89   9.20   8.62   8.33   7.96   8.11
 0.175 3236.  5.097  -2.43  12.92  11.87  10.44   8.86   8.28   8.00   7.66   7.79
 0.200 3292.  5.065  -2.31  12.50  11.48  10.10   8.58   8.00   7.73   7.40   7.53
 0.250 3377.  5.008  -2.11  11.85  10.87   9.55   8.11   7.54   7.27   6.97   7.10
 0.300 3436.  4.961  -1.96  11.37  10.41   9.14   7.73   7.17   6.91   6.63   6.75
 0.350 3475.  4.924  -1.83  11.00  10.06   8.81   7.44   6.87   6.61   6.35   6.47
 0.400 3522.  4.886  -1.71  10.64   9.72   8.49   7.15   6.58   6.34   6.08   6.21
 0.450 3583.  4.845  -1.59  10.26   9.35   8.17   6.86   6.29   6.06   5.82   5.95
 0.500 3650.  4.795  -1.46   9.86   8.97   7.82   6.56   5.98   5.76   5.55   5.69
 0.570 3808.  4.725  -1.26   9.17   8.33   7.28   6.11   5.49   5.31   5.17   5.32
 0.600 3898.  4.698  -1.17   8.85   8.03   7.04   5.90   5.28   5.12   5.00   5.17
 0.620 3966.  4.681  -1.11   8.62   7.81   6.87   5.77   5.14   4.99   4.90   5.07
 0.700 4250.  4.613  -0.87   7.70   6.94   6.21   5.26   4.64   4.54   4.51   4.69
 0.750 4475.  4.579  -0.72   7.09   6.37   5.80   4.96   4.39   4.31   4.29   4.46
 0.800 4672.  4.536  -0.57   6.57   5.92   5.42   4.66   4.14   4.08   4.06   4.22
 0.850 4869.  4.487  -0.42   6.08   5.49   5.04   4.36   3.89   3.84   3.83   3.97
 0.900 5075.  4.436  -0.28   5.62   5.09   4.67   4.05   3.64   3.59   3.58   3.70
 0.950 5265.  4.373  -0.12   5.17   4.69   4.30   3.74   3.37   3.32   3.32   3.43
 1.000 5429.  4.292   0.03   4.73   4.29   3.92   3.40   3.07   3.03   3.03   3.13
 1.050 5548.  4.200   0.18   4.33   3.91   3.56   3.07   2.75   2.72   2.72   2.82
 1.100 5490.  4.101   0.28   4.09   3.66   3.30   2.80   2.47   2.43   2.44   2.53
