  log t (yr) = 7.4
--------------------------------------------------------------------------------
 m      Teff     g    log L   Mv     Mr     Mi     Mj     Mh     Mk     Ml'     Mm
--------------------------------------------------------------------------------
 0.020 2219.  4.282  -3.21  18.99  17.08  14.43  10.51   9.86   9.43   8.64   9.08
 0.030 2465.  4.430  -3.00  17.13  15.59  13.25  10.03   9.41   9.02   8.37   8.71
 0.040 2658.  4.470  -2.79  15.68  14.31  12.24   9.55   8.95   8.58   8.02   8.28
 0.050 2781.  4.487  -2.63  14.79  13.50  11.59   9.20   8.60   8.24   7.74   7.95
 0.055 2826.  4.492  -2.56  14.46  13.20  11.34   9.05   8.46   8.11   7.62   7.82
 0.060 2864.  4.495  -2.50  14.19  12.94  11.13   8.92   8.33   7.98   7.51   7.70
 0.070 2942.  4.508  -2.40  13.67  12.46  10.75   8.70   8.11   7.77   7.33   7.50
 0.072 2958.  4.514  -2.39  13.57  12.38  10.69   8.67   8.07   7.74   7.31   7.47
 0.075 2983.  4.517  -2.36  13.41  12.23  10.57   8.60   8.01   7.68   7.25   7.41
 0.080 3013.  4.518  -2.31  13.21  12.04  10.42   8.50   7.91   7.59   7.17   7.32
 0.090 3054.  4.518  -2.24  12.91  11.77  10.19   8.33   7.74   7.42   7.02   7.16
 0.100 3091.  4.517  -2.17  12.65  11.53   9.98   8.17   7.58   7.27   6.88   7.02
 0.110 3122.  4.514  -2.11  12.43  11.32   9.80   8.03   7.44   7.13   6.75   6.89
 0.130 3175.  4.507  -2.00  12.04  10.96   9.48   7.77   7.18   6.88   6.52   6.66
 0.150 3220.  4.502  -1.91  11.72  10.67   9.22   7.55   6.96   6.67   6.33   6.46
 0.175 3258.  4.493  -1.81  11.41  10.38   8.95   7.32   6.73   6.44   6.12   6.25
 0.200 3295.  4.487  -1.73  11.14  10.12   8.71   7.12   6.53   6.25   5.94   6.07
 0.250 3354.  4.478  -1.59  10.70   9.71   8.34   6.80   6.20   5.93   5.64   5.78
 0.300 3404.  4.470  -1.48  10.34   9.37   8.03   6.53   5.93   5.67   5.40   5.53
 0.350 3441.  4.465  -1.39  10.06   9.11   7.78   6.31   5.71   5.46   5.20   5.34
 0.400 3479.  4.466  -1.31   9.81   8.88   7.57   6.13   5.53   5.28   5.04   5.18
 0.450 3518.  4.463  -1.24   9.58   8.65   7.37   5.96   5.35   5.12   4.89   5.03
 0.500 3558.  4.460  -1.17   9.35   8.44   7.18   5.80   5.18   4.96   4.74   4.89
 0.570 3622.  4.457  -1.08   9.04   8.15   6.93   5.59   4.96   4.75   4.56   4.72
 0.600 3651.  4.453  -1.04   8.91   8.03   6.82   5.49   4.87   4.66   4.48   4.64
 0.620 3671.  4.452  -1.02   8.82   7.95   6.75   5.44   4.81   4.61   4.44   4.60
 0.700 3768.  4.439  -0.91   8.43   7.58   6.45   5.19   4.53   4.36   4.23   4.41
 0.750 3836.  4.427  -0.83   8.16   7.34   6.25   5.02   4.36   4.20   4.10   4.28
 0.800 3914.  4.413  -0.76   7.87   7.07   6.04   4.85   4.18   4.04   3.96   4.15
 0.850 4023.  4.396  -0.66   7.48   6.69   5.77   4.66   3.99   3.87   3.82   4.01
 0.900 4165.  4.379  -0.56   7.03   6.27   5.47   4.46   3.82   3.71   3.67   3.86
 0.950 4337.  4.355  -0.44   6.53   5.79   5.14   4.23   3.63   3.54   3.51   3.70
 1.000 4539.  4.323  -0.31   6.01   5.32   4.78   3.97   3.42   3.34   3.32   3.50
 1.050 4774.  4.278  -0.16   5.46   4.85   4.38   3.66   3.17   3.11   3.10   3.26
 1.100 5087.  4.222   0.03   4.85   4.32   3.91   3.29   2.89   2.83   2.83   2.95
 1.150 5410.  4.151   0.23   4.25   3.80   3.43   2.91   2.57   2.53   2.53   2.63
 1.200 5770.  4.166   0.34   3.89   3.50   3.18   2.74   2.47   2.43   2.45   2.52
 1.300 5991.  4.294   0.31   3.93   3.58   3.28   2.89   2.65   2.62   2.63   2.70
 1.400 6350.  4.237   0.50   3.43   3.12   2.87   2.54   2.34   2.32   2.34   2.38
