  log t (yr) = 6.3
--------------------------------------------------------------------------------
 m      Teff     g    log L   Mv     Mr     Mi     Mj     Mh     Mk     Ml'     Mm
--------------------------------------------------------------------------------
 0.020 2519.  3.872  -2.58  15.84  14.40  12.16   9.00   8.40   7.99   7.38   7.65
 0.030 2705.  3.784  -2.19  14.04  12.71  10.74   8.10   7.50   7.11   6.59   6.79
 0.040 2794.  3.705  -1.93  13.07  11.78   9.92   7.47   6.87   6.50   6.01   6.19
 0.050 2845.  3.652  -1.75  12.47  11.21   9.40   7.03   6.43   6.06   5.60   5.78
 0.055 2865.  3.632  -1.68  12.23  10.98   9.19   6.85   6.24   5.88   5.43   5.61
 0.060 2887.  3.615  -1.61  12.00  10.76   8.99   6.69   6.08   5.72   5.28   5.45
 0.070 2922.  3.588  -1.50  11.63  10.40   8.66   6.41   5.80   5.45   5.02   5.19
 0.072 2928.  3.584  -1.48  11.56  10.34   8.61   6.36   5.75   5.40   4.98   5.15
 0.075 2936.  3.579  -1.45  11.48  10.26   8.53   6.29   5.68   5.33   4.91   5.08
 0.080 2950.  3.572  -1.41  11.34  10.13   8.41   6.19   5.57   5.23   4.82   4.99
 0.090 2974.  3.566  -1.33  11.11   9.91   8.21   6.02   5.40   5.06   4.66   4.83
 0.100 2998.  3.575  -1.28  10.92   9.73   8.05   5.89   5.27   4.94   4.55   4.72
 0.110 3014.  3.590  -1.25  10.80   9.62   7.95   5.81   5.18   4.86   4.47   4.64
 0.130 3045.  3.621  -1.19  10.59   9.42   7.76   5.67   5.04   4.72   4.35   4.52
 0.150 3080.  3.646  -1.13  10.37   9.22   7.59   5.54   4.90   4.59   4.23   4.40
 0.175 3122.  3.660  -1.05  10.11   8.98   7.36   5.35   4.71   4.41   4.08   4.25
 0.200 3162.  3.671  -0.99   9.88   8.77   7.17   5.19   4.53   4.24   3.93   4.11
 0.250 3245.  3.681  -0.85   9.44   8.37   6.79   4.88   4.19   3.93   3.67   3.86
 0.300 3313.  3.688  -0.75   9.10   8.06   6.50   4.63   3.91   3.68   3.45   3.65
 0.350 3369.  3.694  -0.66   8.81   7.80   6.24   4.41   3.68   3.46   3.27   3.47
 0.400 3416.  3.697  -0.58   8.55   7.57   6.03   4.22   3.48   3.28   3.10   3.32
 0.450 3460.  3.700  -0.51   8.32   7.36   5.83   4.06   3.31   3.12   2.96   3.18
 0.500 3497.  3.707  -0.45   8.12   7.18   5.66   3.92   3.17   2.98   2.85   3.07
 0.570 3552.  3.709  -0.37   7.82   6.92   5.42   3.72   2.97   2.80   2.68   2.92
 0.600 3574.  3.714  -0.34   7.72   6.83   5.34   3.66   2.91   2.74   2.63   2.86
 0.620 3588.  3.713  -0.32   7.64   6.76   5.28   3.61   2.86   2.69   2.59   2.82
 0.700 3645.  3.720  -0.24   7.35   6.51   5.05   3.43   2.69   2.54   2.45   2.69
 0.750 3679.  3.727  -0.20   7.19   6.37   4.93   3.34   2.60   2.46   2.37   2.62
 0.800 3711.  3.733  -0.17   7.03   6.23   4.82   3.26   2.52   2.38   2.31   2.55
 0.850 3745.  3.732  -0.12   6.86   6.08   4.69   3.16   2.43   2.29   2.23   2.48
 0.900 3780.  3.757  -0.11   6.74   5.97   4.62   3.13   2.40   2.27   2.21   2.46
 0.950 3807.  3.739  -0.05   6.56   5.81   4.47   2.99   2.28   2.15   2.10   2.35
 1.000 3842.  3.753  -0.03   6.43   5.69   4.38   2.95   2.24   2.11   2.06   2.32
 1.050 3873.  3.747   0.01   6.27   5.55   4.27   2.85   2.15   2.03   1.99   2.24
 1.100 3910.  3.753   0.04   6.08   5.37   4.15   2.80   2.10   1.99   1.94   2.20
 1.150 3998.  3.759   0.09   5.51   4.74   3.88   2.79   2.12   2.01   1.96   2.15
 1.200 4048.  3.770   0.12   5.36   4.60   3.79   2.74   2.09   1.98   1.93   2.12
 1.300 4136.  3.784   0.18   5.10   4.35   3.62   2.63   2.00   1.89   1.85   2.03
 1.400 4211.  3.790   0.24   4.85   4.12   3.45   2.51   1.90   1.80   1.76   1.94
