  log t (yr) = 9.3
--------------------------------------------------------------------------------
 m      Teff     g    log L   Mv     Mr     Mi     Mj     Mh     Mk     Ml'     Mm
--------------------------------------------------------------------------------
 0.070 1801.  5.386  -4.14  23.45  20.28  17.36  12.80  12.08  11.95  10.62  11.14
 0.072 1900.  5.386  -4.03  22.68  19.78  16.91  12.53  11.81  11.66  10.44  10.97
 0.075 2065.  5.376  -3.86  21.41  18.90  16.14  12.10  11.39  11.20  10.17  10.68
 0.080 2318.  5.347  -3.60  19.49  17.50  14.95  11.48  10.80  10.55   9.75  10.20
 0.090 2639.  5.292  -3.27  17.10  15.57  13.41  10.74  10.10   9.81   9.22   9.54
 0.100 2811.  5.251  -3.07  15.86  14.51  12.57  10.31   9.69   9.39   8.89   9.15
 0.110 2920.  5.219  -2.93  15.10  13.84  12.04  10.00   9.40   9.10   8.64   8.86
 0.130 3054.  5.170  -2.73  14.17  13.00  11.37   9.55   8.96   8.67   8.26   8.43
 0.150 3150.  5.134  -2.58  13.52  12.41  10.89   9.21   8.62   8.34   7.96   8.11
 0.175 3234.  5.099  -2.43  12.93  11.88  10.45   8.87   8.29   8.01   7.66   7.80
 0.200 3291.  5.070  -2.32  12.52  11.50  10.11   8.59   8.02   7.74   7.42   7.54
 0.250 3374.  5.023  -2.13  11.90  10.91   9.60   8.15   7.58   7.31   7.01   7.14
 0.300 3437.  4.985  -1.98  11.42  10.46   9.19   7.79   7.23   6.97   6.69   6.81
 0.350 3478.  4.948  -1.85  11.05  10.11   8.86   7.50   6.93   6.68   6.41   6.53
 0.400 3521.  4.896  -1.72  10.67   9.74   8.52   7.18   6.61   6.36   6.11   6.23
 0.450 3582.  4.855  -1.60  10.28   9.38   8.19   6.89   6.32   6.08   5.85   5.98
 0.500 3648.  4.805  -1.47   9.88   9.00   7.85   6.59   6.01   5.79   5.58   5.71
 0.570 3797.  4.736  -1.28   9.23   8.38   7.32   6.14   5.53   5.35   5.20   5.35
 0.600 3883.  4.710  -1.19   8.91   8.08   7.09   5.95   5.32   5.16   5.04   5.20
 0.620 3948.  4.694  -1.13   8.69   7.87   6.93   5.82   5.19   5.04   4.94   5.11
 0.700 4215.  4.630  -0.90   7.81   7.05   6.30   5.33   4.70   4.60   4.56   4.74
 0.750 4427.  4.602  -0.76   7.23   6.50   5.91   5.05   4.46   4.38   4.36   4.53
 0.800 4614.  4.568  -0.62   6.74   6.07   5.55   4.78   4.24   4.17   4.16   4.32
 0.850 4792.  4.529  -0.49   6.30   5.68   5.22   4.51   4.02   3.96   3.95   4.10
 0.900 4977.  4.494  -0.37   5.89   5.33   4.90   4.25   3.81   3.76   3.75   3.88
 0.950 5162.  4.457  -0.24   5.50   4.99   4.59   4.00   3.61   3.56   3.56   3.67
 1.000 5328.  4.416  -0.12   5.15   4.68   4.30   3.76   3.40   3.36   3.36   3.46
 1.050 5480.  4.371  -0.01   4.83   4.39   4.03   3.52   3.20   3.16   3.16   3.26
 1.100 5629.  4.325   0.10   4.51   4.10   3.76   3.29   2.99   2.96   2.97   3.05
 1.150 5777.  4.282   0.21   4.22   3.83   3.51   3.08   2.80   2.77   2.78   2.86
 1.200 5965.  4.236   0.33   3.90   3.54   3.24   2.84   2.59   2.57   2.58   2.64
 1.300 6177.  4.165   0.50   3.46   3.13   2.86   2.50   2.28   2.26   2.28   2.33
 1.400 6311.  4.072   0.66   3.05   2.74   2.48   2.14   1.94   1.92   1.94   1.98
