      22000.0     0.105762
      16500.0     0.177922
      12500.0     0.289079
      5500.00     0.999006
      4400.00      1.29228
      3700.00      1.53433
      3053.44      1.81160
      3007.52      1.83432
      2962.96      1.85696
      2919.71      1.87955
      2877.70      1.90216
      2836.88      1.92483
      2797.20      1.94762
      2758.62      1.97060
      2721.09      1.99384
      2684.56      2.01741
      2649.01      2.04138
      2614.38      2.06583
      2580.65      2.09082
      2547.77      2.11643
      2515.72      2.14271
      2484.47      2.16967
      2453.99      2.19730
      2424.24      2.22556
      2395.21      2.25431
      2366.86      2.28335
      2339.18      2.31236
      2312.14      2.34095
      2285.71      2.36861
      2259.89      2.39475
      2234.64      2.41876
      2209.94      2.44007
      2185.79      2.45819
      2162.16      2.47282
      2139.04      2.48386
      2116.40      2.49143
      2094.24      2.49587
      2072.54      2.49764
      2051.28      2.49731
      2030.46      2.49545
      2010.05      2.49260
      1990.05      2.48924
      1970.44      2.48575
      1951.22      2.48245
      1932.37      2.47954
      1913.88      2.47718
      1895.73      2.47546
      1877.93      2.47446
      1860.47      2.47418
      1843.32      2.47462
      1826.48      2.47578
      1809.95      2.47764
      1793.72      2.48016
      1777.78      2.48333
      1762.11      2.48710
      1746.72      2.49146
      1731.60      2.49639
      1716.74      2.50186
      1702.13      2.50785
      1687.76      2.51436
      1673.64      2.52137
      1659.75      2.52887
      1646.09      2.53686
      1632.65      2.54535
      1619.43      2.55432
      1606.43      2.56379
      1593.63      2.57376
      1581.03      2.58424
      1568.63      2.59524
      1556.42      2.60677
      1544.40      2.61885
      1532.57      2.63148
      1520.91      2.64470
      1509.43      2.65851
      1498.13      2.67293
      1486.99      2.68799
      1476.01      2.70370
      1465.20      2.72008
      1454.55      2.73715
      1444.04      2.75494
      1433.69      2.77347
      1423.49      2.79275
      1413.43      2.81281
      1403.51      2.83367
      1393.73      2.85534
      1384.08      2.87785
      1374.57      2.90121
      1365.19      2.92544
      1355.93      2.95055
      1346.80      2.97656
      1337.79      3.00347
      1328.90      3.03131
      1320.13      3.06006
      1311.48      3.08975
      1302.93      3.12036
      1294.50      3.15191
      1286.17      3.18438
      1277.96      3.21777
      1269.84      3.25207
      1261.83      3.28727
      1253.92      3.32335

