# t m teff logg logL Lum 
0.0250 0.015 2181. 4.11 -3.20 0.00063095734448019 
0.0250 0.020 2306. 4.26 -3.12 0.00075857757502918 
0.0250 0.030 2500. 4.41 -2.95 0.001122018454302 
0.0250 0.040 2655. 4.45 -2.76 0.0017378008287494 
0.0250 0.050 2792. 4.47 -2.60 0.0025118864315096 
0.0250 0.060 2874. 4.48 -2.48 0.0033113112148259 
0.0250 0.070 2935. 4.48 -2.38 0.0041686938347034 
0.0250 0.072 2946. 4.48 -2.36 0.0043651583224017 
0.0250 0.075 2961. 4.49 -2.34 0.0045708818961488 
0.0250 0.080 2985. 4.48 -2.30 0.0050118723362727 
0.0250 0.090 3026. 4.48 -2.22 0.0060255958607436 
0.0250 0.100 3061. 4.49 -2.16 0.0069183097091894 
0.0250 0.200 3276. 4.48 -1.73 0.018620871366629 
0.0250 0.300 3410. 4.47 -1.48 0.033113112148259 
0.0250 0.400 3507. 4.48 -1.31 0.048977881936845 
0.0250 0.500 3604. 4.49 -1.18 0.06606934480076 
0.0250 0.600 3731. 4.49 -1.04 0.091201083935591 
0.0250 0.700 3916. 4.48 -0.88 0.13182567385564 
0.0250 0.800 4186. 4.47 -0.69 0.20417379446695 
0.0250 0.900 4601. 4.44 -0.45 0.35481338923358 
0.0250 1.000 5147. 4.38 -0.15 0.70794578438414 
0.0250 1.100 5796. 4.30 0.18 1.5135612484362 
0.0250 1.200 6102. 4.38 0.22 1.6595869074376 
0.0250 1.300 6271. 4.33 0.35 2.2387211385683 
0.0250 1.400 6622. 4.27 0.55 3.5481338923358 
