# t m teff logg logL Lum 
0.0400 0.015 1996. 4.21 -3.45 0.00035481338923358 
0.0400 0.020 2005. 4.41 -3.52 0.0003019951720402 
0.0400 0.030 2366. 4.54 -3.18 0.0006606934480076 
0.0400 0.040 2581. 4.59 -2.95 0.001122018454302 
0.0400 0.050 2699. 4.61 -2.80 0.0015848931924611 
0.0400 0.060 2830. 4.62 -2.65 0.0022387211385683 
0.0400 0.070 2904. 4.63 -2.55 0.0028183829312645 
0.0400 0.072 2916. 4.63 -2.53 0.0029512092266664 
0.0400 0.075 2933. 4.63 -2.50 0.0031622776601684 
0.0400 0.080 2961. 4.63 -2.45 0.0035481338923358 
0.0400 0.090 3007. 4.63 -2.38 0.0041686938347034 
0.0400 0.100 3046. 4.63 -2.31 0.0048977881936845 
0.0400 0.200 3280. 4.62 -1.87 0.013489628825917 
0.0400 0.300 3410. 4.61 -1.62 0.023988329190195 
0.0400 0.400 3509. 4.61 -1.44 0.03630780547701 
0.0400 0.500 3606. 4.60 -1.29 0.051286138399136 
0.0400 0.600 3771. 4.59 -1.12 0.075857757502918 
0.0400 0.700 4084. 4.56 -0.88 0.13182567385564 
0.0400 0.800 4645. 4.52 -0.57 0.26915348039269 
0.0400 0.900 5301. 4.48 -0.25 0.56234132519035 
0.0400 1.000 5570. 4.52 -0.15 0.70794578438414 
0.0400 1.100 5822. 4.47 0.02 1.0471285480509 
0.0400 1.200 6090. 4.39 0.21 1.6218100973589 
0.0400 1.300 6413. 4.33 0.40 2.5118864315096 
0.0400 1.400 6757. 4.29 0.56 3.630780547701 
