# t m teff logg logL Lum 
0.0500 0.015 1760. 4.28 -3.74 0.000181970085861 
0.0500 0.020 1838. 4.46 -3.72 0.00019054607179632 
0.0500 0.030 2304. 4.59 -3.28 0.00052480746024977 
0.0500 0.040 2525. 4.65 -3.05 0.00089125093813375 
0.0500 0.050 2671. 4.67 -2.88 0.0013182567385564 
0.0500 0.060 2804. 4.69 -2.73 0.0018620871366629 
0.0500 0.070 2882. 4.69 -2.63 0.0023442288153199 
0.0500 0.072 2896. 4.70 -2.61 0.002454708915685 
0.0500 0.075 2916. 4.69 -2.57 0.0026915348039269 
0.0500 0.080 2945. 4.70 -2.53 0.0029512092266664 
0.0500 0.090 2996. 4.69 -2.45 0.0035481338923358 
0.0500 0.100 3037. 4.70 -2.38 0.0041686938347034 
0.0500 0.200 3280. 4.69 -1.94 0.011481536214969 
0.0500 0.300 3407. 4.68 -1.69 0.020417379446695 
0.0500 0.400 3512. 4.67 -1.50 0.031622776601684 
0.0500 0.500 3617. 4.65 -1.34 0.045708818961487 
0.0500 0.600 3821. 4.62 -1.13 0.074131024130092 
0.0500 0.700 4270. 4.58 -0.83 0.14791083881682 
0.0500 0.800 4938. 4.55 -0.49 0.32359365692963 
0.0500 0.900 5236. 4.58 -0.36 0.43651583224017 
0.0500 1.000 5536. 4.53 -0.17 0.67608297539198 
0.0500 1.100 5833. 4.46 0.03 1.0715193052376 
0.0500 1.200 6133. 4.39 0.23 1.6982436524617 
0.0500 1.300 6435. 4.33 0.40 2.5118864315096 
0.0500 1.400 6759. 4.29 0.56 3.630780547701 
