# t m teff logg logL Lum 
0.0080 0.010 1714. 4.02 -3.70 0.00019952623149689 
0.0080 0.015 2280. 4.04 -3.05 0.00089125093813375 
0.0080 0.020 2525. 3.94 -2.65 0.0022387211385683 
0.0080 0.030 2699. 3.87 -2.29 0.0051286138399136 
0.0080 0.040 2784. 3.99 -2.22 0.0060255958607436 
0.0080 0.050 2849. 4.03 -2.13 0.0074131024130092 
0.0080 0.060 2903. 4.06 -2.05 0.0089125093813375 
0.0080 0.070 2948. 4.08 -1.97 0.010715193052376 
0.0080 0.072 2956. 4.08 -1.96 0.010964781961432 
0.0080 0.075 2968. 4.08 -1.93 0.011748975549395 
0.0080 0.080 2986. 4.08 -1.89 0.012882495516931 
0.0080 0.090 3017. 4.09 -1.83 0.014791083881682 
0.0080 0.100 3045. 4.12 -1.80 0.015848931924611 
0.0080 0.200 3234. 4.12 -1.40 0.03981071705535 
0.0080 0.300 3364. 4.14 -1.17 0.067608297539198 
0.0080 0.400 3518. 4.16 -0.99 0.10232929922808 
0.0080 0.500 3669. 4.18 -0.84 0.14454397707459 
0.0080 0.600 3798. 4.20 -0.72 0.19054607179632 
0.0080 0.700 3923. 4.22 -0.61 0.2454708915685 
0.0080 0.800 4049. 4.23 -0.51 0.30902954325136 
0.0080 0.900 4184. 4.23 -0.41 0.38904514499428 
0.0080 1.000 4327. 4.23 -0.30 0.50118723362727 
0.0080 1.100 4481. 4.23 -0.20 0.63095734448019 
0.0080 1.200 4647. 4.22 -0.09 0.8128305161641 
0.0080 1.300 4837. 4.20 0.04 1.0964781961432 
0.0080 1.400 5064. 4.17 0.18 1.5135612484362 
