# t m teff logg logL Lum 
0.0005 0.010 2387. 3.37 -2.47 0.003388441561392 
0.0005 0.015 2514. 3.37 -2.21 0.0061659500186148 
0.0005 0.020 2594. 3.39 -2.05 0.0089125093813375 
0.0005 0.030 2668. 3.35 -1.79 0.016218100973589 
0.0005 0.040 2733. 3.39 -1.66 0.021877616239496 
0.0005 0.050 2762. 3.33 -1.48 0.033113112148259 
0.0005 0.060 2808. 3.36 -1.40 0.03981071705535 
0.0005 0.070 2835. 3.37 -1.33 0.04677351412872 
0.0005 0.072 2832. 3.34 -1.29 0.051286138399136 
0.0005 0.075 2836. 3.34 -1.27 0.053703179637025 
0.0005 0.080 2837. 3.30 -1.20 0.063095734448019 
0.0005 0.090 2864. 3.30 -1.13 0.074131024130092 
0.0005 0.100 2925. 3.40 -1.15 0.070794578438414 
0.0005 0.200 3220. 3.26 -0.54 0.28840315031266 
0.0005 0.300 3460. 3.22 -0.20 0.63095734448019 
0.0005 0.400 3670. 3.30 -0.05 0.89125093813375 
0.0005 0.500 3848. 3.35 0.07 1.1748975549395 
0.0005 0.600 3987. 3.40 0.16 1.4454397707459 
0.0005 0.700 4110. 3.43 0.26 1.81970085861 
0.0005 0.800 4221. 3.44 0.35 2.2387211385683 
0.0005 0.900 4315. 3.45 0.43 2.6915348039269 
0.0005 1.000 4397. 3.45 0.50 3.1622776601684 
0.0005 1.100 4471. 3.46 0.57 3.7153522909717 
0.0005 1.200 4537. 3.46 0.63 4.2657951880159 
0.0005 1.300 4596. 3.46 0.68 4.7863009232264 
0.0005 1.400 4647. 3.46 0.74 5.4954087385762 
