# t m teff logg logL Lum 
0.0150 0.015 2237. 4.07 -3.11 0.00077624711662869 
0.0150 0.020 2495. 4.01 -2.74 0.00181970085861 
0.0150 0.030 2614. 4.22 -2.69 0.0020417379446695 
0.0150 0.040 2721. 4.27 -2.55 0.0028183829312645 
0.0150 0.050 2827. 4.30 -2.41 0.0038904514499428 
0.0150 0.060 2892. 4.31 -2.30 0.0050118723362727 
0.0150 0.070 2943. 4.31 -2.21 0.0061659500186148 
0.0150 0.072 2952. 4.31 -2.19 0.0064565422903466 
0.0150 0.075 2965. 4.32 -2.17 0.0067608297539198 
0.0150 0.080 2986. 4.31 -2.13 0.0074131024130092 
0.0150 0.090 3023. 4.32 -2.06 0.0087096358995608 
0.0150 0.100 3056. 4.33 -2.01 0.0097723722095581 
0.0150 0.200 3252. 4.32 -1.59 0.025703957827689 
0.0150 0.300 3374. 4.32 -1.34 0.045708818961487 
0.0150 0.400 3498. 4.33 -1.17 0.067608297539198 
0.0150 0.500 3621. 4.35 -1.03 0.093325430079699 
0.0150 0.600 3748. 4.37 -0.91 0.12302687708124 
0.0150 0.700 3891. 4.37 -0.78 0.16595869074376 
0.0150 0.800 4054. 4.37 -0.65 0.22387211385683 
0.0150 0.900 4263. 4.37 -0.51 0.30902954325136 
0.0150 1.000 4530. 4.35 -0.35 0.44668359215096 
0.0150 1.100 4850. 4.32 -0.15 0.70794578438414 
0.0150 1.200 5264. 4.26 0.09 1.2302687708124 
0.0150 1.300 5754. 4.14 0.40 2.5118864315096 
0.0150 1.400 6422. 4.06 0.70 5.0118723362727 
