# t m teff logg logL Lum 
0.0100 0.010 1570. 4.04 -3.87 0.00013489628825917 
0.0100 0.015 2261. 4.05 -3.08 0.00083176377110267 
0.0100 0.020 2519. 3.96 -2.67 0.0021379620895022 
0.0100 0.030 2682. 4.01 -2.43 0.0037153522909717 
0.0100 0.040 2768. 4.10 -2.35 0.0044668359215096 
0.0100 0.050 2843. 4.13 -2.23 0.0058884365535559 
0.0100 0.060 2900. 4.16 -2.15 0.0070794578438414 
0.0100 0.070 2946. 4.17 -2.06 0.0087096358995608 
0.0100 0.072 2954. 4.17 -2.04 0.0091201083935591 
0.0100 0.075 2967. 4.17 -2.02 0.0095499258602144 
0.0100 0.080 2987. 4.17 -1.98 0.010471285480509 
0.0100 0.090 3021. 4.17 -1.91 0.012302687708124 
0.0100 0.100 3050. 4.19 -1.87 0.013489628825917 
0.0100 0.200 3240. 4.19 -1.47 0.03388441561392 
0.0100 0.300 3363. 4.20 -1.23 0.058884365535559 
0.0100 0.400 3508. 4.22 -1.05 0.089125093813375 
0.0100 0.500 3651. 4.24 -0.91 0.12302687708124 
0.0100 0.600 3781. 4.26 -0.79 0.16218100973589 
0.0100 0.700 3908. 4.27 -0.67 0.21379620895022 
0.0100 0.800 4041. 4.28 -0.57 0.26915348039269 
0.0100 0.900 4191. 4.29 -0.46 0.34673685045253 
0.0100 1.000 4363. 4.28 -0.34 0.45708818961488 
0.0100 1.100 4553. 4.27 -0.21 0.61659500186148 
0.0100 1.200 4768. 4.25 -0.07 0.85113803820238 
0.0100 1.300 5038. 4.22 0.09 1.2302687708124 
0.0100 1.400 5363. 4.16 0.29 1.949844599758 
