# t m teff logg logL Lum 
0.0050 0.010 1961. 3.94 -3.39 0.00040738027780411 
0.0050 0.015 2330. 3.99 -2.96 0.0010964781961432 
0.0050 0.020 2531. 3.92 -2.62 0.0023988329190195 
0.0050 0.030 2705. 3.79 -2.20 0.0063095734448019 
0.0050 0.040 2785. 3.75 -1.98 0.010471285480509 
0.0050 0.050 2841. 3.75 -1.85 0.014125375446228 
0.0050 0.060 2890. 3.82 -1.81 0.015488166189125 
0.0050 0.070 2928. 3.86 -1.76 0.017378008287494 
0.0050 0.072 2934. 3.86 -1.75 0.017782794100389 
0.0050 0.075 2944. 3.87 -1.73 0.018620871366629 
0.0050 0.080 2959. 3.87 -1.69 0.020417379446695 
0.0050 0.090 2992. 3.88 -1.64 0.022908676527678 
0.0050 0.100 3027. 3.94 -1.63 0.023442288153199 
0.0050 0.200 3220. 3.97 -1.26 0.054954087385762 
0.0050 0.300 3379. 4.00 -1.02 0.095499258602144 
0.0050 0.400 3546. 4.03 -0.84 0.14454397707459 
0.0050 0.500 3696. 4.05 -0.70 0.19952623149689 
0.0050 0.600 3830. 4.07 -0.57 0.26915348039269 
0.0050 0.700 3960. 4.09 -0.47 0.3388441561392 
0.0050 0.800 4081. 4.10 -0.37 0.42657951880159 
0.0050 0.900 4198. 4.11 -0.28 0.52480746024977 
0.0050 1.000 4310. 4.12 -0.20 0.63095734448019 
0.0050 1.100 4422. 4.12 -0.12 0.75857757502918 
0.0050 1.200 4531. 4.12 -0.03 0.93325430079699 
0.0050 1.300 4644. 4.11 0.05 1.122018454302 
0.0050 1.400 4771. 4.11 0.14 1.3803842646029 
