# t m teff logg logL Lum 
0.0200 0.015 2209. 4.09 -3.15 0.00070794578438414 
0.0200 0.020 2411. 4.14 -2.92 0.0012022644346174 
0.0200 0.030 2555. 4.33 -2.84 0.0014454397707459 
0.0200 0.040 2681. 4.38 -2.68 0.002089296130854 
0.0200 0.050 2811. 4.40 -2.52 0.003019951720402 
0.0200 0.060 2883. 4.41 -2.41 0.0038904514499428 
0.0200 0.070 2940. 4.41 -2.31 0.0048977881936845 
0.0200 0.072 2950. 4.41 -2.29 0.0051286138399136 
0.0200 0.075 2964. 4.41 -2.27 0.0053703179637025 
0.0200 0.080 2986. 4.41 -2.22 0.0060255958607436 
0.0200 0.090 3025. 4.41 -2.15 0.0070794578438414 
0.0200 0.100 3059. 4.42 -2.10 0.0079432823472428 
0.0200 0.200 3263. 4.41 -1.67 0.021379620895022 
0.0200 0.300 3392. 4.40 -1.42 0.038018939632056 
0.0200 0.400 3500. 4.42 -1.25 0.056234132519035 
0.0200 0.500 3609. 4.43 -1.11 0.077624711662869 
0.0200 0.600 3733. 4.43 -0.98 0.10471285480509 
0.0200 0.700 3894. 4.44 -0.85 0.14125375446228 
0.0200 0.800 4102. 4.43 -0.69 0.20417379446695 
0.0200 0.900 4406. 4.42 -0.50 0.31622776601684 
0.0200 1.000 4793. 4.38 -0.28 0.52480746024977 
0.0200 1.100 5302. 4.32 0.01 1.0232929922808 
0.0200 1.200 5911. 4.20 0.35 2.2387211385683 
0.0200 1.300 6330. 4.29 0.41 2.5703957827689 
0.0200 1.400 6475. 4.28 0.50 3.1622776601684 
