# t m teff logg logL Lum 
0.0300 0.015 2139. 4.14 -3.26 0.00054954087385762 
0.0300 0.020 2184. 4.33 -3.29 0.00051286138399136 
0.0300 0.030 2448. 4.46 -3.05 0.00089125093813375 
0.0300 0.040 2632. 4.50 -2.83 0.0014791083881682 
0.0300 0.050 2755. 4.53 -2.68 0.002089296130854 
0.0300 0.060 2860. 4.53 -2.55 0.0028183829312645 
0.0300 0.070 2925. 4.54 -2.45 0.0035481338923358 
0.0300 0.072 2936. 4.54 -2.43 0.0037153522909717 
0.0300 0.075 2952. 4.54 -2.40 0.003981071705535 
0.0300 0.080 2977. 4.54 -2.36 0.0043651583224017 
0.0300 0.090 3020. 4.54 -2.28 0.0052480746024977 
0.0300 0.100 3056. 4.55 -2.22 0.0060255958607436 
0.0300 0.200 3279. 4.53 -1.78 0.016595869074376 
0.0300 0.300 3413. 4.53 -1.54 0.028840315031266 
0.0300 0.400 3508. 4.53 -1.36 0.043651583224017 
0.0300 0.500 3602. 4.54 -1.23 0.058884365535559 
0.0300 0.600 3739. 4.53 -1.08 0.083176377110267 
0.0300 0.700 3960. 4.52 -0.90 0.12589254117942 
0.0300 0.800 4320. 4.49 -0.66 0.21877616239496 
0.0300 0.900 4848. 4.45 -0.37 0.42657951880159 
0.0300 1.000 5520. 4.39 -0.03 0.93325430079699 
0.0300 1.100 5897. 4.43 0.07 1.1748975549395 
0.0300 1.200 6052. 4.40 0.19 1.5488166189125 
0.0300 1.300 6335. 4.33 0.38 2.3988329190195 
0.0300 1.400 6743. 4.28 0.56 3.630780547701 
