# t m teff logg logL Lum 
0.0030 0.010 2142. 3.84 -3.13 0.00074131024130092 
0.0030 0.015 2406. 3.88 -2.79 0.0016218100973589 
0.0030 0.020 2545. 3.88 -2.57 0.0026915348039269 
0.0030 0.030 2706. 3.76 -2.17 0.0067608297539198 
0.0030 0.040 2784. 3.69 -1.92 0.012022644346174 
0.0030 0.050 2831. 3.64 -1.74 0.0181970085861 
0.0030 0.060 2870. 3.60 -1.61 0.02454708915685 
0.0030 0.070 2906. 3.59 -1.51 0.030902954325136 
0.0030 0.072 2911. 3.59 -1.49 0.032359365692963 
0.0030 0.075 2919. 3.58 -1.46 0.034673685045253 
0.0030 0.080 2931. 3.57 -1.42 0.038018939632056 
0.0030 0.090 2956. 3.59 -1.36 0.043651583224017 
0.0030 0.100 2998. 3.73 -1.44 0.03630780547701 
0.0030 0.200 3196. 3.81 -1.10 0.079432823472428 
0.0030 0.300 3404. 3.85 -0.86 0.13803842646029 
0.0030 0.400 3582. 3.88 -0.68 0.2089296130854 
0.0030 0.500 3731. 3.91 -0.54 0.28840315031266 
0.0030 0.600 3868. 3.93 -0.42 0.38018939632056 
0.0030 0.700 3998. 3.95 -0.31 0.48977881936845 
0.0030 0.800 4120. 3.96 -0.21 0.61659500186148 
0.0030 0.900 4232. 3.97 -0.13 0.74131024130092 
0.0030 1.000 4330. 3.98 -0.05 0.89125093813375 
0.0030 1.100 4421. 3.99 0.02 1.0471285480509 
0.0030 1.200 4505. 3.99 0.09 1.2302687708124 
0.0030 1.300 4588. 3.99 0.15 1.4125375446228 
0.0030 1.400 4671. 3.99 0.22 1.6595869074376 
