# t m teff logg logL Lum 
0.0010 0.010 2345. 3.57 -2.70 0.0019952623149689 
0.0010 0.015 2504. 3.58 -2.42 0.0038018939632056 
0.0010 0.020 2598. 3.59 -2.25 0.0056234132519035 
0.0010 0.030 2710. 3.57 -1.98 0.010471285480509 
0.0010 0.040 2779. 3.57 -1.81 0.015488166189125 
0.0010 0.050 2824. 3.53 -1.65 0.022387211385683 
0.0010 0.060 2864. 3.52 -1.53 0.029512092266664 
0.0010 0.070 2897. 3.49 -1.41 0.038904514499428 
0.0010 0.072 2896. 3.48 -1.39 0.040738027780411 
0.0010 0.075 2897. 3.47 -1.36 0.043651583224017 
0.0010 0.080 2898. 3.45 -1.31 0.048977881936845 
0.0010 0.090 2908. 3.42 -1.23 0.058884365535559 
0.0010 0.100 2936. 3.43 -1.17 0.067608297539198 
0.0010 0.200 3226. 3.38 -0.66 0.21877616239496 
0.0010 0.300 3428. 3.48 -0.48 0.33113112148259 
0.0010 0.400 3634. 3.54 -0.32 0.47863009232264 
0.0010 0.500 3802. 3.59 -0.18 0.6606934480076 
0.0010 0.600 3955. 3.62 -0.07 0.85113803820238 
0.0010 0.700 4078. 3.63 0.04 1.0964781961432 
0.0010 0.800 4192. 3.65 0.13 1.3489628825917 
0.0010 0.900 4290. 3.66 0.21 1.6218100973589 
0.0010 1.000 4377. 3.66 0.28 1.9054607179632 
0.0010 1.100 4456. 3.67 0.35 2.2387211385683 
0.0010 1.200 4529. 3.68 0.41 2.5703957827689 
0.0010 1.300 4596. 3.68 0.47 2.9512092266664 
0.0010 1.400 4658. 3.68 0.52 3.3113112148259 
