# t m teff logg logL Lum 
10.0000 0.070 1626. 5.37 -4.30 5.0118723362727E-5 
10.0000 0.072 1790. 5.37 -4.12 7.5857757502918E-5 
10.0000 0.075 2037. 5.38 -3.89 0.00012882495516931 
10.0000 0.080 2345. 5.34 -3.58 0.00026302679918954 
10.0000 0.090 2646. 5.28 -3.25 0.00056234132519035 
10.0000 0.100 2812. 5.24 -3.06 0.00087096358995608 
10.0000 0.200 3265. 5.05 -2.31 0.0048977881936845 
10.0000 0.300 3416. 4.94 -1.95 0.01122018454302 
10.0000 0.400 3524. 4.87 -1.70 0.019952623149689 
10.0000 0.500 3689. 4.78 -1.43 0.037153522909717 
10.0000 0.600 4013. 4.70 -1.12 0.075857757502918 
10.0000 0.700 4493. 4.63 -0.79 0.16218100973589 
10.0000 0.800 5002. 4.55 -0.47 0.3388441561392 
10.0000 0.900 5495. 4.42 -0.12 0.75857757502918 
