# t m teff logg logL Lum 
0.0040 0.010 2053. 3.90 -3.27 0.00053703179637025 
0.0040 0.015 2362. 3.94 -2.89 0.0012882495516931 
0.0040 0.020 2535. 3.91 -2.61 0.002454708915685 
0.0040 0.030 2705. 3.78 -2.19 0.0064565422903466 
0.0040 0.040 2785. 3.71 -1.95 0.01122018454302 
0.0040 0.050 2834. 3.67 -1.78 0.016595869074376 
0.0040 0.060 2875. 3.68 -1.68 0.02089296130854 
0.0040 0.070 2914. 3.73 -1.64 0.022908676527678 
0.0040 0.072 2921. 3.73 -1.63 0.023442288153199 
0.0040 0.075 2931. 3.74 -1.61 0.02454708915685 
0.0040 0.080 2946. 3.74 -1.58 0.026302679918954 
0.0040 0.090 2976. 3.76 -1.53 0.029512092266664 
0.0040 0.100 3013. 3.85 -1.55 0.028183829312645 
0.0040 0.200 3206. 3.90 -1.19 0.064565422903466 
0.0040 0.300 3389. 3.93 -0.95 0.1122018454302 
0.0040 0.400 3560. 3.97 -0.78 0.16595869074376 
0.0040 0.500 3704. 3.99 -0.63 0.23442288153199 
0.0040 0.600 3842. 4.01 -0.51 0.30902954325136 
0.0040 0.700 3976. 4.03 -0.40 0.3981071705535 
0.0040 0.800 4096. 4.04 -0.30 0.50118723362727 
0.0040 0.900 4212. 4.05 -0.22 0.60255958607436 
0.0040 1.000 4315. 4.06 -0.14 0.72443596007499 
0.0040 1.100 4417. 4.06 -0.06 0.87096358995608 
0.0040 1.200 4513. 4.06 0.02 1.0471285480509 
0.0040 1.300 4609. 4.06 0.09 1.2302687708124 
0.0040 1.400 4710. 4.06 0.16 1.4454397707459 
