# col1          col2       
  48.95959854   1.0E-8     
  49.01959991   1.0E-8     
  49.07979965   1.0E-8     
  49.13999939   1.0E-8     
  49.20050049   1.0E-8     
  49.26110077   2.0E-8     
  49.32180023   2.0E-8     
  49.38270187   2.0E-8     
  49.44380188   3.0E-8     
  49.50500107   3.0E-8     
  49.56629944   2.0E-8     
  49.62779999   3.0E-8     
  49.68939972   2.0E-8     
  49.75120163   2.0E-8     
  49.8132019    3.0E-8     
  49.87530136   4.0E-8     
  49.93759918   6.0E-8     
  50.0          1.0E-7     
  50.06259918   1.4E-7     
  50.12530136   1.9E-7     
  50.1882019    2.5E-7     
  50.25130081   2.8E-7     
  50.3144989    2.8E-7     
  50.37779999   3.0E-7     
  50.44139862   2.9E-7     
  50.50510025   2.7E-7     
  50.56890106   2.6E-7     
  50.63290024   1.8E-7     
  50.69710159   1.2E-7     
  50.76139832   3.1E-7     
  50.82590103   6.0E-7     
  50.8905983    8.8E-7     
  50.95539856   1.29E-6    
  51.020401     1.53E-6    
  51.08560181   1.53E-6    
  51.15090179   1.66E-6    
  51.21640015   1.76E-6    
  51.28210068   1.54E-6    
  51.34790039   1.54E-6    
  51.41389847   1.65E-6    
  51.48009872   1.46E-6    
  51.54639816   1.78E-6    
  51.61289978   2.56E-6    
  51.67959976   2.81E-6    
  51.74639893   3.13E-6    
  51.81349945   3.74E-6    
  51.88069916   3.55E-6    
  51.94810104   3.43E-6    
  52.0155983    4.21E-6    
  52.08330154   4.59E-6    
  52.15119934   5.0E-6     
  52.21929932   6.2E-6     
  52.28760147   6.62E-6    
  52.35599899   6.74E-6    
  52.42459869   7.79E-6    
  52.49340057   7.55E-6    
  52.56240082   5.93E-6    
  52.63159943   5.4E-6     
  52.70090103   4.94E-6    
  52.770401     4.17E-6    
  52.84019852   5.14E-6    
  52.91009903   5.69E-6    
  52.98009872   4.13E-6    
  53.05039978   3.42E-6    
  53.12080002   3.4E-6     
  53.19150162   2.51E-6    
  53.26229858   2.74E-6    
  53.33330154   3.72E-6    
  53.40449905   3.71E-6    
  53.47589874   3.89E-6    
  53.54750061   4.67E-6    
  53.61930084   3.99E-6    
  53.69130325   2.9E-6     
  53.76339722   3.07E-6    
  53.83580017   3.25E-6    
  53.90840149   3.26E-6    
  53.98110199   4.14E-6    
  54.05410004   4.69E-6    
  54.12720108   4.42E-6    
  54.20050049   4.8E-6     
  54.27409744   4.89E-6    
  54.34780121   3.69E-6    
  54.42179871   3.34E-6    
  54.4958992    3.82E-6    
  54.57030487   4.01E-6    
  54.64479828   6.6E-6     
  54.71960449   1.071E-5   
  54.79449463   1.193E-5   
  54.86970139   1.237E-5   
  54.94510269   1.311E-5   
  55.02060318   1.035E-5   
  55.09640503   8.09E-6    
  55.17240143   1.04E-5    
  55.24860001   1.282E-5   
  55.32499695   1.86E-5    
  55.40169525   3.165E-5   
  55.47850418   4.181E-5   
  55.5555954    4.89E-5    
  55.63280106   5.955E-5   
  55.71029663   5.866E-5   
  55.7879982    4.129E-5   
  55.86590195   2.643E-5   
  55.94410324   1.292E-5   
  56.0223999    8.3E-7     
  56.10100555   8.09E-6    
  56.17979431   3.313E-5   
  56.25880432   5.243E-5   
  56.33800507   7.518E-5   
  56.41749573   9.727E-5   
  56.49720383   9.498E-5   
  56.57710266   8.96E-5    
  56.65719604   8.652E-5   
  56.73759842   5.859E-5   
  56.81820297   3.56E-5    
  56.89899445   3.91E-5    
  56.98009491   2.942E-5   
  57.06129837   1.289E-5   
  57.14289856   2.035E-5   
  57.22460175   2.769E-5   
  57.30659866   3.167E-5   
  57.38880157   5.006E-5   
  57.4712944    5.148E-5   
  57.55400467   3.739E-5   
  57.63690186   5.15E-5    
  57.72010422   6.644E-5   
  57.80350113   5.626E-5   
  57.88709641   6.256E-5   
  57.97100067   8.77E-5    
  58.05519867   1.2209E-4  
  58.13949966   1.9412E-4  
  58.22419739   2.7256E-4  
  58.30899811   2.9714E-4  
  58.39420319   2.9164E-4  
  58.47949982   2.89E-4    
  58.56520462   2.7978E-4  
  58.65100098   2.7034E-4  
  58.73720169   2.5326E-4  
  58.82350159   2.1611E-4  
  58.9101944    1.9521E-4  
  58.99710083   2.0067E-4  
  59.08420563   1.9513E-4  
  59.17160416   1.7182E-4  
  59.25930405   1.52E-4    
  59.34719849   1.5605E-4  
  59.4353981    1.8727E-4  
  59.5237999    2.1582E-4  
  59.61249924   2.1023E-4  
  59.70149612   1.9125E-4  
  59.79069901   1.8947E-4  
  59.88019943   2.0589E-4  
  59.97000504   2.1997E-4  
  60.06010056   1.9996E-4  
  60.15039825   1.7051E-4  
  60.24099731   1.912E-4   
  60.33180237   2.2073E-4  
  60.42300034   2.1079E-4  
  60.51440048   1.9793E-4  
  60.60609818   1.8962E-4  
  60.69800186   2.0543E-4  
  60.79029846   3.2725E-4  
  60.88280487   4.906E-4   
  60.97560501   5.7578E-4  
  61.06869888   6.2308E-4  
  61.16209793   6.2355E-4  
  61.25569916   5.0343E-4  
  61.34970093   3.7095E-4  
  61.44390488   2.7725E-4  
  61.53850174   1.5112E-4  
  61.63330078   1.1638E-4  
  61.728405     1.9352E-4  
  61.82380295   1.7793E-4  
  61.91950226   1.4039E-4  
  62.01549911   2.2324E-4  
  62.11180115   2.5831E-4  
  62.20840454   2.5937E-4  
  62.30529785   3.6755E-4  
  62.40250397   3.9415E-4  
  62.5          3.4433E-4  
  62.59779739   4.1374E-4  
  62.69589615   5.062E-4   
  62.79429626   4.7943E-4  
  62.89310074   5.4699E-4  
  62.99210358   5.931E-4   
  63.09149933   4.7937E-4  
  63.19120026   5.0453E-4  
  63.29109573   5.5742E-4  
  63.39139938   3.6437E-4  
  63.49210358   2.6265E-4  
  63.5929985    3.331E-4   
  63.69430542   2.3771E-4  
  63.79589844   2.279E-4   
  63.89779663   4.2884E-4  
  64.0          4.1226E-4  
  64.1026001    3.5777E-4  
  64.20549774   5.4213E-4  
  64.30870056   5.3693E-4  
  64.41220093   4.3144E-4  
  64.51609802   5.7118E-4  
  64.62039948   5.2897E-4  
  64.72489929   3.2637E-4  
  64.82980347   4.184E-4   
  64.93509674   3.6861E-4  
  65.04060364   5.984E-5   
  65.14659882   1.6475E-4  
  65.25289917   3.8953E-4  
  65.35949707   2.8246E-4  
  65.46640015   3.8264E-4  
  65.57379913   5.9997E-4  
  65.68139648   4.1652E-4  
  65.78949738   3.7095E-4  
  65.89790344   6.0895E-4  
  66.00659943   5.2152E-4  
  66.11569977   4.6092E-4  
  66.22519684   6.4822E-4  
  66.33499908   5.1589E-4  
  66.44519806   1.9766E-4  
  66.55570221   3.2219E-4  
  66.66670227   2.4643E-4  
  66.77799988   2.263E-5   
  66.88960266   1.8038E-4  
  67.00170135   2.9204E-4  
  67.1140976    1.744E-5   
  67.22689819   1.2827E-4  
  67.34010315   3.2209E-4  
  67.45359802   2.201E-5   
  67.56759644   1.4662E-4  
  67.68190002   3.5313E-4  
  67.79660034   6.666E-5   
  67.91169739   7.8E-5     
  68.02719879   3.7214E-4  
  68.14309692   7.765E-5   
  68.25939941   1.453E-5   
  68.37609863   2.0852E-4  
  68.49310303   7.243E-5   
  68.61060333   6.566E-5   
  68.72850037   2.2404E-4  
  68.84680176   1.0943E-4  
  68.96549988   6.412E-5   
  69.08460236   5.2553E-4  
  69.20420074   4.1454E-4  
  69.32409668   2.9951E-4  
  69.44439697   7.4173E-4  
  69.56520081   5.5584E-4  
  69.68640137   2.0496E-4  
  69.80799866   5.5585E-4  
  69.93009949   3.0511E-4  
  70.05249786   8.172E-5   
  70.17539978   2.0673E-4  
  70.29879761   2.2707E-4  
  70.42250061   3.8E-5     
  70.54669952   3.237E-4   
  70.67140198   6.7768E-4  
  70.79650116   2.8141E-4  
  70.92199707   6.0039E-4  
  71.04799652   0.00117552 
  71.17440033   8.4378E-4  
  71.30120087   9.5269E-4  
  71.4285965    0.00142541 
  71.55639648   9.8406E-4  
  71.68460083   8.8049E-4  
  71.81330109   0.00137865 
  71.94239807   9.2969E-4  
  72.07209778   5.3635E-4  
  72.20220184   9.3976E-4  
  72.33270264   5.666E-4   
  72.46379852   1.3157E-4  
